title,journal,year,otros_investigadores
Barrelled locally convex spaces,North-Holland mathematics studies,,PP Carreras;J Bonet
Associated weights and spaces of holomorphic functions,Studia Mathematica,1998.0,KD Bierstedt;J Bonet;J Taskinen
Composition operators between weighted Banach spaces of analytic functions,Journal of the Australian Mathematical Society,1998.0,J Bonet;P Domanski;M Lindstrom;J Taskinen
Weighted spaces of holomorphic functions on balanced domains.,Michigan Mathematical Journal,1993.0,KD Bierstedt;J Bonet;A Galbis
Essential norm and weak compactness of composition operators on weighted Banach spaces of analytic functions,Canadian Mathematical Bulletin,1999.0,J Bonet;P Domanski;M Lindstrom
Hypercyclic operators on non-normable Frechet spaces,journal of functional analysis,1998.0,J Bonet;A Peris
A comparison of two different ways to define classes of ultradifferentiable functions,Bulletin of the Belgian Mathematical Society-Simon Stevin,2007.0,J Bonet;R Meise;SN Melikhov
Stefan Heinrich's density condition for Frechet spaces and the characterization of the distinguished Kothe echelon spaces,Mathematische Nachrichten,1988.0,KD Bierstedt;J Bonet
Whitney’s extension theorem for nonquasianalytic classes of ultradifferentiable functions,Studia Math,1991.0,J Bonet;RW Braun;R Meise;BA Taylor
Differences of composition operators between weighted Banach spaces of holomorphic functions,Journal of the Australian Mathematical Society,2008.0,J Bonet;M Lindstrom;E Wolf
Some aspects of the modern theory of Frechet spaces,RACSAM,2003.0,KD Bierstedt;J Bonet
Mean ergodic operators in Frechet spaces,Annales Fennici Mathematici,2009.0,AA Albanese;J Bonet
Dual density conditions in (DF)-spaces I,Results Math,1988.0,KD Bierstedt;J Bonet
Barrelled locally convex spaces,North-Holland,1987.0,J Bonet;PP Carreras
A Banach space which admits no chaotic operator,Bulletin of the London Mathematical Society,2001.0,J Bonet;F Martinez-Gimenez;A Peris
Universal and chaotic multipliers on spaces of operators,Journal of mathematical analysis and applications,2004.0,J Bonet;F Martinez-Gimenez;A Peris
Linear chaos on Frechet spaces,International Journal of Bifurcation and Chaos,2003.0,J Bonet;F Martinez-Gimenez;A Peris
Weakly compact composition operators on analytic vector-valued function spaces,Annales Fennici Mathematici,2001.0,J Bonet;P Domanski;M Lindstrom
Pointwise multiplication operators on weighted Banach spaces of analytic functions,Studia math,1999.0,ML Abo
Transitive and hypercyclic operators on locally convex spaces,Bulletin of the London Mathematical Society,2005.0,J Bonet;L Frerick;A Peris;J Wengenroth
Hypercyclic and chaotic convolution operators,Journal of the London Mathematical Society,2000.0,J Bonet
Real analytic curves in Frechet spaces and their duals,Monatshefte fur Mathematik,1998.0,J Bonet;P Domanski
Parameter dependence of solutions of differential equations on spaces of distributions and the splitting of short exact sequences,Journal of Functional Analysis,2006.0,J Bonet;P Domanski
