title,journal,year,otros_investigadores
Scientific literature analysis of Judo in Web of Science,Archives of budo,2013.0,MF Peset Mancebo;A Ferrer Sapena;M Villamon Herrera;...
Open data y linked open data: Su impacto en el area de bibliotecas y documentacion,El profesional de la informacion,2011.0,F Peset;A Ferrer-Sapena;I Subirats-Coll
Acceso a los datos publicos y su reutilizacion: open data y open government,Profesional de la informacion,2011.0,A Ferrer-Sapena;F Peset;R Aleixandre-Benavent
"Open data, big data: ¿hacia donde nos dirigimos?",,2012.0,A Ferrer-Sapena;EA Sanchez-Perez
Survival analysis of author keywords: An application to the library and information sciences area,Journal of the Association for Information Science and Technology,2020.0,F Peset;F Garzon‐Farinos;LM Gonzalez;X Garcia‐Masso;...
Information management in healthcare and environment: Towards an automatic system for fake news detection,International journal of environmental research and public health,2020.0,P Lara-Navarra;H Falciani;EA Sanchez-Perez;A Ferrer-Sapena
Datos abiertos de investigacion. Camino recorrido y cuestiones pendientes,Anales de documentacion,2017.0,F Peset;R Aleixandre-Benavent;Y Blasco-Gil;A Ferrer-Sapena
Compartir los recursos utiles para la investigacion: datos abiertos (open data),Educacion Medica,2021.0,R Aleixandre-Benavent;AF Sapena;F Peset
Correlation between impact factor and public availability of published research data in Information Science and Library Science journals,Scientometrics,2016.0,R Aleixandre-Benavent;LM Moreno-Solano;A Ferrer Sapena;EAS Perez
¿ Que nos aportan las redes sociales?,Ediciones Profesionales de la Informacion SL,2010.0,R Aleixandre Benavent;A Ferrer-Sapena
Guia metodologica para la implantacion de una biblioteca digital universitaria,,2005.0,N Lloret Romero;MT Moreno Nunez;F Peset Mancebo;A Ferrer Sapena
Web 2.0 en medicina y pediatria (y II),Acta pediatrica espanola,2011.0,S Coronado Ferrer;F Peset Mancebo;A Ferrer Sapena;...
Tema central: Redes sociales,El Profesional de la informacion,2008.0,F PESET;A FERRER-SAPENA;T BAIGET
The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics,Research evaluation,2016.0,A Ferrer-Sapena;EA Sanchez-Perez;F Peset;LM Gonzalez;...
"Factores para la adopcion de linked data e implantacion de la web semantica en bibliotecas, archivos y museos",Information research,2013.0,T Saorin;MF Peset Mancebo;A Ferrer Sapena
Informatizacion de la historia clinica en Espana,Profesional de la informacion,2010.0,R Aleixandre-Benavent;A Ferrer-Sapena;F Peset
"Research data sharing in Spain: Exploring determinants, practices, and perceptions",Data,2020.0,R Aleixandre-Benavent;A Vidal-Infer;A Alonso-Arroyo;F Peset;...
Herramientas de analisis de datos bibliograficos y construccion de mapas de conocimiento: Bibexcel y Pajek,BiD. Textos Universitaris de Biblioteconomia i Documentacio,2015.0,A Garcia-Garcia;A Pardo-Ibanez;A Ferrer Sapena;MF Peset Mancebo;...
Normalizacion de la informacion: la aportacion de IraLIS,El Profesional de la Informacion,2007.0,T Baiget;JM Rodriguez-Gairin;F Peset;I Subirats;A Ferrer Sapena
Gestion de datos de investigacion: infraestructuras para su difusion,El profesional de la informacion,2013.0,L Millan Gonzalez;T Saorin;A Ferrer Sapena;R Alexandre Benavent;...
Como analizar el impacto de los datos de investigacion con metricas: modelos y servicios,El Profesional de la Informacion,2016.0,A Ferrer-Sapena;EA Sanchez-Perez;R Aleixandre-Benavent;F Peset
Bibliometric analysis of publications by South African viticulture and oenology research centres,South African Journal of Science,2012.0,R Aleixandre-Benavent;JL Aleixandre-Tudo;A Ferrer-Sapena;...
CVN: normalizacion de los curriculos cientificos,Profesional de la informacion,2008.0,JM Baez;F Peset;F Nunez;A Ferrer-Sapena
Policies regarding public availability of published research data in pediatrics journals,Scientometrics,2019.0,R Aleixandre-Benavent;AF Sapena;SC Ferrer;F Peset;AG Garcia
