title,journal,year,otros_investigadores
Control of noise by trees arranged like sonic crystals,Journal of sound and vibration,2006.0,R Martinez-Sala;C Rubio;LM Garcia-Raffi;JV Sanchez-Perez;...
Formation of high-order acoustic Bessel beams by spiral diffraction gratings,Physical Review E,2016.0,N Jimenez;R Pico;V Sanchez-Morcillo;V Romero-Garcia;...
Evidences of evanescent Bloch waves in phononic crystals,Applied Physics Letters,2010.0,V Romero-Garcia;JV Sanchez-Perez;S Castineira-Ibanez;...
Tunable wideband bandstop acoustic filter based on two-dimensional multiphysical phenomena periodic systems,Journal of applied physics,2011.0,V Romero-Garcia;JV Sanchez-Perez;LM Garcia-Raffi
Multi-resonant scatterers in sonic crystals: Locally multi-resonant acoustic metamaterial,Journal of Sound and Vibration,2013.0,V Romero-Garcia;A Krynkin;LM Garcia-Raffi;O Umnova;...
Sharp acoustic vortex focusing by Fresnel-spiral zone plates,Applied Physics Letters,2018.0,N Jimenez;V Romero-Garcia;LM Garcia-Raffi;F Camarena;K Staliunas
Sequence spaces and asymmetric norms in the theory of computational complexity,Mathematical and computer modelling,2002.0,LM Garcia-Raffi;S Romaguera;EA Sanchez-Perez
Evanescent modes in sonic crystals: Complex dispersion relation and supercell approximation,Journal of Applied Physics,2010.0,V Romero-Garcia;JV Sanchez-Perez;LM Garcia-Raffi
Validation of the use of Actigraph GT3X accelerometers to estimate energy expenditure in full time manual wheelchair users with spinal cord injury,Spinal cord,2013.0,X Garcia-Masso;P Serra-Ano;LM Garcia-Raffi;EA Sanchez-Perez;...
Ultradiscrete kinks with supersonic speed in a layered crystal with realistic potentials,Physical Review E,2015.0,JFR Archilla;YA Kosevich;N Jimenez;VJ Sanchez-Morcillo;...
"Design, manufacture and characterization of an acoustic barrier made of multi-phenomena cylindrical scatterers arranged in a fractal-based geometry",Archives of Acoustics,2012.0,S Castineira-Ibanez;C Rubio;V Romero-Garcia;JV Sanchez-Perez;...
The nuclear structure of 229Th,Nuclear Physics A,2002.0,K Gulda;W Kurcewicz;AJ Aas;MJG Borge;DG Burke;B Fogelberg;...
Hole distribution in phononic crystals: Design and optimization,The Journal of the Acoustical Society of America,2009.0,V Romero-Garcia;JV Sanchez-Perez;LM Garcia-Raffi;JM Herrero;...
Propagating and evanescent properties of double-point defects in sonic crystals,New Journal of Physics,2010.0,V Romero-Garcia;JV Sanchez-Perez;LM Garcia-Raffi
Optimization of sonic crystal attenuation properties by ev-MOGA multiobjective evolutionary algorithm,Structural and Multidisciplinary Optimization,2009.0,JM Herrero;S Garcia-Nieto;X Blasco;V Romero-Garcia;...
The dual space of an asymmetric normed linear space,Quaestiones Mathematicae,2003.0,LM Garcia-Raffi;R Sanchez-Perez
On Hausdorff asymmetric normed linear spaces,Houston J. Math,2003.0,LM Garcia-Raffi;S Romaguera;EA Sanchez-Perez
Simulation of light collection in scintillators with rough surfaces,Nuclear Instruments and Methods in Physics Research Section A: Accelerators ...,1994.0,J Bea;A Gadea;LM Garcia-Raffi;J Rico;B Rubio;JL Tain
Band gap creation using quasiordered structures based on sonic crystals,Applied Physics Letters,2006.0,V Romero-Garcia;E Fuster;LM Garcia-Raffi;EA Sanchez-Perez;...
