title,journal,year,otros_investigadores
A Bishop–Phelps–Bollobas type theorem for uniform algebras,Advances in Mathematics,2013.0,B Cascales;AJ Guirao;V Kadets
Uniformly convex functions on Banach spaces,Proceedings of the American Mathematical Society,2009.0,J Borwein;A Guirao;P Hajek;J Vanderwerff
Open problems in the geometry and analysis of Banach spaces,Springer International Publishing,2016.0,AJ Guirao;V Montesinos;V Zizler
On the preserved extremal structure of Lipschitz-free spaces,arXiv preprint arXiv:,2017.0,RJ Aliaga;AJ Guirao
On preserved and unpreserved extreme points,Descriptive topology and functional analysis.,2014.0,AJ Guirao;V Montesinos;V Zizler
Renormings in Banach Spaces,Monografie Matematyczne,2022.0,AJ Guirao;V Montesinos;V Zizler
The Bishop-Phelps-Bollobas property for numerical radius in l (1)(C),Studia Mathematica,2013.0,AJ Guirao Sanchez;O Kozhushkina
On the moduli of convexity,Proceedings of the American Mathematical Society,2007.0,A Guirao;P Hajek
Γ-flatness and Bishop–Phelps–Bollobas type theorems for operators,Journal of Functional Analysis,2018.0,B Cascales;AJ Guirao;V Kadets;M Soloviova
On the Bishop–Phelps–Bollobas property for numerical radius in C (K) spaces,Journal of Mathematical Analysis and Applications,2014.0,A Aviles;AJ Guirao;J Rodriguez
A note on extreme points of C∞-smooth balls in polyhedral spaces,Proceedings of the AMS,2014.0,AJ Guirao;V Montesinos;V Zizler
A note in approximative compactness and continuity of metric projections in Banach spaces,J. Convex Anal,2011.0,AJ Guirao;V Montesinos
Completeness in the Mackey topology,Functional Analysis and its Applications,2015.0,AJ Guirao;V Montesinos
Remarks on the set of norm-attaining functionals and differentiability,Studia Mathematica,2018.0,AJ Guirao Sanchez;V Montesinos Santalucia;V Zizler
A note on Mackey topologies on Banach spaces,Journal of Mathematical Analysis and Applications,2017.0,AJ Guirao;V Montesinos;V Zizler
Ranges of operators and derivatives,Journal of mathematical analysis and applications,2010.0,AJ Guirao;P Hajek;V Montesinos
Schauder bases under uniform renormings,Positivity,2007.0,AJ Guirao;P Hajek
Some remarks on the ball-covering property,Journal of Mathematical Analysis and Applications,2019.0,AJ Guirao;A Lissitsin;V Montesinos
Weakly compactly generated Banach lattices,arXiv preprint arXiv:,2015.0,A Aviles;AJ Guirao;S Lajara;J Rodriguez;P Tradacete
Completeness in the Mackey topology by norming subspaces,Journal of Mathematical Analysis and Applications,2019.0,AJ Guirao;G Martinez-Cervantes;J Rodriguez
On a classical renorming construction of V. Klee,Journal of Mathematical Analysis and Applications,2012.0,AJ Guirao;V Montesinos;V Zizler
On moduli of smoothness and squareness,Journal of Convex Analysis,2010.0,AJ Guirao;M Ivanov;S Lajara
On the local moduli of squareness,Studia Math,2008.0,AJ Guirao
Topological clasification of Banach spaces,Published by University of Murcia,2005.0,AJ Guirao
Some remarks on Phelps property U of a Banach space into C(K) spaces,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2024.0,C Cobollo;AJ Guirao;V Montesinos
A remark on totally smooth renormings,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2020.0,C Cobollo;AJ Guirao;V Montesinos
A note on lower semicontinuous smooth norms,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2019.0,AJ Guirao;A Lissitsin;V Montesinos
The numerical index of 2-dimensional Lipschitz-free spaces,Journal of Mathematical Analysis and Applications,2024.0,C Cobollo;AJ Guirao;V Montesinos
On projectional skeletons and the Plichko property in Lipschitz-free Banach spaces,Mediterranean Journal of Mathematics,2023.0,AJ Guirao;V Montesinos;A Quilis
Phelps Property U and  spaces,arXiv preprint arXiv:,2022.0,C Cobollo;AJ Guirao;V Montesinos
Norms with the Mazur intersection Property,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Nonlinear transfer techniques,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Higher-order smoothness,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
James boundaries,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Further miscellaneous applications,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Smooth functions on c 0 (),Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Polyhedral spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
"Summary on renorming for uniforml rotund in every direction, strictly convex, and weakly uniformly rotund spaces",Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
The Banach–Saks property,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Weakly compactly generated spaces and their relatives III,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Transitive norms,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Weak Hadamard differentiability,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
A concise list of coordinates for some Relationships,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Three-space properties,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Strongly subdifferentiable norms,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Nicely smooth Banach spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Spaces isomorphic to Hilbert spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Lipschitz functions II,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Checking renormability in some classical Spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Kottman-type results on separated sets,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Valdivia compacta,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Superreflexive spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
The Kingdom of Tsirelson’s space,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Examples on Rotundity,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Polynomials on Banach spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Open questions spread along the book and some additional ones,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
The spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Symmetric norms,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Examples on C1-smoothness,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
The Radon–Nikodym property,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Miscellaneous topics,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Strictly convex renorming,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
Lipschitz-free spaces,Renormings in Banach Spaces: A Toolbox,2022.0,AJ Guirao;V Montesinos;V Zizler
