title,journal,year,otros_investigadores
Composition operators between weighted inductive limits of spaces of holomorphic functions,Publ. Math. Debrecen,2005.0,J Bonet;M Friz;E Jorda
Mean ergodic composition operators on Banach spaces of holomorphic functions,Journal of Functional Analysis,2016.0,MJ Beltran-Meneu;MC Gomez-Collado;E Jorda;D Jornet
Optimal regularity at the free boundary for the infinity obstacle problem,Interfaces and Free Boundaries,2015.0,JD Rossi;EV Teixeira;JM Urbano
Extension of vector-valued holomorphic and harmonic functions,Studia Math,2007.0,J Bonet;L Frerick;E Jorda
An optimal transportation problem with a cost given by the Euclidean distance plus import/export taxes on the boundary,Revista Matematica Iberoamericana,2014.0,JM Mazon;JD Rossi;J Toledo
Mean ergodicity of weighted composition operators on spaces of holomorphic functions,Journal of Mathematical Analysis and Applications,2016.0,MJ Beltran-Meneu;MC Gomez-Collado;E Jorda;D Jornet
Extension of bounded vector‐valued functions,Mathematische Nachrichten,2009.0,L Frerick;E Jorda;J Wengenroth
Vector-valued meromorphic functions,Archiv der Mathematik,2002.0,J Bonet;E Jorda;M Maestre
Tingley's problem for -Schatten von Neumann classes,Journal of Spectral Theory,2020.0,FJ Fernandez-Polo;E Jorda;AM Peralta
Ergodic properties of composition operators on Banach spaces of analytic functions,Journal of Mathematical Analysis and Applications,2020.0,E Jorda;A Rodriguez-Arenas
Dynamics and spectra of composition operators on the Schwartz space,Journal of Functional Analysis,2018.0,C Fernandez;A Galbis;E Jorda
Weighted Vector‐Valued Holomorphic Functions on Banach Spaces,Abstract and Applied Analysis,2013.0,E Jorda
Composition operators on the Schwartz space,Revista matematica iberoamericana,2018.0,A Galbis;E Jorda
Strongly continuous semigroups on some Frechet spaces,Journal of Mathematical Analysis and Applications,2014.0,L Frerick;E Jorda;T Kalmes;J Wengenroth
Mean ergodic multiplication operators on weighted spaces of continuous functions,Mediterranean Journal of Mathematics,2018.0,J Bonet;E Jorda;A Rodriguez
Tame linear extension operators for smooth Whitney functions,Journal of Functional Analysis,2011.0,L Frerick;E Jorda;J Wengenroth
Extension of vector-valued holomorphic and meromorphic functions,Bulletin of the Belgian Mathematical Society-Simon Stevin,2005.0,E Jorda
Extension of vector-valued functions,Bulletin of the Belgian Mathematical Society-Simon Stevin,2007.0,L Frerick;E Jorda
The division problem for tempered distributions of one variable,Journal of Functional Analysis,2012.0,J Bonet;L Frerick;E Jorda
Whitney extension operators without loss of derivatives,Revista Matematica Iberoamericana,2016.0,L Frerick;E Jorda Mora;J Wengenroth
Supercyclicity of weighted composition operators on spaces of continuous functions,Collectanea mathematica,2020.0,MJ Beltran-Meneu;E Jorda;M Murillo-Arcila
Stability of derivations under weak-2-local continuous perturbations,Aequationes mathematicae,2017.0,E Jorda;AM Peralta
Power bounded composition operators on spaces of meromorphic functions,Topology and its Applications,2016.0,MC Gomez-Collado;E Jorda;D Jornet
Dynamics of composition operators on function spaces defined by local and global properties,Journal of Mathematical Analysis and Applications,2022.0,AA Albanese;E Jorda;C Mele
Dynamics of weighted composition operators on spaces of entire functions of exponential and infraexponential type,Mediterranean Journal of Mathematics,2021.0,MJ Beltran-Meneu;E Jorda
Vitali's and Harnack's type results for vector-valued functions,Journal of mathematical analysis and applications,2007.0,E Jorda
Spectrum of composition operators on S (R) with polynomial symbols,Advances in Mathematics,2020.0,C Fernandez;A Galbis;E Jorda
Ergodic properties of convolution operators,arXiv preprint arXiv:,2020.0,J Galindo;E Jorda
"Existence, uniqueness and decay rates for evolution equations on trees",Portugaliae Mathematica,2014.0,LM Del Pezzo;CA Mosquera;E Jorda
Isomorphisms on Weighed Banach Spaces of Harmonic and Holomorphic Functions,Journal of Function Spaces,2013.0,E Jorda;AM Zarco
"Inner Derivations and Weak-2-Local Derivations on the C^* C∗-Algebra C_0 (L, A) C 0 (L, A)",Integral Equations and Operator Theory,2017.0,E Jorda;AM Peralta
Weighted Banach spaces of harmonic functions,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2014.0,E Jorda;AM Zarco
Topologies on spaces of vector-valued meromorphic functions,Journal of the Australian Mathematical Society,2005.0,E Jorda
"Tingley’s problem for p-Schatten von Neumann classes for 2< p<∞, preprint 2018",arXiv preprint arXiv:,,FJ Fernandez-Polo;E Jorda;AM Peralta
Nuclear weighted composition operators on weighted Banach spaces of analytic functions,Proceedings of the American Mathematical Society,2021.0,J Bonet;M Gomez-Collado;E Jorda;D Jornet
Regularity of solutions of convolution equations,Journal of mathematical analysis and applications,2008.0,MC Gomez-Collado;E Jorda
Generalized Hilbert operators acting on weighted spaces of holomorphic functions with sup-norms,Banach Journal of Mathematical Analysis,2025.0,MJ Beltran-Meneu;J Bonet;E Jorda
A characterization of the Schur property through the disk algebra,Journal of Mathematical Analysis and Applications,2017.0,D Garcia;E Jorda;M Maestre
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup-norms,Analysis and Mathematical Physics,2024.0,MJ Beltran-Meneu;J Bonet;E Jorda
Uniformly ergodic probability measures,Publicacions Matematiques,2024.0,J Galindo;E Jorda;A Rodriguez-Arenas
Extension operators for smooth functions on compact subsets of the reals,Mathematische Zeitschrift,2020.0,L Frerick;E Jorda;J Wengenroth
Power boundedness and related properties for weighted composition operators on S (Rd),Journal of Functional Analysis,2025.0,V Asensio;E Jorda;T Kalmes
Positive definite functions as uniformly ergodic multipliers of the Fourier algebra,arXiv preprint arXiv:,2024.0,J Galindo;E Jorda;A Rodriguez-Arenas
Ces\aro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup-norm,arXiv preprint arXiv:,2024.0,MJB Meneu;J Bonet;E Jorda
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup-norm,"arXiv e-prints, arXiv:",2024.0,M Jose Beltran Meneu;J Bonet;E Jorda
On the spectrum of isomorphisms defined on the space of smooth functions which are flat at 0,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2023.0,E Jorda
Whitney extension operators with arbitrary loss of differentiability,Journal of Mathematical Analysis and Applications,2020.0,L Frerick;A Jakobs;E Jorda;J Wengenroth
Dynamics of weighted composition operators on spaces of continuous functions,arXiv preprint arXiv:,2019.0,MJ Beltran;E Jorda;M Murillo-Arcila
Dynamics of weighted composition operators on spaces of continuous functions,"arXiv e-prints, arXiv:",2019.0,M Jose Beltran;E Jorda;M Murillo-Arcila
Dynamics of weighted composition operators on spaces of continuous functions,,2019.0,MJ Beltran-Meneu;E Jorda;M Murillo-Arcila
Infinite Dimensional,,2018.0,R Aron;J Bonet;CG Collado;D Jornet;M Maestre;M Acosta;O Blasco;...
Mean Ergodic Composition Operators on Banach spaces of holomorphic functions,"arXiv e-prints, arXiv:",2016.0,M Jose Beltran;MC Gomez;E Jorda;D Jornet
Division de distribuciones atemperadas de una variable,,2013.0,E Jorda
Mean ergodic composition operators on spaces of holomorphic functions,,,DS Ferra
WFCA 2022,,,E Jorda;MJB Meneu;M Murillo-Arcila
Operadores de composicion entre lımites inductivos de espacios ponderados de funciones holomorfas,Universidad Politecnica de Valencia,,E Jorda
