title,journal,year,otros_investigadores
"NEXT, a HPGXe TPC for neutrinoless double beta decay searches",arXiv preprint arXiv:,2009,F Granena;T Lux;F Nova;J Rico;F Sanchez;DR Nygren;JAS Barata;...
Computation of eigenvalues in proportionally damped viscoelastic structures based on the fixed-point iteration,Applied Mathematics and Computation,2012,M Lazaro;JL Perez-Aparicio;M Epstein
Multiparametric computation of eigenvalues for linear viscoelastic structures,Computers & Structures,2013,M Lazaro;JL Perez–Aparicio
Eigensolutions of non-proportionally damped systems based on continuous damping sensitivity,Journal of Sound and Vibration,2016,M Lazaro
Dynamic analysis of frame structures with free viscoelastic layers: New closed-form solutions of eigenvalues and a viscous approach,Engineering Structures,2013,M Lazaro;JL Perez-Aparicio
The NEXT experiment,Journal of Physics: Conference Series,2009,J Diaz;N Yahlali;M Ball;JAS Barata;F Borges;E Calvo;S Carcel;...
Nonviscous modes of nonproportionally damped viscoelastic systems,Journal of Applied Mechanics,2015,M Lazaro
Characterization of real eigenvalues in linear viscoelastic oscillators and the nonviscous set,Journal of Applied Mechanics,2014,M Lazaro;JL Perez-Aparicio
Eigensolutions of nonviscously damped systems based on the fixed-point iteration,Journal of Sound and Vibration,2018,M Lazaro
A viscous approach based on oscillatory eigensolutions for viscoelastically damped vibrating systems,Mechanical Systems and Signal Processing,2013,M Lazaro;JL Perez-Aparicio;M Epstein
Critical damping in nonviscously damped linear systems,Applied Mathematical Modelling,2019,M Lazaro
Learning mechanical vibrations with Wolfram Mathematica,Modelling in Science Education and Learning,2015,M Lazaro
"Closed-form eigensolutions of nonviscously, nonproportionally damped systems based on continuous damping sensitivity",Journal of Sound and Vibration,2018,M Lazaro
Approximate critical curves in exponentially damped nonviscous systems,Mechanical Systems and Signal Processing,2019,M Lazaro
On the Accuracy of a Four-Node Delaminated Composite Plate Element and Its Application to Damage Detection,Journal of Vibration and Acoustics (ASME),2013,CF Casanova;A Gallego;M Lazaro
Elastodynamical properties of Sturmian structured media,Journal of Sound and Vibration,2022,M Lazaro;A Niemczynowicz;A Siemaszko;LM Garcia-Raffi
"New interaction formula for plastic resistance of channel sections under combinations of bending moments My, Ed, Mz, Ed and bimoment BEd",Structures,2022,A Aguero;I Balaz;Y Kolekova;M Lazaro
Exact determination of critical damping in multiple exponential kernel-based viscoelastic single-degree-of-freedom systems,Mathematics and Mechanics of Solids,2019,M Lazaro
Teoria de vigas en ingenieria aeroespacial,Editorial de la Universidad Politecnica de Valencia,2019,JLP Aparicio;M Lazaro
Proposal of a viscous model for nonviscously damped beams based on fractional derivatives,Shock and Vibration,2018,M Lazaro;JM Molines-Cano;I Ferrer;V Albero
Experiencias para mejorar las competencias transversales y la evaluacion continua en Ingenieria Aeroespacial,Recuperado el,2016,M Lazaro;I Ferrer;P Martin;J Perez-Aparicio;S Hoyas
The polynomial pivots as initial values for a new root-finding iterative method,Journal of Applied Mathematics,2015,M Lazaro;P Martin;A Aguero;I Ferrer
The Eigenvalue Problem in Linear Viscoelastic Structures: New Numerical Approaches and the Equivalent Viscous Model (Ph.D. Thesis),Universitat Politecnica de Valencia,2013,M Lazaro
Laboratorio virtual para la interpretacion de las cargas en vuelo,Modelling in Science Education and Learning,2018,M Lazaro;JB Rodriguez;GG Olivas
Analysis of Nonviscous Oscillators Based on the Damping Model Perturbation,Shock and Vibration,2016,M Lazaro;P Casanova;Cesar F. Ferrer;Ignacio;Martin
Boundaries of oscillatory motion in structures with nonviscous dampers,Applied Sciences,2022,M Lazaro;LM Garcia-Raffi
Critical relationships in nonviscous systems with proportional damping,Journal of Sound and Vibration,2020,M Lazaro;LM Garcia-Raffi
Nonviscous Modes of Viscoelastically Damped Vibrating Systems,Viscoelastic and Viscoplastic Materials,2016,M Lazaro;CF Casanova;C Lazaro
The 2024 phononic crystals roadmap,Journal of Physics D: Applied Physics,2025,Y Jin;D Torrent;BD Rouhani;L He;Y Xiang;FZ Xuan;Z Gu;H Xue;J Zhu;...
Analytical approximations for multiple scattering in one-dimensional waveguides with small inclusions,Mechanical Systems and Signal Processing,2025,M Lazaro;R Wiltshaw;RV Craster;LM Garcia-Raffi
Wave propagation in beams with multiple resonators: conditions for weak scattering and the Born approximation,arXiv preprint arXiv:,2024,M Lazaro;R Wiltshaw;RV Craster;V Romero-Garcia
"New Interaction Formulae for Plastic Resistances of Z-Sections under Combinations of Bending Moments My,Ed, Mz,Ed and Bimoment BEd",Buildings,2023,A Aguero;I Balaz;Y Kolekova;M Lazaro
Modal Analysis Applied to Electric Guitar Design Influence on Manufacturing Parameters,Annals of DAAAM & Proceedings,2020,F Nunez;SC Gutierrez;M Lazaro;D Rossi
An Innovative Approach For The Implementation Of Blended Learning In The Spanish Vocational Training Qualification Framework,INTED,2017,I Ferrer;M Cervantes;M Lazaro
TOPMOST: A NEW TOOL BASED ON LEARNING OUTCOMES FOR THE ACADEMIC MOBILITY OF VOCATIONAL STUDENTS,INTED,2016,I Ferrer;M Cervantes;ML Navarro
Dispersion relationship of phononic generalized beams,arXiv preprint arXiv:,2024,M Lazaro;R Wiltshaw;RV Craster;V Romero-Garcia
Hyperuniformity of quasiperiodic tilings generated by continued fractions,Physical Review B,2024,M Lazaro;LM Garcia-Raffi
"New Interaction Formulae for Plastic Resistances of Z-Sections under Combinations of Bending Moments My, M-Ed, Mz, M-Ed and Bimoment B-Ed",Buildings,2023,A Aguero Ramon Llin;I Balaz;Y Kolekova;M Lazaro
Damping perturbation based time integration asymptotic method for structural dynamics,International Journal of Computational Methods,2022,M Lazaro
Measure Theory in Condensed Matter,XIX Encuentros de analisis real y complejo,2019,LM Garcia-Raffi;M Lazaro;A Niemczynowicz;V Romero-Garcia
TEACHING MODAL ANALYSIS: A CHALLENGE USING VIRTUAL LABS AND EXPERIMENTAL TECHNIQUES,INTED,2017,M Lazaro;I Ferrer
EXPERIENCES TO ENHANCE TRANSVERSAL SKILLS IN AEROSPACE ENGINEERING,EDULEARN,2016,M Lazaro;I Ferrer;P Martin;JL Perez-Aparicio;A Aguero;S Hoyas
Estrategias de intercambio y colaboracion internacional en la ET-SID-UPV,Actas del,2015,SH Calvo;M Fernandez;C Petit;M Lazaro
Research Article The Polynomial Pivots as Initial Values for a New Root-Finding Iterative Method,,2015,M Lazaro;P Martin;A Aguero;I Ferrer
A Teaching Experience: Aeroelasticity and the Finite Element Method,Modelling in Science Education and Learning,2015,M Lazaro
La torsion alabeada como secuencia de infinitos problemas de flexion,Modelling in Science Education and Learning,2014,M Lazaro;I Ferrer
Approximate Solutions for Visco-Elastically Damped Beams,CIVIL-COMP PROCEEDINGS БИБЛИОМЕТРИЧЕСКИЕ ПОКАЗАТЕЛИ: Входит в РИНЦ®: да ...,2014,M Lazaro;CF Casanova;L Pallares;P Martin
Recursive Computation of Complex Frequencies of Vibrating Non-Viscous Damped Systems,CIVIL-COMP PROCEEDINGS БИБЛИОМЕТРИЧЕСКИЕ ПОКАЗАТЕЛИ: Входит в РИНЦ®: да ...,2014,M Lazaro;CF Casanova;P Fajardo;P Martin
The warping torsion as a sequence of infinite bending problems,Modelling in Science Education and Learning,2014,M Lazaro;I Ferrer
Modelizacion no lineal de secciones aeronauticas con Excel-Solver,Modelling in Science Education and Learning,2013,M Lazaro;JL Perez-Aparicio
On the Accuracy of a Four-Node Delaminated Composite Plate Element and Its Application to Damage Detection. Article 061003,Journal of Vibration and Acoustics,2013,C Fernandez Casanova;A Gallego-Molina;M Lazaro
A new quadrilateral delaminated composite plate element.,IX Congreso Nacional de Materiales Compuestos. Girona (Spain),2011,CF Casanova;JL Perez-Aparicio;M Lazaro
Propuesta modelo viscoso equivalente para viga timoshenko con comportamiento viscoelastico,Congress on Numerical Methods in Engineering. Coimbra (Portugal),2011,M Lazaro;JL Perez-Aparicio
An Analytical Approach to the Computation of the Frequency Response Function.,The,2010,M Lazaro;JL Perez-Aparicio;J Gomez
NEXT: A Neutrinoless Double Beta Decay Experiment with a Gaseous Xenon TPC,European Physical Society Europhysics Conference on High Energy Physics,2009,T Lux;F Granena;F Nova;J Rico;DR Nygren;JAS Barata;F Borges;...
"NEXT, a HPGXe TPC for neutrinoless double beta decay searches","arXiv e-prints, arXiv:",2009,T Lux;F Nova;J Rico;F Sanchez;DR Nygren;JAS Barata;F Borges;...
Proyecto de ampliacion de viaductos en zona sismica. Principios de diseno y analisis sismorresistente,III Congreso de Puentes y Estructuras de Edificacion. Zaragoza (Spain),2005,I Ferrer;M Lazaro;M Collado;R Marti
