title,journal,year,otros_investigadores
Descriptive topology in selected topics of functional analysis,Springer Science & Business Media,2011.0,J Kakol;W Kubis;M Lopez-Pellicer
Metrizable barrelled spaces,CRC Press,1995.0,JC Ferrando;ML Pellicer;LMS Ruiz
Tightness and distinguished Frechet spaces,Journal of mathematical analysis and applications,2006.0,JC Ferrando;J Kakol;ML Pellicer;SA Saxon
Webs and bounded finitely additive measures,Journal of Mathematical Analysis and Applications,1997.0,M Lopez-Pellicer
Strong barrelledness properties inl0∞(XA) and bounded finite additive measures,Mathematische Annalen,1990.0,JC Ferrando;M Lopez-Pellicer
Quasi-Suslin weak duals,Journal of mathematical analysis and applications,2008.0,JC Ferrando;J Kakol;ML Pellicer;SA Saxon
Compact coverings for Baire locally convex spaces,Journal of mathematical analysis and applications,2007.0,J Kakol;ML Pellicer
On topological properties of Frechet locally convex spaces with the weak topology,Topology and its Applications,2015.0,SS Gabriyelyan;J Kakol;A Kubzdela;M Lopez-Pellicer
Necessary and sufficient conditions for precompact sets to be metrisable,Bulletin of the Australian Mathematical Society,2006.0,JC Ferrando;J Kasakol;ML Pellicer
On Valdivia strong version of Nikodym boundedness property,Journal of Mathematical Analysis and Applications,2017.0,J Kakol;M Lopez-Pellicer
Algebra lineal y geometria: curso teorico-practico,Marfil,1977.0,JG Garcia;ML Pellicer
A characterization of trans-separable spaces,Bulletin of the Belgian Mathematical Society-Simon Stevin,2007.0,JC Ferrando;J Kakol;ML Pellicer
On countable bounded tightness for spaces Cp (X),Journal of mathematical analysis and applications,2003.0,J Kakol;M Lopez-Pellicer
On spaces weakly‐analytic,Mathematische Nachrichten,2017.0,JC Ferrando;J Kakol;M Lopez‐Pellicer
Convergence estimates of a family of approximation operators of exponential type,Filomat,2020.0,V Gupta;M Lopez-Pellicer;HM Srivastava
On the separable quotient problem for Banach spaces,Functiones et Approximatio Commentarii Mathematici,2018.0,JC Ferrando;J Kakol;M Lopez-Pellicer;W Sliwa
Compact covers and function spaces,Journal of Mathematical Analysis and Applications,2014.0,J Kakol;M Lopez-Pellicer;O Okunev
A revised closed graph theorem for quasi-Suslin spaces,Czechoslovak mathematical journal,2009.0,JC Ferrando;J Kakol;M Lopez Pellicer
Lindelof spaces C(X) over topological groups,Walter de Gruyter,2008.0,J Kakol;M Lopez Pellicer;E Martin-Peinador;V Tarieladze
Bounded tightness conditions for locally convex spaces and spaces C (X),"Centro de Investigacion Operativa, Universidad Miguel Hernandez de Elche",2004.0,JC Ferrando;J Kakol;ML Pellicer
Barreled spaces of class n and of class Xo.,Disertaciones Matematicas del Seminario de Matematicas Fundamentales,1989.0,JC Ferrando;M Lopez-Pellicer
Jordan basis for an infinite-dimensional space,Portugaliae mathematica,1985.0,M Lopez Pellicer;R Bru
On Nikodym and Rainwater sets for ba (R) and a Problem of M. Valdivia,Filomat,2019.0,JC Ferrando;S Lopez Alfonso;M Lopez Pellicer
Descriptive topology and functional analysis II,Springer Proceedings in Mathematics and Statistics,2019.0,JC Ferrando
"Web‐compact spaces, Frechet‐Urysohn groups and a Suslin closed graph theorem",Mathematische Nachrichten,2010.0,JC Ferrando;J Kakol;ML Pellicer;W Sliwa
A characterization of distinguished Frechet spaces,Mathematische Nachrichten,2006.0,JC Ferrando;J Kakol;M Lopez Pellicer
Quasi-suprabarrelled spaces,Journal of the Australian Mathematical Society,1989.0,JC Ferrando;M Lopez-Pellicer
Algebra lineal y Geometrıa,Marfil,1990.0,JG Garcıa;ML Pellicer
Spaces C (X) with ordered bases,Topology and its Applications,2016.0,JC Ferrando;J Kakol;M Lopez-Pellicer
A quantitative approach to weak compactness in Frechet spaces and spaces C (X),Journal of Mathematical Analysis and Applications,2013.0,C Angosto;J Kakol;M Lopez-Pellicer
Some topological cardinal inequalities for spaces Cp (X),Topology and its Applications,2013.0,JC Ferrando;J Kakol;M Lopez-Pellicer;M Munoz
Weakly K-analytic spaces and the three-space property for analyticity,Journal of mathematical analysis and applications,2010.0,J Kakol;ML Pellicer;W Sliwa
Strong barrelledness properties in Lebesgue-Bochner spaces,Bulletin of the Belgian Mathematical Society-Simon Stevin,1994.0,JC Ferrando;J Ferrer;ML Pellicer
On ordered suprabarrelled spaces,Archiv der Mathematik,1989.0,JC Ferrando;M Lopez-Pellicer
Covering properties of Cp (X) and Ck (X),Filomat,2020.0,JC Ferrando;M Lopez-Pellicer
"Banach Disks and Marrelledness Properties of Metrizalbe c                      0 (Ω, X)",Mediterranean Journal of Mathematics,2004.0,J Kakol;ML Pellicer;S Moll
On a problem of Horvath concerning barrelled spaces of vector valued continuous functions vanishing at infinity,Bulletin of the Belgian Mathematical Society-Simon Stevin,2004.0,JC Ferrando;J Kakol;M Lopez-Pellicer
Cantor sets in the dual of a separable Banach space. Applications,"General Topology in Banach Spaces, Nova Sci. Publ., Huntington",2001.0,M Lopez-Pellicer;V Montesinos
A note on a theorem of J. Diestel and B. Faires,Proceedings of the American Mathematical Society,1992.0,JC Ferrando;M Lopez Pellicer
Barrelled Spaces of Class N and of Class Xo,Universidad nacional de educacion a distancia,1989.0,JC Ferrando;ML Pellicer
A quantitative version of Krein’s theorems for Frechet spaces,Archiv der Mathematik,2013.0,C Angosto;J Kakol;A Kubzdela;M Lopez-Pellicer
Ptak homomorphism theorem revisited,Czechoslovak Mathematical Journal,2000.0,JR Ferrer;ML Pellicer;LMS Ruiz
On linearly topologized spaces and real-compact spaces-II,Portugaliae mathematica,1991.0,LM Sanchez Ruiz;M Lopez Pellicer
"Una propiedad de M. Valdivia, espacios de tipo (L) y condiciones debiles de tonelacion.",Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales,1989.0,JC Ferrando;ML Pellicer
Extensions of algebraic Jordan basis,Glas. Mat,1985.0,R Bru;M Lopez-Pellicer
Algunas propiedades de los espacios de funciones continuas ultrabornologicos,Collectanea Mathematica,1974.0,ML Pellicer
On Four Classical Measure Theorems,Mathematics,2021.0,S Lopez-Alfonso;M Lopez-Pellicer;S Moll-Lopez
On Grothendieck Sets,Axioms,2020.0,JC Ferrando;S Lopez-Alfonso;M Lopez-Pellicer
On realcompact topological vector spaces,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2011.0,J Kakol;M Lopez-Pellicer
"Computacion, Fisica y Matematica en John von Neumann","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales",2006.0,ML Pellicer
Metrizability of precompact sets: an elementary proof.,RACSAM,2005.0,JC Ferrando;J Kakol;ML Pellicer
"On suprabarrelledness of c0 (Ω, X).",RACSAM,2003.0,M Lopez Pellicer;S Moll
Barrelled spaces of class א0 which are not totally barrelled,Math. Jpn,1992.0,JC Ferrando;M Lopez-Pellicer
Sobre ciertos espacios topologicos no completamente regulares,Revista matematica hispanoamericana,1976.0,ML Pellicer
"Baire-Type Properties in Metrizable c0(Ω, X)",Axioms,2021.0,S Lopez-Alfonso;M Lopez-Pellicer;S Moll-Lopez
"On a three-space property for Lindelof -spaces, (WCG)-spaces and the Sobczyk property",Functiones et Approximatio Commentarii Mathematici,2011.0,J Ferrer;J Kakol;ML Pellicer;M Wojtowicz
Algunos descubrimientos matematicos del siglo XX,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales",2007.0,ML Pellicer
Presentacion de la obra de H. Poincare (1854-1912),Arbor,2004.0,ML Pellicer
Unitary sequences and classes of barrelledness.,RACSAM,2003.0,M Lopez Pellicer;S Moll
Las construcciones de los numeros reales,"Historia de la Matematica en el siglo XIX (II parte), Real Academia de Ciencias",1993.0,ML Pellicer
On a result of Adasch and Ernst,Collectanea Mathematica,1989.0,LMS Ruiz;ML Pellicer
Algebra lineal y geometria: ejercicios,Marfil,1989.0,JG Garcia;ML Pellicer
Algunas propiedades del ejemplo de Tychonoff de un espacio regular que no es completamente regular,Collectanea mathematica,1974.0,JLB Olcina;ML Pellicer
Una caracterizacion sucesional de los espacios C (X) ultrabornologicos,Rev. R. Academia de Ciencias de Madrid,1973.0,ML Pellicer
Distinguished Property in Tensor Products and Weak* Dual Spaces,Axioms,2021.0,S Lopez-Alfonso;M Lopez-Pellicer;S Moll-Lopez
A Survey on Nikodym and Vitali-Hahn-Saks Properties,Montes Taurus Journal of Pure and Applied Mathematics,2021.0,S Lopez-Alfonso;M Lopez-Pellicer;J Mas
Weak Sequential Convergence in Bounded Finitely Additive Measures,Vietnam Journal of Mathematics,2020.0,S Lopez-Alfonso;M Lopez-Pellicer
Recuerdo de Julio Rey Pastor,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales",2015.0,M Lopez Pellicer
