title,journal,year,otros_investigadores
A Study about the Integration of the Elliptical Orbital Motion Based on a Special One‐Parametric Family of Anomalies,Abstract and Applied Analysis,2014.0,JA Lopez Orti;FJ Marco Castillo;MJ Martinez Uso
A critical discussion on parametric and nonparametric regression methods applied to Hipparcos-FK5 residuals,Astronomy & Astrophysics,2004.0,FJ Marco;MJ Martinez;JA Lopez
Geometrical definition of a continuous family of time transformations generalizing and including the classic anomalies of the elliptic two-body problem,Journal of Computational and Applied Mathematics,2017.0,JAL Orti;FJM Castillo;MJM Uso
Semi-analytical integration algorithms based on the use of several kinds of anomalies as temporal variable,Planetary and Space Science,2008.0,JAL Orti;MJM Uso;FJM Castillo
Occultation of planets by the moon in European narrative medieval sources,Journal for the History of Astronomy,2019.0,MJ Martinez Uso;FJ Marco Castillo
OSCURAUIT SOL: Stone Engravings and Other Contemporary Spanish Records for the a.d. 1239 and a.d. 1354 Eclipses and Their Astronomical Implications,Journal for the History of Astronomy,2016.0,MJ Martinez Uso;FJ Marco Castillo;L Ibanez
A note on the use of generalized Sundman anomalies in the numerical integration of the elliptical orbital motion,Abstract and Applied Analysis,2014.0,JA Lopez Orti;FJ Marco Castillo;MJ Martinez Uso
Homogenization in compiling ICRF combined catalogs,Astronomy & Astrophysics,2013.0,FJ Marco;MJ Martinez;JA Lopez
Computational tools to construct semi-analytical planetary theories,International Journal of Computer Mathematics,2008.0,JA Lopez Orti;MJ Martinez Uso;FJ Marco Castillo
About C/539W1 and C/1245D1 as the parent comet of 15-BOOTIDS,Planetary and Space Science,2021.0,MJ Martinez;FJ Marco
Geometrical definition of a continuous family of time transformations on the hyperbolic two-body problem,Journal of Computational and Applied Mathematics,2018.0,JAL Orti;FJM Castillo;MJM Uso
"A review of the Dall’Olmo survey of meteors, meteor showers and meteorites in the Middle Ages from medieval European sources",Journal for the History of Astronomy,2017.0,MJM Uso;FJM Castillo
A possible reference to the solar corona in a contemporary report of the AD1239 eclipse,Journal for the History of Astronomy,2022.0,MJ Martinez Uso;FJ Marco Castillo
GSC+: software for transferring the Guide Star Catalogue on the FK5 system,Planetary and space science,1997.0,AL Garcia;LI Yagudin;MJM Uso
Medieval Comets. European and Middle Eastern Perspective,Universitat Politecnica de Valencia,2023.0,P Sicoli;R Gorelli;MJ Martinez Uso;FJ Marco
