title,journal,year,otros_investigadores
Laser-assisted guiding of electric discharges around objects,Science advances,2015.0,M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;DN Christodoulides;...
Soliton families and resonant radiation in a micro-ring resonator near zero group-velocity dispersion,Optics Express,2014.0,C Milian;DV Skryabin
Solitons and frequency combs in silica microring resonators: Interplay of the Raman and higher-order dispersion effects,Physical Review A,2015.0,C Milian;AV Gorbach;M Taki;AV Yulin;DV Skryabin
Superfilamentation in air,Physical review letters,2014.0,G Point;Y Brelet;A Houard;V Jukna;C Milian;J Carbonnel;Y Liu;...
Tubular filamentation for laser material processing,Scientific reports,2015.0,C Xie;V Jukna;C Milian;R Giust;I Ouadghiri-Idrissi;T Itina;JM Dudley;...
Generation of long-lived underdense channels using femtosecond filamentation in air,"Journal of Physics B: Atomic, Molecular and Optical Physics",2015.0,G Point;C Milian;A Couairon;A Mysyrowicz;A Houard
Spaceborne laser filamentation for atmospheric remote sensing,Laser & photonics reviews,2016.0,I Dicaire;V Jukna;C Praz;C Milian;L Summerer;A Couairon
Filamentation with nonlinear Bessel vortices,Optics Express,2014.0,V Jukna;C Milian;C Xie;T Itina;J Dudley;F Courvoisier;A Couairon
Continuum generation by dark solitons,Optics letters,2009.0,C Milian;DV Skryabin;A Ferrando
Robust ultrashort light bullets in strongly twisted waveguide arrays,Physical review letters,2019.0,C Milian;YV Kartashov;L Torner
Supercontinuum optimization for dual-soliton based light sources using genetic algorithms in a grid platform,Optics express,2014.0,FR Arteaga-Sierra;C Milian;I Torres-Gomez;M Torres-Cisneros;G Molto;...
Energy deposition dynamics of femtosecond pulses in water,Applied Physics Letters,2014.0,S Minardi;C Milian;D Majus;A Gopal;G Tamosauskas;A Couairon;...
Underwater acoustic wave generation by filamentation of terawatt ultrashort laser pulses,Physical Review E,2016.0,V Jukna;A Jarnac;C Milian;Y Brelet;J Carbonnel;YB Andre;...
Soliton-plasmon resonances as Maxwell nonlinear bound states,Optics Letters,2012.0,C Milian;DE Ceballos-Herrera;DV Skryabin;A Ferrando
Polychromatic Cherenkov radiation and supercontinuum in tapered optical fibers,JOSA B,2012.0,C Milian;A Ferrando;DV Skryabin
Multi-peak-spectra generation with Cherenkov radiation in a non-uniform single mode fiber,Optics Express,2014.0,FR Arteaga-Sierra;C Milian;I Torres-Gomez;M Torres-Cisneros;...
Emission of dispersive waves from a train of dark solitons in optical fibers,Optics Letters,2016.0,T Marest;CM Arabi;M Conforti;A Mussot;C Milian;DV Skryabin;...
