title,journal,year,otros_investigadores
Linear chaos,"Universitext, Springer Verlag",2011.0,K Grosse-Erdmann;A Peris Manguillot
Hereditarily hypercyclic operators,Journal of Functional Analysis,1999.0,J Bes;A Peris
Application and optimization of the discrete wavelet transform for the detection of broken rotor bars in induction machines,Applied and Computational Harmonic Analysis,2006.0,J Antonino-Daviu;M Riera-Guasp;J Roger-Folch;F Martinez-Gimenez;...
A dynamic trading rule based on filtered flag pattern recognition for stock market price forecasting,Expert Systems with Applications,2017.0,R Arevalo;J Garcia;F Guijarro;A Peris
Hypercyclic operators on non-normable Frechet spaces,journal of functional analysis,1998.0,J Bonet;A Peris
Disjointness in hypercyclicity,Journal of mathematical analysis and applications,2007.0,J Bes;A Peris
Hypercyclic behaviour of operators in a hypercyclic C0-semigroup,Journal of functional analysis,2007.0,JA Conejero;V Muller;A Peris
Li–Yorke and distributionally chaotic operators,Journal of Mathematical Analysis and Applications,2011.0,T Bermudez;A Bonilla;F Martinez-Gimenez;A Peris
Distributional chaos for linear operators,Journal of Functional Analysis,2013.0,NC Bernardes Jr;A Bonilla;V Muller;A Peris
"Hypercyclic, topologically mixing and chaotic semigroups on Banach spaces",Studia Mathematica,2005.0,T Bermudez;A Bonilla;J Conejero;A Peris
Chaos for backward shift operators,International Journal of Bifurcation and Chaos,2002.0,F Martinez-Gimenez;A Peris
Multi-hypercyclic operators are hypercyclic,Mathematische Zeitschrift,2001.0,A Peris
Li–Yorke chaos in linear dynamics,Ergodic Theory and Dynamical Systems,2015.0,NC Bernardes;A Bonilla;V Muller;A Peris
Set-valued discrete chaos,"Chaos, Solitons & Fractals",2005.0,A Peris
On hypercyclicity and supercyclicity criteria,Bulletin of the Australian Mathematical Society,2004.0,T Bermudez;A Bonilla;A Peris
Recurrence properties of hypercyclic operators,Mathematische Annalen,2016.0,J Bes;Q Menet;A Peris;Y Puig
Chaos on hyperspaces,"Nonlinear Analysis: Theory, Methods & Applications",2009.0,JL Garcia Guirao;D Kwietniak;M Lampart;P Oprocha;A Peris
Distributional chaos for backward shifts,Journal of Mathematical Analysis and Applications,2009.0,F Martinez-Gimenez;P Oprocha;A Peris
Disjoint mixing operators,Journal of Functional Analysis,2012.0,J Bes;O Martin;A Peris;S Shkarin
A Banach space which admits no chaotic operator,Bulletin of the London Mathematical Society,2001.0,J Bonet;F Martinez-Gimenez;A Peris
Linear chaos on Frechet spaces,International Journal of Bifurcation and Chaos,2003.0,J Bonet;F Martinez-Gimenez;A Peris
Universal and chaotic multipliers on spaces of operators,Journal of mathematical analysis and applications,2004.0,J Bonet;F Martinez-Gimenez;A Peris
Disjoint hypercyclic linear fractional composition operators,Journal of mathematical analysis and applications,2011.0,J Bes;O Martin;A Peris
Hypercyclic translation C0-semigroups on complex sectors,Discrete and Continuous Dynamical Systems-Series A (DCDS-A),2009.0,JA Conejero;A Peris
Operators with common hypercyclic subspaces,Journal of Operator Theory,2005.0,R Aron;J Bes;F Leon;A Peris
Transitive and hypercyclic operators on locally convex spaces,Bulletin of the London Mathematical Society,2005.0,J Bonet;L Frerick;A Peris;J Wengenroth
Syndetically hypercyclic operators,Integral Equations and Operator Theory,2005.0,A Peris;L Saldivia
Distributional chaos for operators on Banach spaces,Journal of Mathematical Analysis and Applications,2018.0,NC Bernardes Jr;A Bonilla;A Peris;X Wu
Frequently dense orbits,Comptes Rendus Mathematique,2005.0,KG Grosse-Erdmann;A Peris
Linear transitivity criteria,Topology and its Applications,2005.0,JA Conejero;A Peris
Strong mixing measures for linear operators and frequent hypercyclicity,Journal of Mathematical Analysis and Applications,2013.0,M Murillo-Arcila;A Peris
Distributional chaos for operators with full scrambled sets,Mathematische Zeitschrift,2013.0,F Martinez-Gimenez;P Oprocha;A Peris
Uncountably generated algebras of everywhere surjective functions,Bulletin of the Belgian Mathematical Society-Simon Stevin,2010.0,RM Aron;JA Conejero;A Peris;JB Seoane-Sepulveda
Hypercyclic semigroups and somewhere dense orbits,Comptes rendus. Mathematique,2002.0,G Costakis;A Peris
DISTRIBUTIONAL CHAOS FOR STRONGLY CONTINUOUS SEMIGROUPS OF OPERATORS.,Communications on Pure & Applied Analysis,2013.0,AA Albanese;X Barrachina;EM Mangino;A Peris
Universality and chaos for tensor products of operators,Journal of Approximation Theory,2003.0,F Martınez-Gimenez;A Peris
Quasinormable spaces and the problem of topologies of Grothendieck,Annales Fennici Mathematici,1994.0,A Peris
Frequently recurrent operators,Journal of Functional Analysis,2022.0,A Bonilla;KG Grosse-Erdmann;A Lopez-Martinez;A Peris
Weakly mixing operators on topological vector spaces,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales",2010.0,KG Grosse-Erdmann;A Peris
Strong transitivity properties for operators,Journal of Differential Equations,2019.0,J Bes;Q Menet;A Peris;Y Puig
Powers of hypercyclic functions for some classical hypercyclic operators,Integral Equations and Operator Theory,2007.0,RM Aron;JA Conejero;A Peris;JB Seoane–Sepulveda
Mean Li-Yorke chaos in Banach spaces,Journal of Functional Analysis,2020.0,NC Bernardes Jr;A Bonilla;A Peris
On the injective tensor product of quasinormable spaces,Results in Mathematics,1991.0,J Bonet;A Peris
Some questions about subspace-hypercyclic operators,Journal of Mathematical Analysis and Applications,2013.0,RR Jimenez-Munguia;RA Martinez-Avendano;A Peris
Comparison of different wavelet families for broken bar detection in induction motors,,2015.0,JC Hernandez;J Antonino-Daviu;F Martinez-Gimenez;A Peris
Chaotic asymptotic behavior of the hyperbolic heat transfer equation solutions,International Journal of Bifurcation and Chaos,2010.0,JA Conejero;A Peris;M Trujillo
Distributionally chaotic translation semigroups,Journal of Difference Equations and Applications,2012.0,X Barrachina;A Peris
