title,journal,year,otros_investigadores
The Hausdorff fuzzy metric on compact sets,Fuzzy sets and systems,2004.0,J Rodrıguez-Lopez;S Romaguera
"Denotational semantics for programming languages, balanced quasi-metrics and fixed points",International Journal of Computer Mathematics,2008.0,J Rodriguez-Lopez;S Romaguera;O Valero
S-topologies and bounded convergences,Journal of mathematical analysis and applications,2008.0,G Beer;S Naimpally;J Rodriguez-Lopez
Aggregation of fuzzy quasi-metrics,Information Sciences,2021.0,T Pedraza;J Rodriguez-Lopez;O Valero
The relationship between the Vietoris topology and the Hausdorff quasi-uniformity,Topology and its Applications,2002.0,J Rodriguez-Lopez;S Romaguera
The Hausdorff fuzzy quasi-metric,Fuzzy Sets and Systems,2010.0,J Rodriguez-Lopez;S Romaguera;JM Sanchez-Alvarez
On fuzzy uniformities induced by a fuzzy metric space,Fuzzy Sets and Systems,2018.0,J Gutierrez Garcia;J Rodriguez Lopez;S Romaguera Bonilla
Wijsman and hit-and-miss topologies of quasi-metric spaces,Set-Valued Analysis,2003.0,J Rodriguez-Lopez;S Romaguera
On hyperspace topologies via distance functionals in quasi-metric spaces,Acta Mathematica Hungarica,2006.0,J Cao;J Rodriguez-Lopez
An extension of the dual complexity space and an application to computer science,Topology and its Applications,2009.0,J Rodriguez-Lopez;MP Schellekens;O Valero
Aggregation of weak fuzzy norms,Symmetry,2021.0,T Pedraza;J Ramos-Canos;J Rodriguez-Lopez
Some properties of bornological convergences,Topology and its Applications,2011.0,J Rodriguez-Lopez;MA Sanchez-Granero
Asymptotic complexity of algorithms via the nonsymmetric Hausdorff distance,Computing Letters,2004.0,J Rodriguez-Lopez;S Romaguera;O Valero
Aggregation of L-Probabilistic Quasi-Uniformities,Mathematics,2020.0,T Pedraza;J Rodriguez-Lopez
Convergence of fuzzy sets with respect to the supremum metric,Fuzzy Sets and Systems,2014.0,T Pedraza;J Rodriguez-Lopez;S Romaguera
Fuzzy uniform structures,Filomat,2017.0,J Rodriguez Lopez
The Wijsman topology of a fuzzy metric space,Fuzzy Sets and Systems,2016.0,JG Garcia;J Rodriguez-Lopez;S Romaguera;M Sanchis
Closedness of bounded convex sets of asymmetric normed linear spaces and the Hausdorff quasi-metric,Bulletin of the Belgian Mathematical Society-Simon Stevin,2006.0,J Rodriguez-Lopez;S Romaguera
Reconciling proximal convergence with uniform convergence in quasi-metric spaces,Houston J. Math,2001.0,J Rodrıguez-Lopez;S Romaguera
New results on the aggregation of norms,Mathematics,2021.0,T Pedraza;J Rodriguez-Lopez
Hyperspace of a fuzzy quasi-uniform space,Iranian Journal of Fuzzy Systems,2020.0,T Pedraza
Hyperspaces of a weightable quasi-metric space: Application to models in the theory of computation,Mathematical and computer modelling,2010.0,HPA Kunzi;J Rodriguez-Lopez;S Romaguera
Casi-metricas difusas y dominios de computacion,"Revista Iberoamericana de Sistemas, Ciberneticaen Informatica",2005.0,J RODRIGUEZ-LOPEZ;S ROMAGUERA;A SAPENA
Hypertopologies and asymmetric topology,"Theory and Applications of Proximity, Nearness and Uniformity",2009.0,J Rodrıguez-Lopez;S Romaguera
A New Approach to Epiconvergence and Some Applications.,Southeast Asian Bulletin of Mathematics,2004.0,J Rodriguez-Lopez
McShane-Whitney extensions for fuzzy Lipschitz maps,Fuzzy Sets and Systems,2021.0,E Jimenez-Fernandez;J Rodriguez-Lopez;EA Sanchez-Perez
A linear regression model for nonlinear fuzzy data,International Conference on Intelligent Computing,2011.0,JC Figueroa-Garcia;J Rodriguez-Lopez
Graph topologies and uniform convergence in quasi-uniform spaces,"Universidad de Extremadura, Servicio de Publicaciones",2002.0,J Rodriguez Lopez;S Romaguera Bonilla
Power-Aggregation of Pseudometrics and the McShane-Whitney Extension Theorem for Lipschitz -Concave Maps,Acta Applicandae Mathematicae,2020.0,J Rodriguez-Lopez;EA Sanchez-Perez
Asymmetric topology and its applications,(No Title),2011.0,J Rodriguez-Lopez;S Romaguera
Ultimately increasing functions,,2010.0,G Beer;J Rodriguez-Lopez
On the Hausdorff Fuzzy Quasi-Metric and Computational,International e-Conference of Computer Science,2007.0,J Rodriguez-Lopez;S Romaguera;JM Sanchez-Alvarez
