title,journal,year,otros_investigadores
Optimal domain and integral extension of operators,Operator Theory: Advances and Applications,2008.0,S Okada;W Ricker;EAS Perez
Control of noise by trees arranged like sonic crystals,Journal of sound and vibration,2006.0,R Martinez-Sala;C Rubio;LM Garcia-Raffi;JV Sanchez-Perez;...
Spaces of p-integrable Functions with Respect to a Vector Measure,Positivity,2006.0,A Fernandez;F Mayoral;F Naranjo;C Saez;EA Sanchez-Perez
Sequence spaces and asymmetric norms in the theory of computational complexity,Mathematical and computer modelling,2002.0,LM Garcia-Raffi;S Romaguera;EA Sanchez-Perez
Compactness arguments for spaces of -integrable functions with respect to a vector measure and factorization of operators through Lebesgue-Bochner spaces,Illinois Journal of Mathematics,2001.0,EAS Perez
Validation of the use of Actigraph GT3X accelerometers to estimate energy expenditure in full time manual wheelchair users with spinal cord injury,Spinal cord,2013.0,X Garcia-Masso;P Serra-Ano;LM Garcia-Raffi;EA Sanchez-Perez;...
"Open data, big data:¿ hacia donde nos dirigimos?",Anuario ThinkEPI,2013.0,A Ferrer-Sapena;EA Sanchez-Perez
"Epidemiological, Microbiological, Clinical, and Prognostic Factors of Bacteremia Caused by High-Level Vancomycin-Resistant Enterococcus Species",European Journal of Clinical Microbiology and Infectious Diseases,2000.0,V Peset;P Tallon;C Sola;E Sanchez;A Sarrion;C Perez-Belles;A Vindel;...
Bicompleting weightable quasi-metric spaces and partial metric spaces,Rendiconti del Circolo Matematico di Palermo,2002.0,S Oltra;S Romaguera;EA Sanchez-Perez
The dual space of an asymmetric normed linear space,Quaestiones Mathematicae,2003.0,LM Garcia-Raffi;R Sanchez-Perez
On Hausdorff asymmetric normed linear spaces,Houston J. Math,2003.0,LM Garcia-Raffi;S Romaguera;EA Sanchez-Perez
Lipschitz operator ideals and the approximation property,Journal of Mathematical Analysis and Applications,2016.0,D Achour;P Rueda;EA Sanchez-Perez;R Yahi
Generalized perfect spaces,Indagationes Mathematicae,2008.0,JM Calabuig;O Delgado;EAS Perez
