title,journal,year
Scientific literature analysis of Judo in Web of Science,Archives of budo,2013.0
Open data y linked open data: Su impacto en el area de bibliotecas y documentacion,El Profesional de la Informacion,2011.0
Acceso a los datos publicos y su reutilizacion: open data y open government,PROFESIONAL DE LA INFORMACION,2011.0
Open data big data: ¿hacia donde nos dirigimos?,,2012.0
Survival analysis of author keywords: An application to the library and information sciences area,Journal of the Association for Information Science and Technology,2020.0
Information management in healthcare and environment: Towards an automatic system for fake news detection,International Journal of Environmental Research and Public Health,2020.0
Datos abiertos de investigacion. Camino recorrido y cuestiones pendientes,Anales de Documentacion,2017.0
Compartir los recursos utiles para la investigacion: datos abiertos (open data),Educacion Medica,2021.0
Correlation between impact factor and public availability of published research data in Information Science and Library Science journals,Scientometrics,2016.0
¿ Que nos aportan las redes sociales?,No indexada,2010.0
Guia metodologica para la implantacion de una biblioteca digital universitaria,,2005.0
Web 2.0 en medicina y pediatria (y II),No indexada,2011.0
Tema central: Redes sociales,El Profesional de la Informacion,2008.0
The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics,Research evaluation,2016.0
Factores para la adopcion de linked data e implantacion de la web semantica en bibliotecas archivos y museos,Information Research,2013.0
Informatizacion de la historia clinica en Espana,PROFESIONAL DE LA INFORMACION,2010.0
Research data sharing in Spain: Exploring determinants practices and perceptions,Data,2020.0
Herramientas de analisis de datos bibliograficos y construccion de mapas de conocimiento: Bibexcel y Pajek,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
Normalizacion de la informacion: la aportacion de IraLIS,El Profesional de la Informacion,2007.0
Gestion de datos de investigacion: infraestructuras para su difusion,El Profesional de la Informacion,2013.0
Como analizar el impacto de los datos de investigacion con metricas: modelos y servicios,El Profesional de la Informacion,2016.0
Bibliometric analysis of publications by South African viticulture and oenology research centres,South African Journal of Science,2012.0
CVN: normalizacion de los curriculos cientificos,PROFESIONAL DE LA INFORMACION,2008.0
Policies regarding public availability of published research data in pediatrics journals,Scientometrics,2019.0
Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19,El Profesional de la Informacion,2020.0
Global trends in scientific research on pediatric obesity,International Journal of Environmental Research and Public Health,2022.0
Public availability of published research data in substance abuse journals,International Journal of Drug Policy,2014.0
Implantacion de la Open Archives Initiative en Espana,Information Research,2008.0
Mathematical properties of weighted impact factors based on measures of prestige of the citing journals,Scientometrics,2015.0
Reutilizacion de datos culturales,Anuario ThinkEPI,2012.0
Informacion en la empresa para innovar y competir,PROFESIONAL DE LA INFORMACION,2008.0
Aplicaciones de la tecnologia blockchain en la documentacion cientifica: situacion actual y perspectivas,PROFESIONAL DE LA INFORMACION,2019.0
Disponibilidad en abierto de los articulos y de los datos brutos de investigacion en las revistas pediatricas espanolas,Anales de Pediatria,2015.0
Gobierno abierto y acceso a la informacion: un estudio de caso sobre el impacto en la economia local,Bid Textos Universitaris de Biblioteconomia I Documentacio,2020.0
Compartir datos de investigacion en cardiologia,Revista espanola de cardiologia,2013.0
Use of OAI protocol and its impact in digital libraries: a case study in Spain Portugal and Latin America,,2008.0
Gestion de los datos brutos de investigacion en los investigadores espanoles en ciencias de la salud,No indexada,2015.0
Design trend forecasting by combining conceptual analysis and semantic projections: New tools for open innovation,Journal of Open Innovation: Technology Market and Complexity,2021.0
Comunicacion cientifica (XXVI). Como aumentar la difusion y el impacto de los trabajos pediatricos participando en la ciencia abierta,No indexada,2015.0
Herramientas de analisis de datos bibliograficos y construccion de mapas de conocimiento: Bibexcel y Pajek,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
FAIR degree assessment in agriculture datasets using the F-UJI tool,Ecological Informatics,2023.0
ODiSEA: International registry on research data,Bid Textos Universitaris de Biblioteconomia I Documentacio,2012.0
Colecciones de fotografia en Espana. Propuesta del directorio de fotografia en Espana (DeFOTO),,2010.0
La economia social en la sociedad de la informacion,Hipertext. net,2004.0
Coste de la publicacion en abierto de articulos de autoria espanola en cinco areas de las ciencias sociales,Arbor,2021.0
Self-defined information indices: application to the case of university rankings,Scientometrics,2020.0
Measuring Time-Dynamics and Time-Stability of Journal Rankings in Mathematics and Physics by Means of Fractional p-Variations,,2017.0
DocuMenea: noticias frescas sobre documentacion,,2008.0
Analisis de los directorios privados de informacion empresarial espanola,PROFESIONAL DE LA INFORMACION,2007.0
Applications of blockchain technology in scientific documentation: current situation and perspectives,El Profesional de la Informacion,2019.0
Datos abiertos enlazados linked open data (LOD) en documentacion cientifica,Universitat Politecnica de Valencia,2013.0
¿ Que nos aportan las redes sociales?,Anuario ThinkEPI,2010.0
Analisis de la variabilidad de nombres de autores espanoles en depositos digitales universitarios de acceso abierto: un estudio por areas de conocimiento,REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA,2009.0
Sobre la sociedad red,PROFESIONAL DE LA INFORMACION,2008.0
Index spaces and standard indices in metric modelling,Vilnius University,2022.0
Tools for analysing bibliographic data and making knowledge maps: Bilbexcel and Pajek,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
Web 2.0 en medicina y pediatria (I),No indexada,2011.0
DSpace and the standardization of the information: names of Spanish authors,,2008.0
Citable URI,,2007.0
Presentacion del proyecto: guia metodologica para la implantacion de una biblioteca digital universitaria,Revista general de informacion y documentacion,2002.0
Transformaciones producidas por bacterias durante la manufactura del queso tipo Palmita,Rev. Tec. Ing. LUZ,1989.0
Share useful resources for research: Open data,Elsevier,2019.0
Citations to arXiv preprints by indexed journals and their impact on research evaluation,Journal of Information Science Theory and Practice,2018.0
Text mining versus redes neuronales. Dos metodos de analisis  aplicados al caso de las politicas de las revistas sobre datos,,2014.0
Access to and reuse of public data: open data and open government,PROFESIONAL DE LA INFORMACION,2011.0
El aprendizaje desde la practica. Integracion de nuevas metodologias docentes en la Licenciatura de Documentacion de la Universidad Politecnica de Valencia,Scire: Representacion y organizacion del conocimiento,2003.0
Singularity in higher education: Methods for detection and classification,Expert Systems,2024.0
Datos abiertos y perspectiva de genero ¿ por donde vamos?,Anuario ThinkEPI,2023.0
Graph distances for determining entities relationships: a topological approach to fraud detection,International Journal of Information Technology & Decision Making,2023.0
Maredata: red tematica sobre datos de investigacion en abierto: EN Ecosistemas del Acceso Abierto,Ediciones Universidad de Salamanca,2018.0
Deteccion y prevencion de las malas practicas y la corrupcion desde la perspectiva de las matematicas,Revista internacional de transparencia e integridad,2018.0
Documentacion en otorrinolaringologia. Compartir datos de investigacion de otorrinolaringologia en un ecosistema de ciencia abierta.,REVISTA ORL,2018.0
Vector-valued impact measures and generation of specific indexes for research assessment,Scientometrics,2016.0
Open availability of articles and raw research data in spanish pediatrics journals,Anales de Pediatria,2015.0
Gestion de datos de la investigacion,Universitat Politecnica de Valencia,2014.0
¿ Y las Universidades que? Universidad Abierta: algo mas que Gobierno Abierto y Open Data,No indexada,2014.0
Informe preliminar para la conservacion y reutilizacion de los datos cientificos en Espana,,2012.0
El factor de impacto bibliografico,FMC Formacion Medica Continuada en Atencion Primaria,2010.0
Normalizacion de la firma de autores por disciplina en repositorios catalanes: una aproximacion estadistica,,2008.0
Authority records for author's names in Library and Information Science,,2007.0
Ecsocial. com. Servicio de informacion para la economia social,,2005.0
Algoritmos matematicos para una inteligencia artificial responsable etica y transparente,Revista valenciana destudis autonomics,2023.0
Vulnerability of Olive Municipalities in Southern Spain,Available at SSRN,2022.0
Govern obert i acces a la informacio: un estudi de cas sobre l'impacte en l'economia local,Bid Textos Universitaris de Biblioteconomia I Documentacio,2020.0
Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19,El Profesional de la Informacion,2020.0
Inter-field nonlinear transformation of journal impact indicators: The case of the h-index,Journal of Interdisciplinary Mathematics,2019.0
La innovacion en la comunicacion cientifica,,2018.0
Los datos en el contexto actual: utilidades y servicios,,2017.0
La opinion y los habitos de los investigadores sobre los datos de investigacion,,2016.0
Los cientificos ante los datos abiertos. Red Maredata.,,2016.0
Research data management in Spain: results from a DATASEA project survey,,2015.0
The lack of stability of the impact factor of the mathematical journals,,2015.0
Managing and disseminating research data,PROFESIONAL DE LA INFORMACION,2013.0
Mejores practicas en reuso de conjuntos de datos publicados online como material adicional a los articulos,,2012.0
Innovacion y adaptacion de las necesidades formativas a la demanda empresarial,Anuario ThinkEPI,2011.0
OA applications for special and media collections. Processing information from audio and image files and iconic objects: museum and archives,,2010.0
Integracion de informacion sobre biblioteconomia y documentacion en Espana. La colaboracion entre E-LIS EXIT e IraLIS,,2009.0
Integracion de la informacion sobre biblioteconomia y documentacion en Espana. La colaboracion entre E-LIS EXIT e IRALIS,Conferencia,2009.0
Impact of OAI protocol in Spain Portugal and Latin America,,2008.0
Las TIC de las empresas de Economia Social de la Comunidad Valenciana. Estudio descriptivo,Florida Ediciones,2006.0
Metodos para el estudio de la actividad academica y cientifica de investigadores singulares,,
Graph distances for determining inter-entities relations: a topological approach to fraud detection,,
The compliance to FAIR principles of shared data in addiction research,Scientometrics,2025.0
Perception and Reuse of Open Data in the Spanish University Teaching and Research Community,Data,2024.0
Los estudios de futurizacion:¿ moda o consolidacion y maduracion de metodologias de prospectiva?,Anuario ThinkEPI,2024.0
Exploring stereotypes bias and expectations of women in the open data context,Gender Technology and Development,2024.0
Guia practica¿ Como abrir los algoritmos publicos?. Recomendaciones para la implantacion de registros de algoritmos publicos,Universitat Politecnica de Valencia,2024.0
Interview transcripts for the study entitled Exploring stereotypes bias and expectations of women in the open data context,,2024.0
Different perspectives on open data in agriculture: a case study on olive oil,No indexada,2024.0
FAIR degree assessment in agriculture datasets using the F-UJI tool [Dataset],Figshare,2023.0
¿ Tienen ideologia los datos abiertos?,,2023.0
Digital technology GAFA companies and the changing business world: growth trends in the ethereal economy 20 years later,Technium Soc. Sci. J.,2023.0
The quality of shared datasets in agriculture: a further step in the study of shared data quality,,2022.0
The quality of shared datasets in agriculture: a further step in the study of shared data quality.,,2022.0
El dato como expresion de la realidad,,2022.0
Unbiased indicators of hospitals occupancy during the COVID-19 pandemy: Unbiased indicators of hospitals occupancy during the COVID-19 pandemy,Studies of Applied Economics,2022.0
¿ Cuanto de abiertos son los datos de investigacion en el area agricola?,,2022.0
Dataset created in the context of the project Stable methodologies to evaluate and measure quality interoperability blockchain and reuse of open data in the agricultural field,,2022.0
Unbiased Indicators of Hospitals Occupancy during the COVID-19 Pandemic,Estudios DE Economia Aplicada,2022.0
Unbiased Indicators of Hospitals Occupancy during the COVID-19 Pandemic,Estudios DE Economia Aplicada,2022.0
Analisis de las barreras para la explotacion de los datos abiertos: estrategias y soluciones,,2022.0
El Open data y la apuesta de las instituciones por compartir las colecciones en abierto.,,2021.0
Agricultural market dynamics based on data evidence,,2021.0
Mes enlla de les noticies enganyoses (fakenews). Anatomia de la desinformacio,Universitat Ramon Llull,2021.0
Ciencia abierta: la importancia de los datos abiertos para la I+ D,,2021.0
Mas alla de las fake news,Bid Textos Universitaris de Biblioteconomia I Documentacio,2021.0
Jornada del Dia Internacional del Derecho a Saber 2021,,2021.0
The cost of open access publication of papers by spanish authors in five areas of the social sciences,Consejo Superior de Investigaciones Cientificas (Espana),2021.0
Coste de la publicacion en abierto de articulos de autoria espanola en cinco areas de las ciencias sociales,Arbor,2021.0
Los datos abiertos en los municipios,,2020.0
Where should I submit my work for publication? An asymmetrical classification model to optimize choice,Journal of Classification,2020.0
Deteccion y prevencion de las malas practicas y la corrupcion desde la perspectiva de las matematicas,Encuentros multidisciplinares,2020.0
Govern obert i acces a la informacio: un estudi de cas sobre l'impacte en l'economia local,Bid Textos Universitaris de Biblioteconomia I Documentacio,2020.0
Metodologia documental para el estudio de la relevancia cientifica de investigadores singulares,,2019.0
¿ Como escoge una revista una solucion para sus datos de investigacion? Indicadores a analizar,,2019.0
Maredata: red espanola sobre datos de investigacion en abierto. Valoracion y resultados,,2019.0
Las revistas ante los datos de investigacion. Analisis de las soluciones actuales.,,2019.0
Aplicaciones de la tecnologia blockchain en la documentacion cientifica: situacion actual y perspectivas,El Profesional de la Informacion,2019.0
Recomanacions per a la gestio de dades de recerca dirigides a investigadors,No indexada,2018.0
Hacia nuevos modelos de comunicacion cientifica. Sciechain: propuesta para la revalorizacion del trabajo cientifico basada en tecnologia blockchain,,2018.0
Aportaciones metodologicas para luchar contra el fraude: un reto multidisciplinar,Anuario ThinkEPI,2018.0
Preservacion de datos de investigacion: estrategias practicas,Anuario ThinkEPI,2018.0
Deteccion y prevencion de las malas practicas y la corrupcion desde la perspectiva de las matematicas,Revista internacional de transparencia e integridad,2018.0
Documentation in Otolaryngology. Sharing Otolaryngology research data in an open science ecosystem,REVISTA ORL,2018.0
Maredata: red tematica sobre datos de investigacion en abierto,,2018.0
Como la utilizacion de los datos abiertos puede impactar en la productividad de tu empresa,,2017.0
Que opinan los investigadores espanoles en Ciencias de la Salud sobre los datos abiertos de investigacion.,,2017.0
Analisis del portal de contrataciones de la Generalitat Valenciana,,2017.0
Politicas de almacenamiento y reutilizacion de datos de investigacion en revistas de cinco areas cientificas,,2017.0
Odisea: International Registry on Research Data,Universitat de Barcelona,2017.0
Normalizacion de la informacion: la aportacion de IraLIS,EPI El Profesional de la informacion,2017.0
Negocios y servicios de valor anadido reutilizando datos abiertos,,2017.0
Biblioteca digital en abierto (Open data) de cientificos y humanistas valencianos-VESTIGIUM,,2017.0
¿ Como creamos nuestro cosechador de RD? Opendatascience Hods/rd 2012-2016,,2017.0
Experiencias y lecciones aprendidas en datos abiertos en investigacion. El grupo Datasea,PH: Boletin del Instituto Andaluz del Patrimonio Historico,2017.0
Experiencias y lecciones aprendidas en datos abiertos en investigacion. El grupo Datasea.,Revista PH,2017.0
Datos abiertos el punto de vista del investigador,Universitat Politecnica de Valencia,2016.0
Servicios sobre gestion de datos (RDS) de investigacion en bibliotecas. De las mejores practicas a las posibles,,2016.0
How to analyze the impact of research data with metrics: Models and services,PROFESIONAL DE LA INFORMACION,2016.0
Research data services in academic libraries: the essential list,,2016.0
Servicios sobre gestion de datos (RDS) de investigacion en bibliotecas. De las mejores practicas a las posibles,,2016.0
Revistas que aceptan datos. Metaanalisis del metodo y disciplinas,,2016.0
Journals' policies of storage and reuse of raw research data and their impact in five scientific areas,,2016.0
Eines d'analisi de dades bibliografiques i construccio de mapes de coneixement: Bibexcel i Pajek.,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
Gestion intercambio y reutilizacion de datos brutos de investigacion en los investigadores espanoles,,2015.0
La via dorada de la publicacion de datos,,2015.0
Caracteristicas especiales de la difusion cientifica de matematicas,Anuario ThinkEPI,2015.0
Research raw data management in Spanish researchers on health sciences,,2015.0
Eines d'analisi de dades bibliografiques i construccio de mapes de coneixement: Bibexcel i Pajek,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
Evaluadores de la revista,El Profesional de la Informacion,2014.0
Publicar o difundir la ciencia. Como aumentar el impacto participando de la ciencia abierta,,2014.0
Information Manager Skills as CEO: the case of Data Management syllabus at Polytechnic University of Valencia,,2014.0
Promocion de la actividad fisica: un estudio bibliometrico sobre las palabras genero y mujer,,2014.0
Felipe Maria Garin Ortiz de Taranco: trayectoria academica social y cientifica,Universitat Politecnica de Valencia,2014.0
Promocion de la actividad fisica: un estudio bibliometrico sobre las palabras genero y mujer,,2014.0
Sharing research data in cardiology,Revista espanola de cardiologia,2013.0
¿ Es reutilizable el material adicional en las revistas mas citadas?= Is supplementary material reusable in the most cited journals?,,2013.0
Disponibilidad de los datos publicos de investigacion publicados en revistas sobre drogodependencias,,2013.0
Notas sobre la trayectoria universitaria y social del Catedratico de Historia del Arte Felipe Maria Garin Ortiz de Taranco,Cuestiones Pedagogicas. Revista de Ciencias de la Educacion,2013.0
Felipe Maria Garin Ortiz de Taranco: trayectoria academica social y cientifica,Universitat Politecnica de Valencia,2013.0
¿ Como se gestionan los datos de investigacion en ciencias de la salud?,,2013.0
Factores para la adopcion de linked data e implantacion de la web semantica en bibliotecas archivos y museos,,2012.0
Metodos para el estudio de la actividad academica y cientifica de investigadores singulares,,2012.0
