title,journal,year
NEXT a HPGXe TPC for neutrinoless double beta decay searches,Arxiv preprint arXiv:,2009
Computation of eigenvalues in proportionally damped viscoelastic structures based on the fixed point iteration,Applied Mathematics and Computation,2012
Multiparametric computation of eigenvalues for linear viscoelastic structures,Computers & Structures,2013
Eigensolutions of non proportionally damped systems based on continuous damping sensitivity,Journal of Sound and Vibration,2016
Dynamic analysis of frame structures with free viscoelastic layers: New closed form solutions of eigenvalues and a viscous approach,Engineering Structures,2013
The NEXT experiment,Journal of Physics: Conference Series,2009
Nonviscous modes of nonproportionally damped viscoelastic systems,Journal of Applied Mechanics,2015
Characterization of real eigenvalues in linear viscoelastic oscillators and the nonviscous set,Journal of Applied Mechanics,2014
Eigensolutions of nonviscously damped systems based on the fixed point iteration,Journal of Sound and Vibration,2018
A viscous approach based on oscillatory eigensolutions for viscoelastically damped vibrating systems,Mechanical Systems and Signal Processing,2013
Critical damping in nonviscously damped linear systems,Applied Mathematical Modelling,2019
Learning mechanical vibrations with Wolfram Mathematica,Conferencia,2015
Closed form eigensolutions of nonviscously nonproportionally damped systems based on continuous damping sensitivity,Journal of Sound and Vibration,2018
Approximate critical curves in exponentially damped nonviscous systems,Mechanical Systems and Signal Processing,2019
On the Accuracy of a Four Node Delaminated Composite Plate Element and Its Application to Damage Detection,Journal of Vibration and Acoustics,2013
Elastodynamical properties of Sturmian structured media,Journal of Sound and Vibration,2022
New interaction formula for plastic resistance of channel sections under combinations of bending moments My Ed Mz Ed and bimoment BEd,Structures,2022
Exact determination of critical damping in multiple exponential kernel based viscoelastic single degree of freedom systems,Mathematics and Mechanics of Solids,2019
Teoria de vigas en ingenieria aeroespacial,Universitat Politecnica de Valencia,2019
Proposal of a viscous model for nonviscously damped beams based on fractional derivatives,Shock and Vibration,2018
Experiencias para mejorar las competencias transversales y la evaluacion continua en Ingenieria Aeroespacial,,2016
The polynomial pivots as initial values for a new root finding iterative method,Journal of Applied Mathematics,2015
The Eigenvalue Problem in Linear Viscoelastic Structures: New Numerical Approaches and the Equivalent Viscous Model (Ph.D. Thesis),Universitat Politecnica de Valencia,2013
Laboratorio virtual para la interpretacion de las cargas en vuelo,Conferencia,2018
Analysis of Nonviscous Oscillators Based on the Damping Model Perturbation,Shock and Vibration,2016
Boundaries of oscillatory motion in structures with nonviscous dampers,Applied Sciences,2022
Critical relationships in nonviscous systems with proportional damping,Journal of Sound and Vibration,2020
Nonviscous Modes of Viscoelastically Damped Vibrating Systems,Viscoelastic and Viscoplastic Materials,2016
The 2024 phononic crystals roadmap,Journal of Physics D: Applied Physics,2025
Analytical approximations for multiple scattering in one dimensional waveguides with small inclusions,Mechanical Systems and Signal Processing,2025
Wave propagation in beams with multiple resonators: conditions for weak scattering and the Born approximation,Arxiv preprint arXiv:,2024
New Interaction Formulae for Plastic Resistances of Z Sections under Combinations of Bending Moments My Ed Mz Ed and Bimoment BEd,Buildings,2023
Modal Analysis Applied to Electric Guitar Design Influence on Manufacturing Parameters,,2020
An Innovative Approach For The Implementation Of Blended Learning In The Spanish Vocational Training Qualification Framework,Conferencia,2017
Topmost: a new tool based on learning outcomes for the academic mobility of vocational students,Conferencia,2016
Dispersion relationship of phononic generalized beams,Arxiv preprint arXiv:,2024
Hyperuniformity of quasiperiodic tilings generated by continued fractions,Physical Review Applied,2024
New Interaction Formulae for Plastic Resistances of Z Sections under Combinations of Bending Moments My M Ed Mz M Ed and Bimoment B Ed,Buildings,2023
Damping perturbation based time integration asymptotic method for structural dynamics,International Journal of Computational Methods,2022
Measure Theory in Condensed Matter,Conferencia,2019
Teaching modal analysis: a challenge using virtual labs and experimental techniques,Conferencia,2017
Experiences to enhance transversal skills in aerospace engineering,EDULEARN,2016
Estrategias de intercambio y colaboracion internacional en la ET SID UPV,Conferencia,2015
Research Article The Polynomial Pivots as Initial Values for a New Root Finding Iterative Method,,2015
A Teaching Experience: Aeroelasticity and the Finite Element Method,Conferencia,2015
La torsion alabeada como secuencia de infinitos problemas de flexion,Conferencia,2014
Approximate Solutions for Visco Elastically Damped Beams,Conferencia,2014
Recursive Computation of Complex Frequencies of Vibrating Non Viscous Damped Systems,Conferencia,2014
The warping torsion as a sequence of infinite bending problems,Conferencia,2014
Modelizacion no lineal de secciones aeronauticas con Excel Solver,Conferencia,2013
On the Accuracy of a Four Node Delaminated Composite Plate Element and Its Application to Damage Detection. Article 061003,Journal of Vibration and Acoustics,2013
A new quadrilateral delaminated composite plate element.,Conferencia,2011
Propuesta modelo viscoso equivalente para viga timoshenko con comportamiento viscoelastico,Conferencia,2011
An Analytical Approach to the Computation of the Frequency Response Function.,,2010
NEXT: A Neutrinoless Double Beta Decay Experiment with a Gaseous Xenon TPC,Conferencia,2009
NEXT a HPGXe TPC for neutrinoless double beta decay searches,Arxiv preprint arXiv:,2009
Proyecto de ampliacion de viaductos en zona sismica. Principios de diseno y analisis sismorresistente,Conferencia,2005
