title,journal,year
On the Sylow graph of a group and Sylow nomalizers,Israel Journal of Mathematics,2011
On finite products of groups and supersolubility,Journal of Algebra,2010
Fitting classes and products of totally permutable groups,Journal of Algebra,2002
On Sylow normalizers of finite groups,Journal of Algebra,2014
On the product of two  decomposable soluble groups,,2009
Finite trifactorised groups and decomposability,Bulletin of the Australian Mathematical Society,2018
On the product of a I group and a I decomposable group,Journal of Algebra,2007
Products of connected groups,Illinois Journal of Mathematics,2003
Products of pairwise totally permutable groups,Proceedings of the Edinburgh Mathematical Society,2003
Injectors and radicals in products of totally permutable groups,Communications in Algebra,2003
On conditional permutability and factorized groups,Annali di Matematica Pura ed Applicata,2014
Finite trifactorized groups and formations,Journal of Algebra,2000
Square free class sizes in products of groups,Journal of Algebra,2017
Nilpotent like Fitting formations of finite soluble groups,Bulletin of the Australian Mathematical Society,2000
Prime power indices in factorised groups,Mediterranean Journal of Mathematics,2017
On the product of two I decomposable groups,Revista Matematica Iberoamericana,2015
Pronormal subgroups of a direct product of groups,Journal of Algebra,2009
A reduction theorem for a conjecture on products of two I decomposable groups,Journal of Algebra,2013
Embedding properties in direct products,London Mathematical Society Lecture Notes Series,2007
Zeros of irreducible characters in factorised groups,Annali di Matematica Pura ed Applicata,2019
Extending the Kegel Wielandt Theorem through I decomposable groups,London Mathematical Society Lecture Notes Series,2011
Normally embedded subgroups in direct products,Walter de Gruyter,2006
A Survey on Sylow Normalizers and Classes of groups,Applied mathematical sciences,2014
A family of dominant Fitting classes of finite soluble groups,Journal of the Australian Mathematical Society,1998
Thompson like characterization of solubility for products of finite groups,Annali di Matematica Pura ed Applicata,2021
On finite groups with square free conjugacy class sizes,International Journal of Group Theory,2018
The  property on products of  decomposable groups,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2021
On products of groups and indices not divisible by a given prime,Monatshefte fur Mathematik,2020
Products of finite connected subgroups,Mathematics Journal,2020
Products of Groups and Class Sizes of  Elements,Mediterranean Journal of Mathematics,2020
Primitive subgroups and PST groups,Bulletin of the Australian Mathematical Society,2014
New progress on factorized groups and subgroup permutability,Conferencia,2013
Problemas de matematica discreta,Universitat Politecnica de Valencia,1997
An analogue for some Fitting classes to a theorem of Stellmacher,Journal of Pure and Applied Algebra,1995
A  theorem for  injectors in finite groups,Rendiconti del Seminario Matematico della Universita di Padova,1992
A positive extension of Eilenbergas variety theorem for non regular languages,Applicable Algebra in Engineering Communication and Computing,2021
Structural criteria in factorised groups via conjugacy class sizes,Conferencia,2019
Zeros of irreducible characters in factorised groups,,2019
Adaptacion de algebra al EEES,Conferencia,2011
On the Sylow graph of a finite group,Israel Journal of Mathematics,2011
Adaptacion de algebra al EEES:[poster],Conferencia,2011
Groups St Andrews 2009 in Bath: Extending the Kegel Wielandt theorem through I decomposable groups,,2011
Extensiones del teorema de Kegel Wielandt para grupos I descomponibles,Conferencia,2011
A Self centralizing Subgroup of S stable Groups,Acta Mathematica Hungarica,1999
On certain actions of groups and injective fitting sets,Communications in Algebra,1998
Problemas de matematica discreta,,1997
On subgroups of ZJ type of an F injector for fitting classes between Ep* p and Ep* Gp,Publicacions Matematiques,1994
Clases inyectivas de grupos finitos. Factorizaciones,Universitat de Valencia,1992
Factorizaciones de tipo Thompson asociadas a p* p inyectores en grupos finitos,Conferencia,1991
