title,journal,year
Laser assisted guiding of electric discharges around objects,Science Advances,2015.0
Soliton families and resonant radiation in a micro ring resonator near zero group velocity dispersion,Optics Express,2014.0
Solitons and frequency combs in silica microring resonators: Interplay of the Raman and higher order dispersion effects,Physical Review Applied,2015.0
Superfilamentation in air,Physical Review Letters,2014.0
Tubular filamentation for laser material processing,Scientific Reports,2015.0
Generation of long lived underdense channels using femtosecond filamentation in air,Journal of Physics B: Atomic Molecular and Optical Physics,2015.0
Spaceborne laser filamentation for atmospheric remote sensing,Laser & photonics reviews,2016.0
Filamentation with nonlinear Bessel vortices,Optics Express,2014.0
Continuum generation by dark solitons,Optics Letters,2009.0
Robust ultrashort light bullets in strongly twisted waveguide arrays,Physical Review Letters,2019.0
Supercontinuum optimization for dual soliton based light sources using genetic algorithms in a grid platform,Optics Express,2014.0
Energy deposition dynamics of femtosecond pulses in water,Applied Physics Letters,2014.0
Underwater acoustic wave generation by filamentation of terawatt ultrashort laser pulses,Physical Review Applied,2016.0
Soliton plasmon resonances as Maxwell nonlinear bound states,Optics Letters,2012.0
Polychromatic Cherenkov radiation and supercontinuum in tapered optical fibers,JOSA B,2012.0
Multi peak spectra generation with Cherenkov radiation in a non uniform single mode fiber,Optics Express,2014.0
Emission of dispersive waves from a train of dark solitons in optical fibers,Optics Letters,2016.0
Existence and switching behavior of bright and dark Kerr solitons in whispering gallery mode resonators with zero group velocity dispersion,The European Physical Journal D,2017.0
Effect of input pulse chirp on nonlinear energy deposition and plasma excitation in water,,2014.0
Bound states in the continuum in a two dimensional PT symmetric system,Optics Letters,2018.0
Quartic Kerr cavity combs: bright and dark solitons,Optics Letters,2022.0
Variational theory of soliplasmon resonances,JOSA B,2013.0
Nonlinear switching in arrays of semiconductor on metal photonic wires,Applied Physics Letters,2011.0
Robust three dimensional high order solitons and breathers in driven dissipative systems: a Kerr cavity realization,Physical Review Applied,2023.0
Clusters of cavity solitons bounded by conical radiation,Physical Review Letters,2018.0
Spectral wings of the fiber supercontinuum and the dark bright soliton interaction,Optics Express,2017.0
Grayness dependent emission of dispersive waves from dark solitons in optical fibers,Optics Letters,2018.0
Anomalous effects on radiation detectors and capacitance measurements inside a modified Faraday cage,Nuclear Instruments and Methods in Physics Research Section A: Accelerators,2016.0
Laser beam self symmetrization in air in the multifilamentation regime,Journal of Physics B: Atomic Molecular and Optical Physics,2015.0
Cavity solitons in a microring dimer with gain and loss,Optics Letters,2018.0
Cumulative effects in 100 kHz repetition rate laser induced plasma filaments in air,Advanced Photonics Research,2023.0
Reversible self replication of spatiotemporal Kerr cavity patterns,Physical Review Letters,2021.0
Collision between a dark soliton and a linear wave in an optical fiber,Optics Express,2018.0
Optimization of supercontinuum spectrum using genetic algorithms on service oriented grids,,2009.0
Optimization for maximum Raman frequency conversion in supercontinuum sources using genetic algorithms,Revista mexicana de fisica,2017.0
Antiferromagnetic Ising model in a triangular vortex lattice of quantum fluids of light,Science Advances,2024.0
Anomalous effects of radioactive decay rates and capacitance values measured inside a modified Faraday cage: Correlations with space weather,Europhysics Letters,2017.0
Cell viability and shock wave amplitudes in the endothelium of porcine cornea exposed to ultrashort laser pulses,Graefe's Archive for Clinical and Experimental Ophthalmology,2017.0
Photonic snake states in two dimensional frequency combs,Nature,2023.0
Many particle spectroscopy of atoms molecules clusters and surfaces: international conference MPS 2016,The European Physical Journal D,2017.0
Femtosecond pulse compression in a hollow core photonic bandgap fiber by tuning its cross section,Photonics and Nanostructures Fundamentals and Applications,2012.0
Ecofriendly Perovskites with Giant Self Defocusing Optical Response,Advanced Optical Materials,2023.0
