title,journal,year
The Meir Keeler fixed point theorem for quasi metric spaces and some consequences,MDPI,2019
Presymmetric w Distances on Metric Spaces,MDPI,2024
Contraction maps on complexity spaces and itexpoDC algorithms,,2007
The Banach fixed point theorem in fuzzy quasi metric spaces with application to the domain of words,Elsevier,2007
The property of presymmetry for w distances on quasi metric spaces,University of Nis,2024
New results on the mathematical foundations of asymptotic complexity analysis of algorithms via complexity spaces,,2012
I Contractive Type Mappings on Quasi Metric Spaces,University of Nis,2021
Characterizing complete fuzzy metric spaces via fixed point results,MDPI,2020
Generalized contractive set valued maps on complete preordered quasi metric spaces,,2013
A Quasi Metric lattice Approach for Access Prediction in Replicated Database Protocols,American Institute of Physics,2008
On Yager and Hamacher t norms and fuzzy metric spaces,No indexada,2014
Complete partial metric spaces have partially metrizable computational models,,2012
Contraction Maps on Ifqm spaces with Application to Recurrence Equations of Quicksort,,2009
Generating w distances on metric spaces from a fuzzy approach and an application to the fixed,,2024
Diffuse contraction functions and fixed point methods applied to algorithmic complexity analysis (Funciones de contraccion difusa y metodos de punto fijo aplicados al analisis de la complejidad algoritmica),International Institute of Informatics and Systemics IIIS,2014
Application of wavelet analysis to generate a streamflow time series,,2010
The bicompletion of intuitionistic fuzzy quasi metric spaces,,2012
Fixed point theorems that characterize completeness of g metric spaces,,2022
Revisiting Bianchini and Grandolfi Theorem in the Context of Modified I Distances,,2019
On the fixed point theory in bicomplete quasi metric spaces,,2016
Contraction mappings in fuzzy quasi metric spaces and (0 1) fuzzy posets,,2012
The complexity probabilistic quasi-metric space,,2011
The banach contraction principle in fuzzy quasi metric spaces and in product complexity spaces: Two approaches to study the cost of algorithms with a finite system of recurrence equations,,2012
The average running time of an algorithm as a midpoint between fuzzy sets,,2009
Characterizations of quasi metric and G metric completeness involving w distances and fixed points,Walter de Gruyter,2022
Application of the banach fixed point theorem on fuzzy quasi metric spaces to study the cost of algorithms with two recurrence equations,,2010
Characterizations of quasi metric completeness in terms of kannan type fixed point theorems,Hacettepe University,2017
Some classes of t norms and fuzzy metric spaces,,2012
Contractive multivalued maps in terms of Q functions on complete quasimetric spaces,No indexada,2014
Partial Metrics Viewed as w Distances: Extending Some Powerful Fixed Point Theorems,MDPI,2024
A discussion on p geraghty contraction on mw quasi metric spaces,MDPI,2020
On fixed point theorems in intuitionistic fuzzy metric spaces,,2007
A fixed point theorem for preordered complete fuzzy quasi metric spaces and an application,No indexada,2014
Weakly contractive multivalued maps and w distances on complete quasi metric spaces,No indexada,2011
A new model based on a fuzzy quasi metric type Baire applied to analysis of complexity,,2014
On compactness and g completeness in fuzzy metric spaces,University of Sistan and Baluchestan,2012
Q  functions on quasimetric spaces and fixed points for multivalued maps,,2011
The bicompletion of fuzzy quasi metric spaces,,2011
On the domain of formal balls of the Sorgenfrey quasi metric space,Elsevier,2016
On the bicompletion of intuitionistic fuzzy quasi metric spaces,University of Sistan and Baluchestan,2016
On the construction of metrics from fuzzy metrics and its application to the fixed point theory of multivalued mappings,Springer,2015
