"title","author","journal","number","cites","year","cid","pubid"
"Generalized perfect spaces","JM Calabuig, O Delgado, EAS Pérez","Indagationes Mathematicae","19 (3), 359-378",47,2008,"17303045645000885903","u5HHmVD_uO8C"
"Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets","JM Calabuig, H Falciani, EA Sánchez-Pérez","Neurocomputing","398, 172-184",32,2020,"8860020886179574009","isC4tDSrTZIC"
"Factorizing operators on Banach function spaces through spaces of multiplication operators","JM Calabuig, O Delgado, EAS Pérez","Journal of mathematical analysis and applications","364 (1), 88-103",32,2010,"8459825958135806304","u-x6o8ySG0sC"
"On the Banach lattice structure of of a vector measure on a-ring","JM Calabuig, O Delgado, MA Juan, EA Sánchez Pérez","Collectanea Mathematica","65 (1), 67-85",28,2014,"9120356239366234596","Tyk-4Ss8FVUC"
"Aprender como una máquina: introduciendo la Inteligencia Artificial en la enseñanza secundaria","JM Calabuig Rodriguez, LM García Raffi, EA Sánchez Pérez","Modelling in Science Education and Learning","14 (1), 5-14",22,2021,"3784065825421670968","vV6vV6tmYwMC"
"Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19","SD Toro, M Isabel, JM Calabuig, A Ferrer Sapena, MF Peset Mancebo","El profesional de la información","29 (4), 1-13",19,2020,"6085747199610920801,16770134185468119650","BqipwSGYUEgC"
"Kaplan-Meier type survival curves for Covid-19: a health data based decision-making tool","JM Calabuig, LM García-Raffi, A García-Valiente, EA Sánchez-Pérez","Frontiers in public health","9, 646863",17,2021,"9106321170613279104","NMxIlDl6LWMC"
"Compactness in L1 of a vector measure","JM Calabuig Rodriguez, S Lajara, J Rodríguez Ruiz, EA Sánchez Pérez","Studia Mathematica","225 (3), 259-282",14,2014,"9348534513827013053,1238685282384391601","4TOpqqG69KYC"
"On the Structure of L1 of a Vector Measure via its Integration Operator","JM Calabuig, J Rodríguez, EA Sánchez-Pérez","Integral Equations and Operator Theory","64 (1), 21-33",14,2009,"14646879881056399762","d1gkVwhDpl0C"
"Radon–Nikodým derivatives for vector measures belonging to Köthe function spaces","JM Calabuig, P Gregori, EAS Pérez","Journal of mathematical analysis and applications","348 (1), 469-479",12,2008,"15186907643053225699","Y0pCki6q_DkC"
"Spaces of p-integrable functions with respect to a vector measure defined on a delta-ring","JM Calabuig Rodriguez, MA Juan Blanco, EA Sánchez Pérez","Operators and Matrices","6 (2), 241-262",11,2012,"9427832147903504141","zYLM7Y9cAGgC"
"Gobierno abierto y acceso a la información: un estudio de caso sobre el impacto en la economía local","A Ferrer Sapena, JM Calabuig, EA Sánchez Pérez, C Vidal-Cabo","BiD: textos universitaris de biblioteconomia i documentació","1-25",10,2020,"13860381926812903009","35N4QoGY0k4C"
"Convolution-continuous bilinear operators acting on Hilbert spaces of integrable functions","E Erdoğan, JM Calabuig, EA Sanchez Perez","","",9,2018,"13088210468373990163","hFOr9nPyWt4C"
