title,journal,year,otros_investigadores;;;;;
Easy attention: A simple self-attention mechanism for transformers,arXiv preprint arXiv:,2023.0,M Sanchis-Agudo;Y Wang;K Duraisamy;R Vinuesa;;
Extension of semi-Lipschitz maps on non-subadditive quasi-metric spaces: New tools for Artificial Intelligence,Quaestiones Mathematicae,2024.0,R Arnau;N Jonard-Perez;EA Sanchez Perez;;;
"Extension procedures for lattice Lipschitz operators on Euclidean spaces,""Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ..."",2023.0,R Arnau";JM Calabuig;E Erdogan;EA Sanchez Perez;;
Using neural networks and hierarchical cluster analysis to study goal kicks in football,International Journal of Sports Science & Coaching,2024.0,AR Arnau Notari;JM Calabuig;C Catalan;LM Garcia Raffi;JM Pardo Gila;...
Lattice Lipschitz superposition operators on Banach function spaces,Journal of Mathematical Analysis and Applications,2025.0,R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
A Bellman–Ford Algorithm for the Path-Length-Weighted Distance in Graphs,Mathematics,2024.0,R Arnau;JM Calabuig;LM Garcia-Raffi;EA Sanchez Perez;S Sanjuan;
"Approximation of almost diagonal non-linear maps by lattice Lipschitz operators,""Bulletin of the Brazilian Mathematical Society, New Series"",2024.0,R Arnau";JM Calabuig;E Erdogan;EA Sanchez Perez;;
Lipschitz Transformations and maurey-type non-homogeneous integral inequalities for operators on banach function spaces,Mathematics,2023.0,R Arnau;EA Sanchez-Perez;;;;
Measure-Based Extension of Continuous Functions and p-Average-Slope-Minimizing Regression,Axioms,2023.0,R Arnau;JM Calabuig;EA Sanchez Perez;;;
Representation of Lipschitz Maps and Metric Coordinate Systems,Mathematics,2022.0,R Arnau;JM Calabuig;EA Sanchez Perez;;;
Mathematical Modeling and Machine Learning for Predicting Shade-Seeking Behavior in Cows Under Heat Stress,arXiv preprint arXiv:,2025.0,S Sanjuan;DA Mendez;R Arnau;JM Calabuig;X Aguirre;F Estelles
Lattice Lipschitz operators on space,arXiv preprint arXiv:,2024.0,R Arnau;JM Calabuig;EA Sanchez-Perez;;;
Eccentric p-Summing Lipschitz Operators and Integral Inequalities on Metric Spaces and Graphs,Axioms,2024.0,R Arnau;EA Sanchez Perez;S Sanjuan;;;
Moduli of Continuity in Metric Models and Extension of Livability Indices,Axioms,2024.0,R Arnau;JM Calabuig;A Gonzalez;EA Sanchez Perez;;
Ensenanza del aprendizaje por refuerzo con un sencillo ejemplo de minimizacion de funciones,Editorial Universitat Politecnica de Valencia,2023.0,AR Arnau Notari;LM Garcia Raffi;JM Calabuig Rodriguez;...;;
EXTENSION PROCEDURES FOR LATTICE LIPSCHITZ MAPPINGS,,,R ARNAU;JM CALABUIG;E ERDOGAN;EAS PEREZ;;
