title,journal,year,otros_investigadores
Generalized perfect spaces,Indagationes Mathematicae,2008.0,JM Calabuig;O Delgado;EAS Perez
Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,Neurocomputing,2020.0,JM Calabuig;H Falciani;EA Sanchez-Perez
Factorizing operators on Banach function spaces through spaces of multiplication operators,Journal of mathematical analysis and applications,2010.0,JM Calabuig;O Delgado;EAS Perez
On the Banach lattice structure of of a vector measure on a-ring,Collectanea Mathematica,2014.0,JM Calabuig;O Delgado;MA Juan;EA Sanchez Perez
Aprender como una maquina: introduciendo la Inteligencia Artificial en la ensenanza secundaria,Modelling in Science Education and Learning,2021.0,JM Calabuig Rodriguez;LM Garcia Raffi;EA Sanchez Perez
Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19,El profesional de la informacion,2020.0,SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;MF Peset Mancebo
Kaplan-Meier type survival curves for Covid-19: a health data based decision-making tool,Frontiers in public health,2021.0,JM Calabuig;LM Garcia-Raffi;A Garcia-Valiente;EA Sanchez-Perez
Compactness in L1 of a vector measure,Studia Mathematica,2014.0,JM Calabuig Rodriguez;S Lajara;J Rodriguez Ruiz;EA Sanchez Perez
On the Structure of L1 of a Vector Measure via its Integration Operator,Integral Equations and Operator Theory,2009.0,JM Calabuig;J Rodriguez;EA Sanchez-Perez
Radon–Nikodym derivatives for vector measures belonging to Kothe function spaces,Journal of mathematical analysis and applications,2008.0,JM Calabuig;P Gregori;EAS Perez
Gobierno abierto y acceso a la informacion: un estudio de caso sobre el impacto en la economia local,BiD: textos universitaris de biblioteconomia i documentacio,2020.0,A Ferrer Sapena;JM Calabuig;EA Sanchez Perez;C Vidal-Cabo
Spaces of p-integrable functions with respect to a vector measure defined on a delta-ring,Operators and Matrices,2012.0,JM Calabuig Rodriguez;MA Juan Blanco;EA Sanchez Perez
Convolution-continuous bilinear operators acting on Hilbert spaces of integrable functions,,2018.0,E Erdogan;JM Calabuig;EA Sanchez Perez
Fourier Transform and Convolutions on L               p                of a Vector Measure on a Compact Hausdorff Abelian Group,Journal of Fourier Analysis and Applications,2013.0,JM Calabuig;F Galaz-Fontes;EM Navarrete;EA Sanchez-Perez
A bilinear version of Orlicz–Pettis theorem,Journal of mathematical analysis and applications,2008.0,O Blasco;JM Calabuig;T Signes
On p-Dunford integrable functions with values in Banach spaces,Journal of Mathematical Analysis and Applications,2018.0,JM Calabuig;J Rodriguez;P Rueda;EA Sanchez-Perez
Multiplication operators in Kothe–Bochner spaces,Journal of mathematical analysis and applications,2011.0,JM Calabuig;J Rodriguez;EA Sanchez-Perez
Weak continuity of Riemann integrable functions in Lebesgue-Bochner spaces,"Acta Mathematica Sinica, English Series",2010.0,JM Calabuig;J Rodriguez;EA Sanchez-Perez
On completely continuous integration operators of a vector measure,J. Convex Anal,2014.0,JM Calabuig;J Rodriguez;EA Sanchez-Perez
Finite semivariation and regulated functions by means of bilinear maps,,2000.0,O Blasco
La modelizacion como competencia transversal en el sistema educativo espanol,UNO. Revista de didactica de las matematicas,2015.0,JM Calabuig;I Ferrando Palomares;C Gallart-Palau;LM Garcia-Raffi;...
Strongly embedded subspaces of p-convex Banach function spaces,Positivity,2013.0,JM Calabuig;J Rodriguez;EA Sanchez-Perez
Algebra lineal y juegos de mesa,Modelling in Science Education and Learning,2013.0,JM Calabuig;LM Garcia-Raffi;EA Sanchez-Perez
Fourier analysis with respect to bilinear maps,"Acta Mathematica Sinica, English Series",2009.0,O Blasco;JM Calabuig
Strong factorization of operators on spaces of vector measure integrable functions and unconditional convergence of series,Mathematische Zeitschrift,2007.0,JM Calabuig;F Galaz-Fontes;E Jimenez-Fernandez;EA Sanchez Perez
Summability in of a vector measure,Mathematische Nachrichten,2017.0,JM Calabuig;J Rodriguez;EA Sanchez‐Perez
