title,journal,year,otros_investigadores
Some remarks on Phelps property U of a Banach space into C(K) spaces,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2024.0,C Cobollo;AJ Guirao;V Montesinos
A remark on totally smooth renormings,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2020.0,C Cobollo;AJ Guirao;V Montesinos
Octahedrality and Gateaux smoothness,Journal of Mathematical Analysis and Applications,2025.0,C Cobollo;P Hajek
On disjoint dynamical properties and Lipschitz-free spaces,Results in Mathematics,2025.0,C Cobollo;A Peris
On the strongly subdifferentiable points in Lipschitz-free spaces,Banach Journal of Mathematical Analysis,2025.0,C Cobollo;S Dantas;P Hajek;M Jung
The numerical index of 2-dimensional Lipschitz-free spaces,Journal of Mathematical Analysis and Applications,2024.0,C Cobollo;AJ Guirao;V Montesinos
Banach spaces with small weakly open subsets of the unit ball and massive sets of Daugavet and -points,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2024.0,C Cobollo;D Isert;G Lopez-Perez;M Martin;Y Perreau;A Quero;A Quilis;...
Banach spaces with small weakly open subsets of the unit ball and massive sets of Daugavet and∆-points,Springer Nature,2024.0,C Cobollo;D Isert;G Lopez Perez;M Martin Suarez;Y Perreau;...
Phelps Property U and  spaces,arXiv preprint arXiv:,2022.0,C Cobollo;AJ Guirao;V Montesinos
On a Ermakov-Kalitkin scheme based family of fourth order,Modelling for Engineering & Human Behaviour,2021.0,C Cobollos;A Cordero Barbero;JR Torregrosa Sanchez
On unique-extension renormings,TEMat monograficos,2021.0,C Cobollo
Maximal averaging operators: from geometry to boundedness through duality,TEMat monograficos,2020.0,AA Almirall;CC Gomez;H Jardon-Sanchez;CM Murillo;A Quilis;...
"Notes on differentiability, norm-preserving extensions, and renormings in Banach spaces",Universitat Politecnica de Valencia,2020.0,C Cobollo Gomez
Maximal averaging operators: from geometry to boundedness through duality,,2019.0,A Arraz Almirall;C Cobollo Gomez;H Jardon Sanchez;C Martın Murillo;...
HAVING UNIQUE HAHN–BANACH EXTENSIONS INSIDE C (K),,,CH COBOLLO;AJ GUIRAO;V MONTESINOS
