title,journal,year,otros_investigadores
Objective comparison of methods to decode anomalous diffusion,Nature communications,2021.0,G Munoz-Gil;G Volpe;MA Garcia-March;E Aghion;A Argun;CB Hong;...
Hypercyclic behaviour of operators in a hypercyclic C0-semigroup,Journal of functional analysis,2007.0,JA Conejero;V Muller;A Peris
"Hypercyclic, topologically mixing and chaotic semigroups on Banach spaces",Studia Mathematica,2005.0,T Bermudez;A Bonilla;J Conejero;A Peris
Chaotic behaviour of the solutions of the Moore-Gibson-Thompson equation,Applied Mathematics & Information Sciences,2015.0,JA Conejero;C Lizama;F Rodenas
Potential limitations in COVID-19 machine learning due to data source variability: A case study in the nCov2019 dataset,Journal of the American Medical Informatics Association,2021.0,C Saez;N Romero;JA Conejero;JM Garcia-Gomez
Hypercyclic translation C0-semigroups on complex sectors,Discrete and Continuous Dynamical Systems-Series A (DCDS-A),2009.0,JA Conejero;A Peris
"CyanoFactory, a European consortium to develop technologies needed to advance cyanobacteria as chassis for production of chemicals and fuels",Algal Research,2019.0,P Lindblad;D Fuente;F Borbe;B Cicchi;JA Conejero;N Couto;...
Higher-order spectral analysis of stray flux signals for faults detection in induction motors,Applied Mathematics and Nonlinear Sciences,2020.0,MEI Martinez;JA Antonino-Daviu;PF de Cordoba;JA Conejero
Linear transitivity criteria,Topology and its Applications,2005.0,JA Conejero;A Peris
Detection of nonadjacent rotor faults in induction motors via spectral subtraction and autocorrelation of stray flux signals,IEEE Transactions on Industry Applications,2019.0,ME Iglesias-Martinez;PF de Cordoba;JA Antonino-Daviu;JA Conejero
Algebrability and nowhere Gevrey differentiability,Israel Journal of Mathematics,2015.0,F Bastin;JA Conejero;C Esser;JB Seoane-Sepulveda
Uncountably generated algebras of everywhere surjective functions,Bulletin of the Belgian Mathematical Society-Simon Stevin,2010.0,RM Aron;JA Conejero;A Peris;JB Seoane-Sepulveda
Hypercyclic semigroups generated by Ornstein-Uhlenbeck operators,Mediterranean Journal of Mathematics,2010.0,JA Conejero;EM Mangino
La entrada en la Universidad: un reto para la orientacion academica,REDU. Revista de Docencia Universitaria,2014.0,VE Garcia-Felix;JA Conejero;JL Diez-Ruano
Powers of hypercyclic functions for some classical hypercyclic operators,Integral Equations and Operator Theory,2007.0,RM Aron;JA Conejero;A Peris;JB Seoane–Sepulveda
Light distribution and spectral composition within cultures of micro-algae: quantitative modelling of the light field in photobioreactors,Algal research,2017.0,D Fuente;J Keller;JA Conejero;M Rogner;S Rexroth;JF Urchueguia
A user-centered chatbot (Wakamola) to collect linked data in population networks to support studies of overweight and obesity causes: design and pilot study,JMIR Medical Informatics,2021.0,S Asensio-Cuesta;V Blanes-Selva;JA Conejero;A Frigola;MG Portoles;...
Chaotic asymptotic behavior of the hyperbolic heat transfer equation solutions,International Journal of Bifurcation and Chaos,2010.0,JA Conejero;A Peris;M Trujillo
Smoothing vs. sharpening of colour images: Together or separated,Applied mathematics and nonlinear sciences,2017.0,C Perez-Benito;S Morillas;C Jordan;JA Conejero
The sustainable development goals and aerospace engineering: a critical note through artificial intelligence,Results in Engineering,2023.0,A Sanchez-Roncero;O Garibo-i-Orts;JA Conejero;H Eivazi;F Mallor;...
Outreach initiatives operated by universities for increasing interest in science and technology,European Journal of Engineering Education,2016.0,L Gumaelius;M Almqvist;A Arnadottir;A Axelsson;JA Conejero;...
Halting generative AI advancements may slow down progress in climate research,Nature Climate Change,2023.0,F Larosa;S Hoyas;J Garcia-Martinez;JA Conejero;F Fuso Nerini;...
Distributionally chaotic families of operators on Frechet spaces,American Institute of Mathematical Sciences,2016.0,JA Conejero;M Kostic;PJ Miana
Rotor fault detection in induction motors based on time-frequency analysis using the bispectrum and the autocovariance of stray flux signals,Energies,2019.0,ME Iglesias-Martinez;JA Antonino-Daviu;P Fernandez de Cordoba;...
Quartic Kerr cavity combs: bright and dark solitons,Optics Letters,2022.0,P Parra-Rivas;S Hetzel;YV Kartashov;PF de Cordoba;...
Open data science to fight COVID-19: winning the 500k XPRIZE pandemic response challenge,Joint European Conference on Machine Learning and Knowledge Discovery in ...,2021.0,MA Lozano;OG Orts;E Pinol;M Rebollo;K Polotskaya;MA Garcia-March;...
Well-posedness for degenerate third order equations with delay and applications to inverse problems,Israel Journal of Mathematics,2019.0,JA Conejero;C Lizama;M Murillo-Arcila;JB Seoane-Sepulveda
Efficient recurrent neural network methods for anomalously diffusing single particle short and noisy trajectories,Journal of Physics A: Mathematical and Theoretical,2021.0,O Garibo-i-Orts;A Baeza-Bosca;MA Garcia-March;JA Conejero
An iterative algorithm for the management of an electric car-rental service,Journal of Applied Mathematics,2014.0,JA Conejero;C Jordan;E Sanabria-Codesal
Devaney chaos and distributional chaos in the solution of certain partial differential equations,Abstract and Applied Analysis,2012.0,X Barrachina;JA Conejero
A happiness degree predictor using the conceptual data structure for deep learning architectures,Computer methods and programs in biomedicine,2019.0,FJ Perez-Benito;P Villacampa-Fernandez;JA Conejero;...
Lineability within probability theory settings,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2017.0,JA Conejero;M Fenoy;M Murillo-Arcila;JB Seoane-Sepulveda
A game-theory method to design job rotation schedules to prevent musculoskeletal disorders based on workers’ preferences and competencies,International journal of environmental research and public health,2019.0,S Asensio-Cuesta;JM Garcia-Gomez;JL Poza-Lujan;JA Conejero
Analytical evaluation of the performance of contact-based messaging applications,Computer Networks,2016.0,E Hernandez-Orallo;M Murillo-Arcila;CT Calafate;JC Cano;JA Conejero;...
Automatic classification of winding asymmetries in wound rotor induction motors based on bicoherence and fuzzy C-means algorithms of stray flux signals,IEEE Transactions on Industry Applications,2021.0,MEI Martinez;JA Antonino-Daviu;PF de Cordoba;JA Conejero;L Dunai
A model based on local graphs for colour images and its application for Gaussian noise smoothing,Journal of Computational and Applied Mathematics,2018.0,C Perez-Benito;S Morillas;C Jordan;JA Conejero
On the existence of transitive and topologically mixing semigroups,Bulletin of the Belgian Mathematical Society-Simon Stevin,2007.0,JA Conejero
Hypercyclic subspaces in omega,Journal of mathematical analysis and applications,2006.0,J Bes;JA Conejero
Characterization of anomalous diffusion through convolutional transformers,Journal of Physics A: Mathematical and Theoretical,2023.0,N Firbas;O Garibo-i-Orts;MA Garcia-March;JA Conejero
Age slowing down in detection and visual discrimination under varying presentation times,Scandinavian journal of psychology,2017.0,C Moret‐Tatay;LG Lemus‐Zuniga;DA Tortosa;D Gamermann;...
An algorithm for self-organization of driverless vehicles of a car-rental service,Nonlinear Dynamics,2016.0,JA Conejero;C Jordan;E Sanabria-Codesal
Hypercyclic algebras for convolution and composition operators,Journal of Functional Analysis,2018.0,J Bes;JA Conejero;D Papathanasiou
Linear dynamics of semigroups generated by differential operators,Open Mathematics,2017.0,J Alberto Conejero;C Lizama;M Murillo-Arcila;A Peris
Convolution operators supporting hypercyclic algebras,Journal of Mathematical Analysis and Applications,2017.0,J Bes;JA Conejero;D Papathanasiou
Fractional vs. ordinary control systems: what does the fractional derivative provide?,Mathematics,2022.0,JA Conejero;J Franceschi;E Pico-Marco
Chaotic semigroups from second order partial differential equations,Journal of Mathematical Analysis and Applications,2017.0,JA Conejero;C Lizama;M Murillo-Arcila
Chaos for the hyperbolic bioheat equation,Discrete and Continuous Dynamical Systems-Series A,2015.0,JA Conejero;F Rodenas;M Trujillo
Sums and products of bad functions,Contemporary Mathematics,2007.0,RM Aron;JA Conejero;A Peris;JB Seoane-Sepulveda
Estimation of the light field inside photosynthetic microorganism cultures through Mittag-Leffler functions at depleted light conditions,Journal of Quantitative Spectroscopy and Radiative Transfer,2018.0,D Fuente;C Lizama;JF Urchueguia;JA Conejero
An analytical model based on population processes to characterize data dissemination in 5G opportunistic networks,IEEE Access,2017.0,E Hernandez-Orallo;M Murillo-Arcila;JC Cano;CT Calafate;JA Conejero;...
Distributional chaos for the forward and backward control traffic model,Linear Algebra and its Applications,2015.0,X Barrachina;JA Conejero;M Murillo-Arcila;JB Seoane-Sepulveda
Chaotic translation semigroups,Conference Publications,2007.0,JA Conejero;A Peris
Zipf’s and benford’s laws in twitter hashtags,Proceedings of the Student Research Workshop at the,2017.0,JAP Melian;JA Conejero;CF Ramirez
