title,journal,year,otros_investigadores
An Arad and Fisman’s Theorem on Products of Conjugacy Classes Revisited,Birkhauser,2022,Beltran A.; Felipe M.J.; Melchor C.
On the diameter of a p-regular conjugacy class graph of finite groups II,,2003,Beltran A.; Felipe M.J.
Some Properties of Normal Subgroups Determined from Character Tables,Springer,2024,Akhlaghi Z.; Felipe M.J.; Jean-Philippe M.K.
Multiplying a conjugacy class by its inverse in a finite group,Springer New York LLC,2018,Beltran A.; Felipe M.J.; Melchor C.
On finite groups with square-free conjugacy class sizes,University of Isfahan,2018,Felipe M.-J.; Martinez-Pastor A.; Ortiz-Sotomayor V.-M.
Some class size conditions implying solvability of finite groups,,2006,Beltran A.; Felipe M.J.
"Corrigendum to ""Variations on a theorem by Alan Camina on conjugacy class sizes"" [J. Algebra 296 (2006) 253-266] (DOI:10.1016/j.jalgebra.2005.06.031)",,2008,Beltran A.; Felipe M.J.
Triangles in the graph of conjugacy classes of normal subgroups,Springer-Verlag Wien,2017,Beltran A.; Felipe M.J.; Melchor C.
Prime powers as conjugacy class lengths of π-elements,Australian Mathematical Publishing Association,2004,Beltran A.; Felipe M.J.
Finite p-solvable groups with three p-regular conjugacy class sizes,,2013,Akhlaghi Z.; Beltran A.; Felipe M.J.; Khatami M.
On products of groups and indices not divisible by a given prime,Springer,2020,Felipe M.J.; Kazarin L.S.; Martinez-Pastor A.; Sotomayor V.
Products of Groups and Class Sizes of π -Elements,Birkhauser,2020,Felipe M.J.; Martinez-Pastor A.; Ortiz-Sotomayor V.M.
NEW PROGRESS IN PRODUCTS OF CONJUGACY CLASSES IN FINITE GROUPS,Cambridge University Press,2019,Beltran A.; Felipe M.J.; Melchor C.
Finite groups with a disconnected p-regular conjugacy class graph,,2004,Beltran A.; Felipe M.J.
Powers of conjugacy classes in a finite group,Springer,2020,Beltran A.; Camina R.D.; Felipe M.J.; Melchor C.
Squares of real conjugacy classes in finite groups,Springer Verlag,2018,Beltran A.; Felipe M.J.; Melchor C.
On G-character tables for normal subgroups,Taylor and Francis Ltd.,2023,Felipe M.J.; Perez-Ramos M.D.; Sotomayor V.
Finite groups with four conjugacy class sizes,,2011,Beltran A.; Felipe M.J.
Landau's theorem on conjugacy classes for normal subgroups,World Scientific Publishing Co. Pte Ltd,2016,Beltran A.; Felipe M.J.; Melchor C.
A generalisation on the solvability of finite groups with three class sizes for normal subgroups,Cambridge University Press,2015,Beltran A.; Felipe M.J.
Square-free class sizes in products of groups,Academic Press Inc.,2017,Felipe M.J.; Martinez-Pastor A.; Ortiz-Sotomayor V.M.
Certain relations between p-regular class sizes and the p-structure of p-solvable groups,Australian Mathematical Publishing Association,2004,Beltran A.; Felipe M.J.
The structure of finite groups with three class sizes,,2009,Beltran A.; Felipe M.J.
Nilpotency of p-complements and p-regular conjugacy class sizes,,2007,Beltran A.; Felipe M.J.
