title,journal,year,otros_investigadores
Finite line-source model for borehole heat exchangers: effect of vertical temperature variations,Geothermics,2009.0,TV Bandos;A Montero;E Fernandez;JLG Santander;JM Isidro;J Perez;...
Decay modes of sigma and lambda hypernuclei,Physics Reports,1990.0,E Oset;PF de Cordoba;LL Salcedo;R Brockmann
Reconstruction and analysis of genome-scale metabolic model of a photosynthetic bacterium,BMC systems biology,2010.0,A Montagud;E Navarro;P Fernandez de Cordoba;JF Urchueguia;...
Improving parameter estimates obtained from thermal response tests: Effect of ambient air temperature variations,Geothermics,2011.0,TV Bandos;A Montero;PF De Cordoba;JF Urchueguia
Spatial soliton formation in photonic crystal fibers,Optics Express,2003.0,A Ferrando;M Zacares;PF de Cordoba;D Binosi;JA Monsoriu
Vortex transmutation,Physical review letters,2005.0,A Ferrando;M Zacares;MA Garcia-March;JA Monsoriu;PF de Cordoba
Semiphenomenological approach to nucleon properties in nuclear matter,Physical Review C,1992.0,PF de Cordoba;E Oset
Vortex solitons in photonic crystal fibers,Optics express,2004.0,A Ferrando;M Zacares;PF de Cordoba;D Binosi;JA Monsoriu
Roper excitation in α-proton scattering,Physical Review C,1996.0,S Hirenzaki;PF de Cordoba;E Oset
Flux coupling and transcriptional regulation within the metabolic network of the photosynthetic bacterium Synechocystis sp. PCC6803,Biotechnology journal,2011.0,A Montagud;A Zelezniak;E Navarro;PF de Cordoba;JF Urchueguia;...
Mesonic and binding contributions to the EMC effect in a relativistic many-body approach,Nuclear Physics A,1996.0,E Marco;E Oset;PF de Cordoba
Projectile delta excitation in alpha-proton scattering,Nuclear Physics A,1995.0,PF de Cordoba;E Oset;MJ Vicente-Vacas;Y Ratis;J Nieves;...
Semiexplicit method for wall temperature linked equations (SEWTLE): a general finite-volume technique for the calculation of complex heat exchangers,Numerical Heat Transfer: Part B: Fundamentals,2001.0,JM Corberan;PF de Cordoba;J Gonzalvez;F Alias
"Coherent pion production in the (3He, t) reaction in nuclei",Physics Letters B,1993.0,PF de Cordoba;J Nieves;E Oset;MJ Vicente-Vacas
Metabolic flux analysis of the hydrogen production potential in Synechocystis sp. PCC6803,international journal of hydrogen energy,2009.0,E Navarro;A Montagud;PF De Cordoba;JF Urchueguia
Muon capture revisited,Nuclear Physics A,1990.0,HC Chiang;E Oset;PF De Cordoba
Forward-backward equations for nonlinear propagation in axially invariant optical systems,"Physical Review E—Statistical, Nonlinear, and Soft Matter Physics",2005.0,A Ferrando;M Zacares;P Fernandez de Cordoba;D Binosi;A Montero
