title,journal,year,otros_investigadores
Finite line-source model for borehole heat exchangers: effect of vertical temperature variations,Geothermics,2009.0,TV Bandos;A Montero;E Fernandez;JLG Santander;JM Isidro;J Perez;...
Polynomials for torus links from Chern-Simons gauge theories,Nuclear Physics B,1993.0,JM Isidro;JMF Labastida;AV Ramallo
A new derivation of the Picard-Fuchs equations for effective N= 2 super Yang-Mills theories,Nuclear Physics B,1997.0,JM Isidro;A Mukherjee;JP Nunes;HJ Schnitzer
On the Picard-Fuchs equations for massive N= 2 Seiberg-Witten theories,Nuclear Physics B,1997.0,JM Isidro;A Mukherjee;JP Nunes;HJ Schnitzer
An entropic picture of emergent quantum mechanics,International Journal of Geometric Methods in Modern Physics,2012.0,D Acosta;P Fernandez de Cordoba;JM Isidro;JLG Santander
Nonperturbative flipped SU (5) vacua in heterotic M-theory,Nuclear Physics B,2002.0,AE Faraggi;R Garavuso;JM Isidro
Coset constructions in Chern-Simons gauge theory,Physics Letters B,1992.0,JM Isidro;JMF Labastida;AV Ramallo
A note on the Picard–Fuchs equations for N= 2 Seiberg–Witten theories,International Journal of Modern Physics A,1998.0,JM Isidro;A Mukherjee;J Nunes;HJ Schnitzer
"Emergent quantum mechanics as a classical, irreversible thermodynamics",International Journal of Geometric Methods in Modern Physics,2013.0,D Acosta;P Fernandez de Cordoba;JM Isidro;JLG Santander
"gl (N, N) current algebras and topological field theories",Nuclear Physics B,1994.0,JM Isidro;AV Ramallo
 supergravity dynamically coupled to superstring in a superfield Lagrangian approach,Physical Review D,2004.0,IA Bandos;JM Isidro
On the WDVV equation and M-theory,Nuclear Physics B,1999.0,JM Isidro
Emergent quantum mechanics as a thermal ensemble,International Journal of Geometric Methods in Modern Physics,2014.0,P Fernandez de Cordoba;JM Isidro;MH Perea
Emergence from irreversibility,Journal of Physics: Conference Series,2013.0,PF de Cordoba;JM Isidro;MH Perea
An analysis of the temperature field of the workpiece in dry continuous grinding,Journal of Engineering Mathematics,2010.0,JL Gonzalez–Santander;J Perez;PF de Cordoba;JM Isidro
Topological current algebras in two dimensions,Physics Letters B,1993.0,JM Isidro;AV Ramallo
Bypassing Pauli's theorem,Physics Letters A,2005.0,JM Isidro
Schroedinger vs. Navier–Stokes,Entropy,2016.0,P Fernandez de Cordoba;JM Isidro;J Vazquez Molina
"Duality, quantum mechanics and (almost) complex manifolds",Modern Physics Letters A,2003.0,JM Isidro
Two-dimensional area and matter flux in the theory of causal fermion systems,International Journal of Modern Physics D,2020.0,E Curiel;F Finster;JM Isidro
Lp-spectrum of the Schrodinger operator with inverted harmonic oscillator potential,Journal of Mathematical Physics,2017.0,F Finster;JM Isidro
On the Ricci flow and emergent quantum mechanics,Journal of Physics: Conference Series,2009.0,JM Isidro;JLG Santander;PF De Cordoba
"Ricci flow, quantum mechanics and gravity",International Journal of Geometric Methods in Modern Physics,2009.0,JM Isidro;JLG Santander;P Fernandez De Cordoba
A selfadjoint variant of the time operator,arXiv preprint quant-ph/,2007.0,R de la Madrid;JM Isidro
Quantum-mechanical dualities from classical phase space,Physics Letters A,2003.0,JM Isidro
Summing over spacetime dimensions in quantum gravity,Symmetry,2020.0,E Curiel;F Finster;JM Isidro
Exact Solution for the Time‐Dependent Temperature Field in Dry Grinding: Application to Segmental Wheels,Mathematical Problems in Engineering,2011.0,JL Gonzalez-Santander;JM Valdes Placeres;JM Isidro
Duality and the geometry of quantum mechanics,Journal of Physics A: Mathematical and General,2002.0,JM Isidro
The concept of a noncommutative Riemann surface,Physics Letters B,2000.0,G Bertoldi;JM Isidro;M Matone;P Pasti
A note on the quantum-mechanical Ricci flow,International Journal of Modern Physics A,2009.0,JM Isidro;JLG Santander;PFA De COrdoba
Coherent states and duality,Physics Letters A,2002.0,JM Isidro
