title,journal,year,otros_investigadores
Frequently recurrent operators,Journal of Functional Analysis,2022.0,A Bonilla;KG Grosse-Erdmann;A Lopez-Martinez;A Peris
Recurrence properties for linear dynamical systems: an approach via invariant measures,Journal de Mathematiques Pures et Appliquees,2023.0,S Grivaux;A Lopez-Martinez
Questions in linear recurrence: From the T⊕ T-problem to lineability,,2023.0,S Grivaux;A Lopez-Martinez;A Peris
Recurrent subspaces in Banach spaces,International Mathematics Research Notices,2024.0,A Lopez-Martinez
Shifts on trees versus classical shifts in chain recurrence,arXiv preprint arXiv:,2024.0,A Lopez-Martinez;D Papathanasiou
Two remarks on the set of recurrent vectors,arXiv preprint arXiv:,2023.0,A Lopez-Martinez;Q Menet
Invariant measures from locally bounded orbits,Results in Mathematics,2024.0,A Lopez-Martinez
Questions in linear recurrence I: the  -recurrence problem,Analysis and Mathematical Physics,2025.0,S Grivaux;A Lopez-Martinez;A Peris
Chain Recurrence is not hereditary in Linear Dynamics,,2024.0,A Lopez-Martinez
Recurrence in collective dynamics: From the hyperspace to fuzzy dynamical systems,arXiv preprint arXiv:,2024.0,I Alvarez;A Lopez-Martinez;A Peris
"Combinatorial number theory, recurrence of operators and linear dynamics",Universitat Politecnica de Valencia,2023.0,A Lopez Martinez
Questions in linear recurrence: From the -problem to lineability,arXiv preprint arXiv:,2022.0,S Grivaux;A Lopez-Martinez;A Peris
Frequent Recurrence via Invariant Measures,,2022.0,A Lopez-Martinez
Recurrencia frecuente en la dinamica de operadores,Universitat Politecnica de Valencia,2020.0,A Lopez Martinez
"Analisis Funcional, Teoria de Distribuciones de Schwartz y ChatGPT en Ingenieria Fisica Autores/as Afiliaciones",,,JA Conejero;L Goiriz;A Lopez-Martinez
"Functional Analysis, Schwartz Distributions Theory and ChatGPT in Physics Engineering",,,TD de Schwartz;JA Conejero;L Goiriz;A Lopez-Martinez
Analisis de la contribucion a los ODS de la formacion en matematica avanzada,OVACIO DOCEN,,JA Conejero;L Goiriz;A Lopez-Martinez
INVARIANT MEASURES IMPLY STRONG RECURRENCE,,,A LOPEZ-MARTINEZ
