title,journal,year,otros_investigadores
The total coordinate ring of a smooth projective surface,Journal of Algebra,2005,C Galindo;F Monserrat
The cone of curves associated to a plane configuration,Commentarii Mathematici Helvetici,2005,C Galindo;F Monserrat
The cone of curves and the Cox ring of rational surfaces given by divisorial valuations,Advances in Mathematics,2016,C Galindo;F Monserrat
"The Poincare problem, algebraic integrability and dicritical divisors",Journal of Differential Equations,2014,C Galindo;F Monserrat
The Poincare series of multiplier ideals of a simple complete ideal in a local ring of a smooth surface,Advances in Mathematics,2010,C Galindo;F Monserrat
On the cone of curves and of line bundles of a rational surface,International Journal of Mathematics,2004,C Galindo;F Monserrat
Minimal plane valuations,arXiv preprint arXiv:,2016,C Galindo;F Monserrat;JJ Moyano-Fernandez
δ‐sequences and evaluation codes defined by plane valuations at infinity,Proceedings of the London Mathematical Society,2009,C Galindo;F Monserrat
-sequences and Evaluation Codes defined by Plane Valuations at Infinity,arXiv preprint arXiv:,2007,C Galindo;F Monserrat
On the classification of exceptional planar functions over ,Geometriae Dedicata,2014,F Hernando;G McGuire;F Monserrat
Newton-Okounkov bodies of exceptional curve valuations,arXiv preprint arXiv:,2017,C Galindo;F Monserrat;JJ Moyano-Fernandez;M Nickel
The log-canonical threshold of a plane curve,Mathematical Proceedings of the Cambridge Philosophical Society,2016,C Galindo;F Hernando;F Monserrat
Curves having one place at infinity and linear systems on rational surfaces,Journal of Pure and Applied Algebra,2007,F Monserrat
The Abhyankar-Moh theorem for plane valuations at infinity,arXiv preprint arXiv:,2009,C Galindo;F Monserrat
Algebraic integrability of foliations of the plane,Journal of Differential Equations,2006,C Galindo;F Monserrat
Evaluation codes defined by finite families of plane valuations at infinity,"Designs, codes and cryptography",2014,C Galindo;F Monserrat
On the computation of Darboux first integrals of a class of planar polynomial vector fields,arXiv preprint arXiv:,2018,A Ferragut;C Galindo;F Monserrat
Configurations of infinitely near points,arXiv preprint arXiv:,2008,A Campillo;G Gonzalez-Sprinberg;F Monserrat
A class of polynomial planar vector fields with polynomial first integral,Journal of Mathematical Analysis and Applications,2015,A Ferragut;C Galindo;F Monserrat
On the characterization of algebraically integrable plane foliations,Transactions of the American Mathematical Society,2010,C Galindo;F Monserrat
Lins Neto's examples of foliations and the Mori cone of blow‐ups of P2,Bulletin of the London Mathematical Society,2011,F Monserrat
"Finite families of plane valuations: value semigroup, graded algebra and Poincare series",Zeta functions in algebra and geometry. Contemp. Math,2012,C Galindo;F Monserrat
Fibers of pencils of curves on smooth surfaces,International Journal of Mathematics,2011,F Monserrat
NEWTON-OKOUNKOV BODIES OF INFINITELY SINGULAR VALUATIONS,arXiv preprint arXiv:,2017,C GALINDO;F MONSERRAT;JJ MOYANO-FERNANDEZ;M NICKEL
On the Classification of Exceptional Planar Functions over ,arXiv preprint arXiv:,2013,F Hernando;G McGuire;F Monserrat
