title,journal,year,otros_investigadores
Scientific literature analysis of Judo in Web of Science,Archives of budo,2013.0,MF Peset Mancebo;A Ferrer Sapena;M Villamon Herrera;...
Open data y linked open data: su impacto en el area de bibliotecas y documentacion,Profesional de la Informacion,2011.0,F Peset;A Ferrer-Sapena;I Subirats-Coll
Acceso a los datos publicos y su reutilizacion: open data y open government,Profesional de la informacion,2011.0,A Ferrer-Sapena;F Peset;R Aleixandre-Benavent
An author keyword analysis for mapping Sport Sciences,PloS one,2018.0,LM Gonzalez;X Garcia-Masso;A Pardo-Ibanez;F Peset;J Devis-Devis
Web 2.0 en medicina y pediatria (y II).,Acta pediatrica espanola,2011.0,S Coronado Ferrer;F Peset Mancebo;A Ferrer Sapena;...
Survival analysis of author keywords: An application to the library and information sciences area,Journal of the Association for Information Science and Technology,2020.0,F Peset;F Garzon‐Farinos;LM Gonzalez;X Garcia‐Masso;...
Datos abiertos de investigacion. Camino recorrido y cuestiones pendientes,Anales de documentacion,2017.0,F Peset;R Aleixandre-Benavent;Y Blasco-Gil;A Ferrer-Sapena
Compartir los recursos utiles para la investigacion: datos abiertos (open data),Educacion Medica,2021.0,R Aleixandre-Benavent;AF Sapena;F Peset
Data journals: eclosion de nuevas revistas especializadas en datos,El profesional de la informacion,2015.0,A Garcia Garcia;A Lopez Borrull;MF Peset Mancebo
"Bibliotecas digitales en Internet de libro raro, antiguo e incunables",Anales de documentacion,2003.0,MFP Mancebo
Evolucion social y networking en la comunidad biblio-documental,Profesional de la informacion,2008.0,F Peset;A Ferrer-Sapena;T Baiget
Guia metodologica para la implantacion de una biblioteca digital universitaria,"Gijon, Espana Ediciones Trea",2005.0,A Ferrer Sapena;F Peset Mancebo;MT Moreno Nunez;N Lloret Romero
The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics,Research evaluation,2016.0,A Ferrer-Sapena;EA Sanchez-Perez;F Peset;LM Gonzalez;...
Informatizacion de la historia clinica en Espana,Profesional de la informacion,2010.0,R Aleixandre-Benavent;A Ferrer-Sapena;F Peset
"Research data sharing in Spain: Exploring determinants, practices, and perceptions",Data,2020.0,R Aleixandre-Benavent;A Vidal-Infer;A Alonso-Arroyo;F Peset;...
Herramientas de analisis de datos bibliograficos y construccion de mapas de conocimiento: Bibexcel y Pajek,BiD. Textos Universitaris de Biblioteconomia i Documentacio,2015.0,A Garcia-Garcia;A Pardo-Ibanez;A Ferrer Sapena;MF Peset Mancebo;...
Normalizacion de la informacion: la aportacion de IraLIS,El Profesional de la Informacion,2007.0,T Baiget;JM Rodriguez-Gairin;F Peset;I Subirats;A Ferrer Sapena
Gestion de datos de investigacion: infraestructuras para su difusion,El profesional de la informacion,2013.0,L Millan Gonzalez;T Saorin;A Ferrer Sapena;R Alexandre Benavent;...
Como analizar el impacto de los datos de investigacion con metricas: modelos y servicios,El Profesional de la Informacion,2016.0,A Ferrer-Sapena;EA Sanchez-Perez;R Aleixandre-Benavent;F Peset
"Factores para la adopcion de linked data e implantacion de la web semantica en bibliotecas, archivos y museos",Information research,2013.0,T Saorin;MF Peset Mancebo;A Ferrer Sapena
CVN: normalizacion de los curriculos cientificos,Profesional de la informacion,2008.0,JM Baez;F Peset;F Nunez;A Ferrer-Sapena
The impact of COVID-19 on sport in twitter: A quantitative and qualitative content analysis,International journal of environmental research and public health,2021.0,LM Gonzalez;J Devis-Devis;M Pellicer-Chenoll;M Pans;A Pardo-Ibanez;...
Policies regarding public availability of published research data in pediatrics journals,Scientometrics,2019.0,R Aleixandre-Benavent;AF Sapena;SC Ferrer;F Peset;AG Garcia
Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19,El profesional de la informacion,2020.0,SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;MF Peset Mancebo
Ciencia abierta y gestion de datos de investigacion (RDM),,2017.0,F Peset;LM Gonzalez
Implantacion de la Open Archives Initiative en Espana,Information Research,2008.0,F Peset;A Ferrer-Sapena
Enriqueciendo la investigacion en humanidades digitales. Analisis de textos de claustros academicos de la Universidad de Valencia (1775-1779) con KH Coder,Revista espanola de documentacion cientifica,2019.0,Y Blasco Gil;LM Gonzalez;A Pavon Romero;M Mercado Estrada;...
Mathematical properties of weighted impact factors based on measures of prestige of the citing journals,Scientometrics,2015.0,A Ferrer-Sapena;EA Sanchez-Perez;LM Gonzalez;F Peset;...
Reutilizacion de datos culturales,Anuario ThinkEPI,2012.0,A Ferrer-Sapena;F Peset
Ciencia abierta y gestion de datos de investigacion,Gijon: TREA,2017.0,F Peset;LM Gonzalez
"Use of OAI protocol and its impact in digital libraries: a case study in Spain, Portugal and Latin America","Prasad, ARD and Madalli, Devika P., Eds. Proceedings International ...",2007.0,F Peset;A Ferrer;I Subirats;A Munoz
El recuento de los libros de matricula de la universidad de Mexico,Generalitat Valenciana,1999.0,M Peset;MF Mancebo;MF Peset
Gestion de los datos brutos de investigacion en los investigadores espanoles en ciencias de la salud,Trauma (Majadahonda),2015.0,R Aleixandre-Benavent;A Vidal-Infer;A Alonso-Arroyo;A Ferrer-Sapena;...
Datasharing: guia practica para compartir datos de investigacion,Profesional de la informacion,2013.0,V Nina-Alcocer;Y Blasco-Gil;F Peset
Normativas interoperables sobre control de autoridades para bibliotecas digitales semanticas,Investigacion bibliotecologica,2018.0,F Garzon-Farinos;F Peset
Politicas editoriales en la documentacion espanola e implantacion de E-LIS (E-Prints in Library and Information Science),,2003.0,FP Mancebo;IS Coll;AJ Tarradelles;JMB Cruz;NN Domenech;...
Universidades espanolas y americanas. Epoca colonial,Valencia: CSIC Generalitat Valenciana,1987.0,M Peset
FAIR degree assessment in agriculture datasets using the F-UJI tool,Ecological Informatics,2023.0,L Petrosyan;R Aleixandre-Benavent;F Peset;JC Valderrama-Zurian;...
Carencias informativas de los datos abiertos en Espana,Anuario ThinkEPI,2014.0,MF Peset Mancebo;AL Fernandez Lopez
ODiSEA: International registry on research data,BiD: textos universitaris de biblioteconomia i documentacio,2012.0,A Garcia-Garcia;JM Rodriguez-Gairin;T Saorin;LM Gonzalez;...
Colecciones de fotografia en Espana. Propuesta del directorio de fotografia en Espana (DeFOTO),,2010.0,M Gato-Gutierrez;P Benlloch;P Maynes;R Aleixandre;LM Gonzalez;...
Self-defined information indices: application to the case of university rankings,Scientometrics,2020.0,A Ferrer-Sapena;E Erdogan;E Jimenez-Fernandez;EA Sanchez-Perez;...
Analisis de los directorios privados de informacion empresarial espanola,Profesional de la informacion,2007.0,A Ferrer;F Peset
