title,journal,year,otros_investigadores
Dynamics of the solutions of the water hammer equations,Elsevier B.V.,2016,Conejero J.A.; Lizama C.; Rodenas F.
"Nonlinear diffusion, negentropy and restoration of mammographie images",,2005,Mayo P.; Rodenas F.; Ginestar D.; Verdu G.
Non-commutative geometry and covariance: From the quantum plane to quantum tensors,Kluwer Academic Publishers,1994,de Azcarraga J.A.; Kulish P.P.; Rodenas F.
Twisted h-spacetimes and invariant equations,Springer Verlag,1997,De Azcarraga J.A.; Kulish P.P.; Rodenas F.
Dose reduction using non lineal diffusion and smoothing filters in computed radiography,,2014,Sanchez M.G.; Juste B.; Vidal V.; Verdu G.; Mayo P.; Rodenas F.
Evaluation of the index quality image analysing microcalcifications in digitized mammographic images,Institute of Electrical and Electronics Engineers Inc.,2003,Mayo P.; Rodenas F.; Verdu G.; Villaescusa J.I.; Campayo J.M.
On the physical contents of q-deformed Minkowski spaces,,1995,de Azcarraga J.A.; Kulish P.P.; Rodenas F.
h-deformed Lorentz relativistic invariant equations,Czech Academy of Sciences,1998,Rodenas F.
Estimated radiation dose reduction using non-linear diffusion method in computed radiography,,2012,Sanchez M.G.; Juste B.; Vidal V.; Verdu G.; Mayo P.; Rodenas F.
A comparative study of computer assisted assessment of image quality index for mammographic phantom images,,2005,Mayo P.; Rodenas F.; Verdu G.; Villaescusa J.I.; Campayo J.M.
Parallel CT image reconstruction based on GPUs,,2014,Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.
Chaos on fuzzy dynamical systems,MDPI,2021,Martinez-Gimenez F.; Peris A.; Rodenas F.
The Specification Property for C -Semigroups,Birkhauser Verlag AG,2019,Bartoll S.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Comparing methods to denoise mammographic images,,2004,Mayo P.; Rodenas F.; Verdu G.
Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform,Multidisciplinary Digital Publishing Institute (MDPI),2024,Antonino-Daviu J.A.; Martinez-Gimenez F.; Peris A.; Ramezanzadeh N.; Rodenas F.
CT image reconstruction based on GPUs,Elsevier B.V.,2013,Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.
Iterative reconstruction of CT images on GPUs,,2013,Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.
Digital image quality indexes for CIRS SP01 and CDMAM 3.4 mammographic phantoms,Springer Verlag,2009,Mayo P.; Rodenas F.; Verdu G.; Campayo J.M.
Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation,Springer Netherlands,2016,Conejero J.A.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Fast parallel algorithm for CT image reconstruction,,2012,Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.
Chaotic behaviour of the solutions of the Moore-Gibson-Thompson equation,Natural Sciences Publishing Co.,2015,Conejero J.A.; Lizama C.; Rodenas F.
Chaos for the Hyperbolic Bioheat equation,Southwest Missouri State University,2015,Conejero J.A.; Rodenas F.; Trujillo M.
Quality assurance applied to digital radiographic equipment by developed software for phantom images,American Nuclear Society,2011,Mayo P.; Rodenas F.; Campayo J.M.; Marin B.; Verdu G.
Reflection equations and q-Minkowski space algebras,Kluwer Academic Publishers,1994,De Azcarraga J.A.; Kulish P.P.; Rodenas F.
Quality assurance applied to mammographic equipments using phantoms and software for its evaluation,Elsevier B.V.,2010,Mayo P.; Rodenas F.; Campayo J.M.; Verdu G.
Automatic evaluation of the image quality of a mammographic phantom,Elsevier Ireland Ltd,2004,Mayo P.; Rodenas F.; Verdu G.; Villaescusa J.I.; Campayo J.M.
Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems,MDPI,2022,Bartoll S.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Medical image restoration with different types of noise,,2012,Guadalupe Sanchez M.; Vidal V.; Verdu G.; Mayo P.; Rodenas F.
Slow growth for universal harmonic functions,,2010,Gomez-Collado M.C.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Deformed Minkowski spaces: Classification and properties,Institute of Physics Publishing,1996,De Azcarraga J.A.; Rodenas F.
Iterative reconstruction of CT images with PETSc,,2011,Flores L.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.
Image quality assessment of digital dental radiography systems with specifically developed phantom and software,American Nuclear Society,2009,Mayo P.; Rodenas F.; Campayo J.M.; Pascual A.; Marin B.; Verdu G.
Sets of periods for chaotic linear operators,Springer-Verlag Italia s.r.l.,2021,Conejero J.A.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Phantom development for constancy and acceptance test for digital radiographic equipment,American Nuclear Society,2009,Mayo P.; Rodenas F.; Campayo J.M.; Pascual A.; Marin B.; Verdu G.
Oscillator realization of the q-deformed anti-de Sitter algebra,,1992,Chaichian M.; de Azcarraga J.A.; Presnajder P.; Rodenas F.
Set-Valued Chaos in Linear Dynamics,Springer Basel,2017,"Bernardes N.C., Jr.; Peris A.; Rodenas F."
Analysis of digital image quality indexes for CIRS SP01 and CDMAM 3.4 mammographic phantoms,IEEE Computer Society,2008,Mayo P.; Rodenas F.; Verdu G.; Campayo J.M.; Villaescusa J.I.
Diffusion equations with negentropy applied to denoise mammographic images,,2006,Mayo P.; Rodenas F.; Ginestar D.; Verdu G.; Miro R.
Analysis of digital radiographic equipments with development of specific phantoms and software,,2008,Mayo Nogueira P.; Rodenas F.; Marin B.; Campayo J.M.; Verdu G.
Iterative reconstruction of CT images with PETSc,,2011,Flores L.; Vidal V.; Mayo P.; Rodenas F.; Verdu G.
Analysis of image quality parameter of conventional and dental radiographic digital images,,2010,Mayo P.; Rodenas F.; Verdu G.; Campayo J.M.; Gallardo S.
