title,journal,year
Barrelled locally convex spaces,North-Holland Mathematics Studies,
Associated weights and spaces of holomorphic functions,Studia Math,1998.0
Composition operators between weighted Banach spaces of analytic functions,Journal of the Australian Mathematical Society,1998.0
Weighted spaces of holomorphic functions on balanced domains.,Michigan Mathematical Journal,1993.0
Essential norm and weak compactness of composition operators on weighted Banach spaces of analytic functions,Canadian Mathematical Bulletin,1999.0
Hypercyclic operators on non-normable Frechet spaces,Journal of Functional Analysis,1998.0
A comparison of two different ways to define classes of ultradifferentiable functions,Bulletin of the Belgian Mathematical Society Simon Stevin,2007.0
Stefan Heinrich's density condition for Frechet spaces and the characterization of the distinguished Kothe echelon spaces,Mathematische Nachrichten,1988.0
Whitneys extension theorem for nonquasianalytic classes of ultradifferentiable functions,Studia Math,1991.0
Differences of composition operators between weighted Banach spaces of holomorphic functions,Journal of the Australian Mathematical Society,2008.0
Some aspects of the modern theory of Frechet spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2003.0
Mean ergodic operators in Frechet spaces,Annales Fennici Mathematici,2009.0
Dual density conditions in (DF)-spaces I,Results Math,1988.0
Barrelled locally convex spaces,,1987.0
A Banach space which admits no chaotic operator,Bulletin of the London Mathematical Society,2001.0
Universal and chaotic multipliers on spaces of operators,Journal of Mathematical Analysis and Applications,2004.0
Linear chaos on Frechet spaces,International Journal of Bifurcation and Chaos,2003.0
Weakly compact composition operators on analytic vector-valued function spaces,Annales Fennici Mathematici,2001.0
Pointwise multiplication operators on weighted Banach spaces of analytic functions,Studia Math,1999.0
Transitive and hypercyclic operators on locally convex spaces,Bulletin of the London Mathematical Society,2005.0
Hypercyclic and chaotic convolution operators,Journal of the London Mathematical Society,2000.0
Real analytic curves in Frechet spaces and their duals,Monatshefte fur Mathematik,1998.0
Parameter dependence of solutions of differential equations on spaces of distributions and the splitting of short exact sequences,Journal of Functional Analysis,2006.0
Density conditions in Frechet and (DF)-spaces,Revista matematica de la Universidad Complutense de Madrid,1989.0
The splitting of exact sequences of PLS-spaces and smooth dependence of solutions of linear partial differential equations,Advances in Mathematics,2008.0
Ultradistributions of Roumieu type and projective descriptions,Journal of Mathematical Analysis and Applications,2001.0
A note on mean ergodic composition operators on spaces of holomorphic functions,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2011.0
Dynamics of the differentiation operator on weighted spaces of entire functions,Mathematische Zeitschrift,2009.0
Composition operators between weighted inductive limits of spaces of holomorphic functions,Publ. Math. Debrecen,2005.0
A note on weighted Banach spaces of holomorphic functions,Archiv der Mathematik,2003.0
Mean ergodicity of multiplication operators in weighted spaces of holomorphic functions,Archiv der Mathematik,2009.0
Isometric Weighted Composition Operators on Weighted Banach Spaces of Type           ,American Mathematical Society,2008.0
Weighted (LF)‐spaces of continuous functions,Mathematische Nachrichten,2006.0
On the range of convolution operators on nonquasianalytic ultradifferentiable functions,Studia Math,1997.0
The Problem of Topologies of Grothendieck and the Class of Frechet T‐Spaces,Mathematische Nachrichten,1991.0
Whitney's extension theorem for ultradifferentiable functions of Roumieu type,Royal Irish Academy,1989.0
On the range of the Borel map for classes of non-quasianalytic functions,,1992.0
A question of Valdivia on quasinormable Frechet spaces,Canadian Mathematical Bulletin,1991.0
Tensor stable Frechet and -spaces,Collectanea Mathematica,1991.0
Convergence of arithmetic means of operators in Frechet spaces,Journal of Mathematical Analysis and Applications,2013.0
Hypercyclic composition operators on spaces of real analytic functions,Mathematical Proceedings of the Cambridge Philosophical Society,2012.0
Extension of vector-valued holomorphic and harmonic functions,Studia Math,2007.0
Parameter dependence of solutions of partial differential equations in spaces of real analytic functions,American Mathematical Society,2001.0
Biduality in Frechet and (LB)-spaces,,1992.0
On the injective tensor product of quasinormable spaces,Results in Mathematics,1991.0
Chaos of the differentiation operator on weighted Banach spaces of entire functions,Complex Analysis and Operator Theory,2013.0
On LB-spaces of Moscatelli type,No indexada,1989.0
Weakly compact composition operators on locally convex spaces,Mathematische Nachrichten,2002.0
C0-semigroups and mean ergodic operators in a class of Frechet spaces,Journal of Mathematical Analysis and Applications,2010.0
The Cesaro operator in the Frechet spaces lp+ and Lp−,Glasgow Mathematical Journal,2017.0
Classical operators on weighted Banach spaces of entire functions,American Mathematical Society,2013.0
On the identity L (E F)= LB (E F) for pairs of locally convex spaces E and F,American Mathematical Society,1987.0
Montel resolvents and uniformly mean ergodic semigroups of linear operators,Quaestiones Mathematicae,2013.0
Power bounded composition operators on spaces of analytic functions,Collectanea Mathematica,2011.0
Characterization of the omega-hypoelliptic convolution operators on ultradistributions,Annales Fennici Mathematici,2000.0
Grothendieck spaces with the Dunford–Pettis property,Positivity,2010.0
The Cesaro operator on Korenblum type spaces of analytic functions,Collectanea Mathematica,2018.0
Mean ergodic semigroups of operators,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2012.0
Two theorems of Josefson–Nissenzweig type for Frechet spaces,American Mathematical Society,1993.0
On weighted inductive limits of spaces of continuous functions,Mathematische Zeitschrift,1986.0
The subspace problem for weighted inductive limits of spaces of holomorphic functions.,Michigan Mathematical Journal,1995.0
Sampling sets and sufficient sets for Az,Journal of Mathematical Analysis and Applications,2003.0
Weighted spaces of holomorphic functions and operators between them,Conferencia,2003.0
Spaces of operators between Frechet spaces,Mathematical Proceedings of the Cambridge Philosophical Society,1994.0
On distinguished Frechet spaces,,1992.0
On the continuous Cesaro operator in certain function spaces,Positivity,2015.0
The Pullback for bornological and ultrabornological spaces,Note di Matematica,2006.0
Vector-valued meromorphic functions,Archiv der Mathematik,2002.0
Interpolation of vector-valued real analytic functions,Journal of the London Mathematical Society,2002.0
The bidual of a distinguished Frechet space need not be distinguished,Archiv der Mathematik,1991.0
Non-distinguished Frechet function spaces,Bulletin de la Societe Royale des Sciences de Liege,1989.0
A note on biduals of strict (LF)-spaces,Results in Mathematics,1988.0
Spectrum and compactness of the Cesaro operator on weighted spaces,Journal of the Australian Mathematical Society,2015.0
A note about Volterra operators on weighted Banach spaces of entire functions,Mathematische Nachrichten,2015.0
Tensor products of Frechet or (DF)-spaces with a Banach space,Journal of Mathematical Analysis and Applications,1992.0
Superposition operators between weighted Banach spaces of analytic functions of controlled growth,Monatshefte fur Mathematik,2013.0
Weighted (LB)-spaces of holomorphic functions: VH (G)= V0H (G) and completeness of V0H (G),Journal of Mathematical Analysis and Applications,2006.0
Quasianalytic functionals and projective descriptions,Mathematica Scandinavica,2004.0
The identity tensor products and inductive limits,Note di Matematica,1989.0
Every quojection is the quotient of a countable product of Banach spaces,Conferencia,1988.0
Operators on the Frechet sequence spaces ces (p+) ces (p+) 1 p< az ,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2019.0
Spectra and essential spectral radii of composition operators on weighted Banach spaces of analytic functions,Journal of Mathematical Analysis and Applications,2008.0
The Levy-Steinitz rearrangement theorem for duals of metrizable spaces,Israel Journal of Mathematics,2000.0
A projective description of weighted inductive limits of space of vector valued cotinuous functions,Collectanea Mathematica,1983.0
Remarks and examples concerning suprabarreled and totally barreled spaces,Archiv der Mathematik,1982.0
Multiplier and averaging operators in the Banach spaces ,Positivity,2019.0
On the lifting of bounded sets in Frechet spaces,Proceedings of the Edinburgh Mathematical Society,1993.0
Locally bounded noncontinuous linear forms on strong duals of nondistinguished Kothe echelon spaces,American Mathematical Society,1990.0
Some Recent Results on VC(X),Advances in the Theory of Frechet Spaces,1989.0
