title,journal,year
A Study about the Integration of the Elliptical Orbital Motion Based on a Special One‐Parametric Family of Anomalies,Abstract and Applied Analysis,2014.0
A critical discussion on parametric and nonparametric regression methods applied to Hipparcos FK5 residuals,Astronomy & Astrophysics,2004.0
Geometrical definition of a continuous family of time transformations generalizing and including the classic anomalies of the elliptic two body problem,Journal of Computational and Applied Mathematics,2017.0
Semi analytical integration algorithms based on the use of several kinds of anomalies as temporal variable,Planetary and Space Science,2008.0
Occultation of planets by the moon in European narrative medieval sources,Journal for the History of Astronomy,2019.0
Oscurait sol: Stone Engravings and Other Contemporary Spanish Records for the a.d. 1239 and a.d. 1354 Eclipses and Their Astronomical Implications,Journal for the History of Astronomy,2016.0
A note on the use of generalized Sundman anomalies in the numerical integration of the elliptical orbital motion,Abstract and Applied Analysis,2014.0
Homogenization in compiling ICRF combined catalogs,Astronomy & Astrophysics,2013.0
Computational tools to construct semi analytical planetary theories,International Journal of Computer Mathematics,2008.0
About C539W1 and C1245D1 as the parent comet of 15 Bootids,Planetary and Space Science,2021.0
Geometrical definition of a continuous family of time transformations on the hyperbolic two body problem,Journal of Computational and Applied Mathematics,2018.0
A review of the Dall Olmo survey of meteors meteor showers and meteorites in the Middle Ages from medieval European sources,Journal for the History of Astronomy,2017.0
A possible reference to the solar corona in a contemporary report of the AD1239 eclipse,Journal for the History of Astronomy,2022.0
GSC: software for transferring the Guide Star Catalogue on the FK5 system,Planetary and Space Science,1997.0
Medieval Comets. European and Middle Eastern Perspective,Universitat Politecnica de Valencia,2023.0
Global and Local Three dimensional Studies of The Residual Vector Field from 2MASS and Hipparcos 2 Catalog,Publications of the Astronomical Society of the Pacific,2019.0
A Survey of Meteoric Activity over Spain during the Eighth–Fifteenth Centuries,Journal for the History of Astronomy,2016.0
Metodes numerics per a enginyers,Universitat Politecnica de Valencia,2005.0
Analysis of systematic differences of astrometric catalogs in a band,The Astronomical Journal,2004.0
A Geometrical Study about the Biparametric Family of Anomalies in the Elliptic Two Body Problem with Extensions to Other Families,Algorithms,2024.0
Ecuaciones diferenciales. Introduccion,,2024.0
Ecuaciones diferenciales. Variables separables,,2024.0
A new point of view about a biparametric family of anomalies in the elliptic motion,No indexada,2023.0
Suma de una serie numerica a partir de una SP,,2023.0
Obtencion de la SP de una composicion de funciones,,2023.0
La regla de la cadena vectorial,,2023.0
La regla de la cadena escalar,,2023.0
The total eclipse of the sun of July 29 AD1478 in contemporary Spanish documents,Journal for the History of Astronomy,2023.0
Funcion suma de una serie de potencias. Propiedades,,2022.0
Derivacion e integracion de series de potencias,,2022.0
Series de potencias no centradas en cero.,,2022.0
Calculo de primitivas mediante series de potencias,,2022.0
Series de potencias,,2022.0
Operaciones con series de potencias,,2022.0
New and improved orbits of historical comets: Late 4th and 5th century,Elsevier,2022.0
Cambio de variables para integrales dobles. Coordenadas polares: Uso de las coordenadas polares para calcular integrales dobles sobre recintos circulares,Universitat Politecnica de Valencia,2020.0
Cambio de variables para integrales dobles: Uso de diferentes sistemas de coordenadas generales para resolver integrales dobles,Universitat Politecnica de Valencia,2020.0
Calculo de plano tangente y recta normal,Universitat Politecnica de Valencia,2019.0
Integrales dobles. Introduccion,Universitat Politecnica de Valencia,2019.0
Integrales dobles sobre recintos generales,Universitat Politecnica de Valencia,2019.0
Suma de series telescopicas,Universitat Politecnica de Valencia,2019.0
Suma de series geometricas,Universitat Politecnica de Valencia,2019.0
Continuidad de funciones de una variable,Universitat Politecnica de Valencia,2019.0
Written on stone: Engraved European medieval solar eclipses,Cambridge University Press,2019.0
Operaciones con numeros complejos: potencias y raices,Universitat Politecnica de Valencia,2018.0
Derivadas parciales de un campo escalar,Universitat Politecnica de Valencia,2018.0
Representacion de numeros complejos: forma binomica forma polar,Universitat Politecnica de Valencia,2018.0
Numeros complejos: conceptos fundamentales,Universitat Politecnica de Valencia,2018.0
Desarrollo de Taylor de la funcion binomica,Universitat Politecnica de Valencia,2018.0
Desarrollo de una funcion en polinomio de Taylor (McLaurin),Universitat Politecnica de Valencia,2017.0
Serie de Taylor una funcion (McLaurin),Universitat Politecnica de Valencia,2017.0
La funcion potencial,Universitat Politecnica de Valencia,2017.0
Extremos locales de funciones de dos variables,Universitat Politecnica de Valencia,2017.0
Descomposicion en fracciones simples,Universitat Politecnica de Valencia,2017.0
Extremos locales para funciones de varias variables,Universitat Politecnica de Valencia,2017.0
Aplicaciones de la integral de Riemann,Universitat Politecnica de Valencia,2017.0
Integracion de funciones racionales,Universitat Politecnica de Valencia,2017.0
