title,journal,year
Examples of fuzzy metrics and applications,Fuzzy Sets and Systems,2011.0
A fast impulsive noise color image filter using fuzzy metrics,Real Time Imaging,2005.0
Fuzzy peer groups for reducing mixed Gaussian impulse noise from color images,IEEE Transactions on Image Processing,2009.0
Fast detection and removal of impulsive noise using peer groups and fuzzy metrics,Journal of Visual Communication and Image Representation,2008.0
On a class of completable fuzzy metric spaces,Fuzzy Sets and Systems,2010.0
A new fuzzy color correlated impulse noise reduction method,IEEE Transactions on Image Processing,2007.0
Local self adaptive fuzzy filter for impulsive noise removal in color images,Signal Processing,2008.0
Isolating impulsive noise pixels in color images by peer group techniques,Computer Vision and Image Understanding,2008.0
On convergence in fuzzy metric spaces,Topology,2009.0
A simple fuzzy method to remove mixed Gaussian impulsive noise from color images,IEEE Transactions on Fuzzy Systems,2012.0
A fuzzy logic expert system for selecting optimal and sustainable life cycle maintenance and rehabilitation strategies for road pavements,International journal of pavement engineering,2022.0
Some questions in fuzzy metric spaces,Fuzzy Sets and Systems,2012.0
New adaptive vector filter using fuzzy metrics,Journal of Electronic Imaging,2007.0
Two step fuzzy logic based method for impulse noise detection in colour images,Pattern Recognition Letters,2010.0
A new vector median filter based on fuzzy metrics,Conferencia,2005.0
Fuzzy bilateral filtering for color images,Conferencia,2006.0
Adaptive marginal median filter for colour images,Sensors,2011.0
Some improvements for image filtering using peer group techniques,Image and Vision Computing,2010.0
Cauchyness and convergence in fuzzy metric spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2017.0
Efficient impulsive noise suppression based on statistical confidence limits,Journal of Imaging Science and Technology,2006.0
Robustifying vector median filter,Sensors,2011.0
Completable fuzzy metric spaces,Topology,2017.0
Smoothing vs. sharpening of colour images: Together or separated,Applied Mathematics and Nonlinear Sciences,2017.0
On strong fuzzy metrics,Conferencia,2009.0
A note on convergence in fuzzy metric spaces,Iranian Journal of Fuzzy Systems,2014.0
Fuzzy analysis for detection of inconsistent data in experimental datasets employed at the development of the CIEDE2000 colour difference formula,Journal of Modern Optics,2009.0
Fuzzy averaging filter for impulse noise reduction in colour images with a correction step,Journal of Visual Communication and Image Representation,2018.0
A soft switching approach to improve visual quality of colour image smoothing filters,Advanced Concepts for Intelligent Vision Systems:,2007.0
Perceptual similarity between color images using fuzzy metrics,Journal of Visual Communication and Image Representation,2016.0
Characterizing a class of completable fuzzy metric spaces,Topology,2016.0
Obstacle free pathway detection by means of depth maps,Journal of Intelligent & Robotic Systems,2011.0
A model based on local graphs for colour images and its application for Gaussian noise smoothing,Journal of Computational and Applied Mathematics,2018.0
A note on local bases and convergence in fuzzy metric spaces,Topology,2014.0
Spectral reflectance reconstruction using fuzzy logic system training: color science application,Sensors,2020.0
On continuity and uniform continuity in fuzzy metric spaces,Conferencia,2009.0
Color quality control using color difference formulas: progress and problems,Conferencia,2017.0
On probabilistic φ contractions in Menger spaces,Fuzzy Sets and Systems,2017.0
Fuzzy free path detection from disparity maps by using least squares fitting to a plane,Journal of Intelligent & Robotic Systems,2014.0
3d environment representation through acoustic images auditory learning in multimedia systems,Conferencia,2006.0
Method to determine the degrees of consistency in experimental datasets of perceptual color differences,JOSA A,2016.0
Determinacion de componentes conexas en el analisis de zonas homogeneas y de detalle en imagenes a color,Modelling in Science Education and Learning,2018.0
Colour image smoothing through a soft switching mechanism using a graph model,IET Image Processing,2012.0
Graph based methods for simultaneous smoothing and sharpening of color images,Journal of Computational and Applied Mathematics,2019.0
A new fuzzy impulse noise detection method for colour images,Image Analysis:,2007.0
Fuzzy metrics and peer groups for impulsive noise reduction in color images,,2006.0
On Principal Fuzzy Metric Spaces,Mathematics Journal,2022.0
Using suprathreshold color difference ellipsoids to estimate any perceptual color difference,Journal of Visual Communication and Image Representation,2018.0
Impulsive noise filters for colour images,Color Image and Video Enhancement,2015.0
Fuzzy quasi metrics for the Sorgenfrey line,Fuzzy Sets and Systems,2013.0
Fuzzy directional distance vector filter,Applications of Fuzzy Sets Theory:,2007.0
A study of neural network based LCD display characterization,Conferencia,2021.0
Fuzzy free path detection based on dense disparity maps obtained from stereo cameras,International Journal of Uncertainty Fuzziness and Knowledge Based Systems ...,2012.0
Flexural Strength Evaluation of Nonconstant Thickness Ceramic Floorings by Means of the Finite‐Element Method,International Journal of Applied Ceramic Technology,2010.0
Proposal of a new fidelity measure between computed image quality and observers quality scores accounting for scores variability,Journal of Visual Communication and Image Representation,2023.0
Colour image denoising by eigenvector analysis of neighbourhood colour samples,Signal Image and Video Processing,2020.0
Fuzzy metrics application in video spatial deinterlacing,Applications of Fuzzy Sets Theory:,2007.0
New method for fast detection and removal of impulsive noise using fuzzy metrics,Conferencia,2006.0
Mode choice support through an integrated Delphi fuzzy logic model,Research in Transportation Business & Management,2024.0
Graphs based methods for simultaneous smoothing and sharpening,MethodsX,2020.0
Calculo de cubicaciones mediante aproximacion funcional e integracion: Un caso practico para alumnos de ingenieria,Conferencia,2012.0
On the importance of the choice of the fuzzy met ric for a practical application,Conferencia,2010.0
Assessment of the learning competence of mathematics for freshmen of the computer science degree,IEEE EDUCON,2010.0
Fuzzy metrics and color image filtering,Conferencia,2009.0
A Fuzzy Logic Inference System for Display Characterization,Conferencia,2023.0
Fuzzy Inference System in a Local Eigenvector Based Color Image Smoothing Framework.,No indexada,2023.0
A procedure for detection of border communities using convolution techniques,Conferencia,2021.0
Some aspects of the standard fuzzy metric,Conferencia,2012.0
A new approach to occupancy map modeling in navigation assisted by computer vision,International Journ Engineering Intelligent Systems Electrical Engineering ...,2011.0
Disparity Maps for Free Path Detection.,Conferencia,2010.0
A real time person detection method for moving cameras,Conferencia,2009.0
A new fuzzy similarity measure for multichannel image processing,Conferencia,2005.0
A comparative analysis of machine learning methods for display characterization,Displays,2024.0
