title,journal,year
Optimal domain and integral extension of operators,Operator Theory: Advances and Applications,2008.0
Control of noise by trees arranged like sonic crystals,Journal of Sound and Vibration,2006.0
Spaces of p integrable Functions with Respect to a Vector Measure,Positivity,2006.0
Sequence spaces and asymmetric norms in the theory of computational complexity,Mathematical and Computer Modelling,2002.0
Compactness arguments for spaces of  integrable functions with respect to a vector measure and factorization of operators through Lebesgue Bochner spaces,Illinois Journal of Mathematics,2001.0
Validation of the use of Actigraph GT3X accelerometers to estimate energy expenditure in full time manual wheelchair users with spinal cord injury,Spinal cord,2013.0
Open data big data: hacia donde nos dirigimos,Anuario ThinkEPI,2013.0
Epidemiological Microbiological Clinical and Prognostic Factors of Bacteremia Caused by High Level Vancomycin Resistant Enterococcus Species,European Journal of Clinical Microbiology and Infectious Diseases,2000.0
Bicompleting weightable quasi metric spaces and partial metric spaces,Rendiconti del Circolo Matematico di Palermo,2002.0
The dual space of an asymmetric normed linear space,Quaestiones Mathematicae,2003.0
On Hausdorff asymmetric normed linear spaces,Houston J. Math,2003.0
Lipschitz operator ideals and the approximation property,Journal of Mathematical Analysis and Applications,2016.0
Generalized perfect spaces,Indagationes Mathematicae,2008.0
Band gap creation using quasiordered structures based on sonic crystals,Applied Physics Letters,2006.0
Survival analysis of author keywords: An application to the library and information sciences area,Journal of the Association for Information Science and Technology,2020.0
Computing complexity distances between algorithms,Kybernetika,2003.0
Introduccion de las tecnicas de modelizacion para el estudio de la fisica y de las matematicas en los primeros cursos de las carreras tecnicas,Ensenanza de las ciencias: revista de investigacion y experiencias,1999.0
Information management in healthcare and environment: Towards an automatic system for fake news detection,International Journal of Environmental Research and Public Health,2020.0
Compactness in asymmetric normed spaces,Topology,2008.0
Maurey Rosenthal factorization of positive operators and convexity,Journal of Mathematical Analysis and Applications,2004.0
The bicompletion of an asymmetric normed linear space,Acta Mathematica Hungarica,2002.0
Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,Neurocomputing,2020.0
Correlation between impact factor and public availability of published research data in Information Science and Library Science journals,Scientometrics,2016.0
Factorization of p dominated polynomials through Lp spaces,Michigan Mathematical Journal,2014.0
Factorizing operators on Banach function spaces through spaces of multiplication operators,Journal of Mathematical Analysis and Applications,2010.0
Factorization of strongly (p f) continuous multilinear operators,Linear and Multilinear Algebra,2014.0
On operator ideals related to (p f) absolutely continuous operators,Studia Math,2000.0
Surveying the spirit of absolute summability on multilinear operators and homogeneous polynomials,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2016.0
The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics,Research evaluation,2016.0
Absolutely continuous multilinear operators,Journal of Mathematical Analysis and Applications,2013.0
Metrizability of the unit ball of the dual of a quasi normed cone,Bollettino dell Unione Matematica Italiana,2004.0
On the Banach lattice structure of of a vector measure on a ring,Collectanea Mathematica,2014.0
Como analizar el impacto de los datos de investigacion con metricas: modelos y servicios,El Profesional de la Informacion,2016.0
Weak topologies on asymmetric normed linear spaces and non asymptotic criteria in the theory of complexity analysis of algorithms,Journal of Applied Analysis,2004.0
Ideales de operadores absolutamente continuos,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1993.0
The supremum asymmetric norm on sequence algebras: a general framework to measure complexity distances,Electronic Notes in Theoretical Computer Science,2003.0
Summability properties for multiplication operators on Banach function spaces,Integral Equations and Operator Theory,2010.0
Vector measure duality and tensor product representations of Lp spaces of vector measures,American Mathematical Society,2004.0
Vector measure orthonormal functions and best approximation for the 4 norm,Archiv der Mathematik,2003.0
Aprender como una maquina: introduciendo la Inteligencia Artificial en la ensenanza secundaria,Conferencia,2021.0
