title,journal,year
Newton filtrations graded algebras and codimension of non-degenerate ideals,Mathematical Proceedings of the Cambridge Philosophical Society,2002.0
The analytic spread of monomial ideals,Communications in Algebra,2003.0
Local Lojasiewicz exponents Milnor numbers and mixed multiplicities of ideals,Mathematische Zeitschrift,2009.0
Joint reductions of monomial ideals and multiplicity of complex analytic maps,Mathematical Research Letters,2008.0
Injectivity of real polynomial maps and Lojasiewicz exponents at infinity,Mathematische Zeitschrift,2007.0
The integral closure of modules Buchsbaum Rim multiplicities and Newton polyhedra,Journal of the London Mathematical Society,2004.0
Lojasiewicz exponents the integral closure of ideals and Newton polyhedra,Journal of the Mathematical Society of Japan,2003.0
Mixed Newton numbers and isolated complete intersection singularities,Proceedings of the London Mathematical Society,2007.0
Nondegenerate ideals in formal power series rings,The Rocky Mountain Journal of Mathematics,2004.0
Jacobian ideals and the Newton non-degeneracy condition,Proceedings of the Edinburgh Mathematical Society,2005.0
Lojasiewicz exponent of families of ideals Rees mixed multiplicities and Newton filtrations,Revista Matematica Complutense,2013.0
The Lojasiewicz exponent of a set of weighted homogeneous ideals,Journal of Pure and Applied Algebra,2011.0
Mixed Bruce Roberts numbers,Proceedings of the Edinburgh Mathematical Society,2020.0
Invariants for bi-Lipschitz equivalence of ideals,The Quarterly Journal of Mathematics,2017.0
Mixed Lojasiewicz exponents and log canonical thresholds of ideals,Journal of Pure and Applied Algebra,2016.0
Lojasiewicz exponents and resolution of singularities,Archiv der Mathematik,2009.0
Multiplicity and Lojasiewicz exponent of generic linear sections of monomial ideals,Bulletin of the Australian Mathematical Society,2015.0
Growth at infinity and index of polynomial maps,Journal of Mathematical Analysis and Applications,2015.0
The deformation multiplicity of a map germ with respect to a Boardman symbol,Proceedings of the Royal Society of Edinburgh Section A: Mathematics,2001.0
Bruce-Roberts Numbers and Quasihomogeneous Functions on Analytic Varieties,Arxiv preprint arXiv:,2022.0
Analytic spread and integral closure of integrally decomposable modules,Nagoya Mathematical Journal,2022.0
Integral closure and bounds for quotients of multiplicities of monomial ideals,Journal of Algebra,2018.0
The Integral Closure of Ideals in C{x y},Communications in Algebra,2003.0
A Method to Estimate the Degree of C0-Sufficiency of Analytic Functions,Experimental Mathematics,2002.0
Log canonical threshold and diagonal ideals,American Mathematical Society,2017.0
Generic linear sections of complex hypersurfaces and monomial ideals,Topology,2012.0
The index of analytic vector fields and Newton polyhedra,,2003.0
The special closure of polynomial maps and global non-degeneracy,Mediterranean Journal of Mathematics,2017.0
The sequence of mixed Lojasiewicz exponents associated to pairs of monomial ideals,Journal of Algebra,2020.0
Polynomial maps with maximal multiplicity and the special closure,Monatshefte fur Mathematik,2019.0
Mixed\L ojasiewicz exponents log canonical thresholds of ideals and bi-Lipschitz equivalence,Arxiv preprint arXiv:,2014.0
Introduccio practica a les equacions diferencials,Universitat Politecnica de Valencia,2022.0
Invariants for bi-Lipschitz equivalence of ideals and related topics,,2021.0
The sequence of mixed\L ojasiewicz exponents associated to pairs of ideals,Arxiv preprint arXiv:,2019.0
Real and complex singularities and their applications in geometry and topology,Topology,2018.0
Submodules of minimal Buchsbaum Rim multiplicity and applications,manuscripta mathematica,2009.0
Volume 34 Summer 2004 Number 2,Rocky Mountain Journal of Mathematics,2004.0
Volume index, Journal of Mathematics,2004.0
The second Japanese-Australian Workshop on Real and Complex Singularities,,
Lojasiewicz exponent of families of ideals,,
Errata and Minor Additions for Integral Closure of Ideals Rings and Modules,,
