title,journal,year
Mean ergodic composition operators on Banach spaces of holomorphic functions,Journal of Functional Analysis,2016.0
Regularity of partial differential operators in ultradifferentiable spaces and Wigner type transforms,Journal of Mathematical Analysis and Applications,2017.0
Real Paley-Wiener theorems in spaces of ultradifferentiable functions,Journal of Functional Analysis,2020.0
Mean ergodicity of weighted composition operators on spaces of holomorphic functions,Journal of Mathematical Analysis and Applications,2016.0
The Gabor wave front set in spaces of ultradifferentiable functions,Monatshefte fur Mathematik,2019.0
Quasianalytic wave front sets for solutions of linear partial differential operators,Integral Equations and Operator Theory,2010.0
Pseudodifferential operators on non-quasianalytic classes of Beurling type,Studia Math,2005.0
Nuclearity of rapidly decreasing ultradifferentiable functions and time-frequency analysis,Collectanea Mathematica,2021.0
A simple proof of Kotake Narasimhan theorem in some classes of ultradifferentiable functions,Journal of Pseudo-Differential Operators and Applications,2017.0
Ihypoelliptic differential operators of constant strength,Journal of Mathematical Analysis and Applications,2004.0
Global pseudodifferential operators of infinite order in classes of ultradifferentiable functions,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2019.0
Wave front sets with respect to the iterates of an operator with constant coefficients,Abstract and Applied Analysis,2014.0
Pseudodifferential operators of Beurling type and the wave front set,Journal of Mathematical Analysis and Applications,2008.0
A characterization of the wave front set defined by the iterates of an operator with constant coefficients,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2017.0
Wave front sets for ultradistribution solutions of linear partial differential operators with coefficients in non quasianalytic classes,Mathematische Nachrichten,2012.0
Dissipative operators and additive perturbations in locally convex spaces,Mathematische Nachrichten,2016.0
Global regularity in ultradifferentiable classes,Annali di Matematica Pura ed Applicata,2014.0
Power bounded composition operators on spaces of meromorphic functions,Topology,2016.0
Mean ergodic composition operators on spaces of holomorphic functions on a Banach space,Journal of Mathematical Analysis and Applications,2021.0
Nuclear global spaces of ultradifferentiable functions in the matrix weighted setting,Banach Journal Of Mathematical Analysis,2021.0
About the Nuclearity of  and ,Advances in Microlocal and Time-Frequency Analysis,2020.0
Operator-weighted composition operators between weighted spaces of vector-valued analytic functions,Annales Fennici Mathematici,2012.0
Mean ergodic composition operators in spaces of homogeneous polynomials,Journal of Mathematical Analysis and Applications,2020.0
The problem of iterates in some classes of ultradifferentiable functions,,2015.0
Functional composition in B p k spaces and applications,Mathematica Scandinavica,2006.0
Function spaces and operators between them,,2023.0
Global wave front sets in ultradifferentiable classes,Results in Mathematics,2022.0
Analisis matematico,Universidad Politecnica de Valencia,2003.0
Nuclear weighted composition operators on weighted Banach spaces of analytic functions,American Mathematical Society,2021.0
A note on supercyclic operators in locally convex spaces,Mediterranean Journal of Mathematics,2019.0
Perturbations of surjective convolution operators,American Mathematical Society,2002.0
On the inclusion relations of global ultradifferentiable classes defined by weight matrices,Mediterranean Journal of Mathematics,2024.0
Construction of the log-convex minorant of a sequence ,Arxiv preprint arXiv:,2024.0
Compact weighted composition operators on spaces of holomorphic functions on Banach spaces,Journal of Operator Theory,2023.0
Fredholm Weighted Composition Operators on Weighted Banach Spaces of Analytic Functions of Type H-infinity,Journal of Function Spaces,2015.0
Operadores Pseudodiferenciales en Clases no Casianaliticas de Tipo Beurling,Universitat Politecnica de Valencia,2004.0
On the compactness of the Weyl operator in Sω,Journal of Mathematical Analysis and Applications,2025.0
Construction of the log-convex minorant of a sequence ,Mathematische Nachrichten,2024.0
Correction to: A simple proof of Kotake Narasimhan theorem in some classes of ultradifferentiable functions,Journal of Pseudo-Differential Operators and Applications,2024.0
Mean-dispersion principles and the Wigner transform,The Journal of Geometric Analysis,2024.0
Duality and Linear Operators,Conferencia,2023.0
Spaces of Holomorphic and Differentiable Functions and Operators Between Them,Conferencia,2023.0
Locally Convex Spaces,Conferencia,2023.0
Schwartz Distributions and Linear Partial Differential Operators,Conferencia,2023.0
Convergence of Sequences of Functions,Conferencia,2023.0
Transitive and Mean Ergodic Operators,Conferencia,2023.0
Infinite Dimensional,,2018.0
Wigner type transforms and applications to PDE,,2017.0
Mean Ergodic Composition Operators on Banach spaces of holomorphic functions,Arxiv preprint arXiv:,2016.0
Topics in Complex Analysis and Operator Theory: Third Winter School in Complex Analysis and Operator Theory February 2-5 2010,Universitat Politecnica de Valencia,2012.0
Construction of the log convex minorant of a sequence,Mathematische Nachrichten,
Workshop on Global and Microlocal Analysis,,
Mean ergodic composition operators on spaces of holomorphic functions,,
Regularity of PDO and Wigner,,
