title,journal,year
Linear chaos Universitext,,2011.0
Hereditarily hypercyclic operators,Journal of Functional Analysis,1999.0
Application and optimization of the discrete wavelet transform for the detection of broken rotor bars in induction machines,Applied and Computational Harmonic Analysis,2006.0
A dynamic trading rule based on filtered flag pattern recognition for stock market price forecasting,Expert Systems,2017.0
Hypercyclic operators on nonnormable Frechet spaces,Journal of Functional Analysis,1998.0
Disjointness in hypercyclicity,Journal of Mathematical Analysis and Applications,2007.0
Hypercyclic behaviour of operators in a hypercyclic C0semigroup,Journal of Functional Analysis,2007.0
Li Yorke and distributionally chaotic operators,Journal of Mathematical Analysis and Applications,2011.0
Distributional chaos for linear operators,Journal of Functional Analysis,2013.0
Hypercyclic topologically mixing and chaotic semigroups on Banach spaces,Studia Math,2005.0
Chaos for backward shift operators,International Journal of Bifurcation and Chaos,2002.0
Multihypercyclic operators are hypercyclic,Mathematische Zeitschrift,2001.0
Li Yorke chaos in linear dynamics,Ergodic Theory and Dynamical Systems,2015.0
Setvalued discrete chaos,Chaos Solitons & Fractals,2005.0
On hypercyclicity and supercyclicity criteria,Bulletin of the Australian Mathematical Society,2004.0
Recurrence properties of hypercyclic operators,Mathematische Annalen,2016.0
Chaos on hyperspaces,Nonlinear Analysis: Theory Methods & Applications,2009.0
Distributional chaos for backward shifts,Journal of Mathematical Analysis and Applications,2009.0
Disjoint mixing operators,Journal of Functional Analysis,2012.0
A Banach space which admits no chaotic operator,Bulletin of the London Mathematical Society,2001.0
Linear chaos on Frechet spaces,International Journal of Bifurcation and Chaos,2003.0
Universal and chaotic multipliers on spaces of operators,Journal of Mathematical Analysis and Applications,2004.0
Disjoint hypercyclic linear fractional composition operators,Journal of Mathematical Analysis and Applications,2011.0
Hypercyclic translation C0semigroups on complex sectors,Discrete and Continuous Dynamical Systems,2009.0
Operators with common hypercyclic subspaces,Journal of Operator Theory,2005.0
Transitive and hypercyclic operators on locally convex spaces,Bulletin of the London Mathematical Society,2005.0
Syndetically hypercyclic operators,Integral Equations and Operator Theory,2005.0
Distributional chaos for operators on Banach spaces,Journal of Mathematical Analysis and Applications,2018.0
Frequently dense orbits,Comptes Rendus Mathematique,2005.0
Linear transitivity criteria,Topology,2005.0
Strong mixing measures for linear operators and frequent hypercyclicity,Journal of Mathematical Analysis and Applications,2013.0
Distributional chaos for operators with full scrambled sets,Mathematische Zeitschrift,2013.0
Uncountably generated algebras of everywhere surjective functions,Bulletin of the Belgian Mathematical Society Simon Stevin,2010.0
Hypercyclic semigroups and somewhere dense orbits,Comptes Rendus Mathematique,2002.0
Distributional chaos for strongly continuous semigroups of operators,Communications on Pure & Applied Analysis,2013.0
Universality and chaos for tensor products of operators,Journal of Approximation Theory,2003.0
Quasinormable spaces and the problem of topologies of Grothendieck,Annales Fennici Mathematici,1994.0
Frequently recurrent operators,Journal of Functional Analysis,2022.0
Weakly mixing operators on topological vector spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2010.0
Strong transitivity properties for operators,Journal of Differential Equations,2019.0
Powers of hypercyclic functions for some classical hypercyclic operators,Integral Equations and Operator Theory,2007.0
Mean LiYorke chaos in Banach spaces,Journal of Functional Analysis,2020.0
On the injective tensor product of quasinormable spaces,Results in Mathematics,1991.0
Some questions about subspacehypercyclic operators,Journal of Mathematical Analysis and Applications,2013.0
Comparison of different wavelet families for broken bar detection in induction motors,,2015.0
