title,journal,year
A branch and cut algorithm for the Orienteering Arc Routing Problem,Computers & Operations Research,2016
The windy clustered prize collecting arc routing problem,INFORMS Inst.for Operations Res.and the Management Sciences,2011
Drone arc routing problems,Wiley Liss Inc.,2018
A cutting plane algorithm for the General Routing Problem,Mathematical Programming,2001
On the Distance Constrained Close Enough Arc Routing Problem,European Journal of Operational Research,2021
The directed profitable rural postman problem with incompatibility constraints,European Journal of Operational Research,2017
The Profitable Close Enough Arc Routing Problem,Computers & Operations Research,2022
The Hierarchical Mixed Rural Postman Problem: Polyhedral analysis and a branch and cut algorithm,European Journal of Operational Research,2017
The multi purpose K drones general routing problem,No indexada,2023
Arc routing problems: A review of the past present and future,Wiley Liss Inc.,2021
New heuristic algorithms for the windy rural postman problem,,2005
Zigzag inequalities: A new class of facet inducing inequalities for Arc Routing Problems,,2006
Min Max K vehicles windy rural postman problem,,2009
New results on the Windy Postman Problem,,2012
A new branch and cut algorithm for the generalized directed rural postman problem,INFORMS Inst.for Operations Res.and the Management Sciences,2016
The mixed general routing polyhedron,,2003
A comparison of two different formulations for arc routing problems on mixed graphs,,2006
A matheuristic for the Team Orienteering Arc Routing Problem,European Journal of Operational Research,2015
Routing problems revisited: Path integral formalism and Monte Carlo methods,,1999
The team orienteering arc routing problem,INFORMS Inst.for Operations Res.and the Management Sciences,2014
New facets and an enhanced branch and cut for the min max K vehicles windy rural postman problem,,2011
The stacker crane problem and the directed general routing problem,Wiley Liss Inc.,2015
A branch & cut algorithm for the windy general routing problem and special cases,,2007
The min max multi trip drone location arc routing problem,Computers & Operations Research,2025
Theoretical and computational analysis of a new formulation for the Rural Postman Problem and the General Routing Problem,Computers & Operations Research,2024
The multidepot drone general routing problem with duration and capacity constraints,No indexada,2024
A branch price and cut algorithm for the min max k vehicle windy rural postman problem,,2014
The windy general routing polyhedron: A global view of many known arc routing polyhedra,,2008
Solving the length constrained K drones rural postman problem,European Journal of Operational Research,2021
A GRASP heuristic for the mixed Chinese postman problem,,2002
The Chinese postman problem with load dependent costs,INFORMS Inst.for Operations Res.and the Management Sciences,2018
New results on the mixed general routing problem,,2005
An asymmetric TSP with time windows and with time dependent travel times and costs: An exact solution through a graph transformation,,2008
A polyhedral approach to the rural postman problem,,1994
The min max close enough arc routing problem,European Journal of Operational Research,2022
Lower bounds and heuristics for the Windy Rural Postman Problem,,2007
The hierarchical mixed rural postman problem,INFORMS Inst.for Operations Res.and the Management Sciences,2017
Formulations and exact algorithms for the distance constrained generalized directed rural postman problem,EURO Journal on Computational Optimization,2017
Polyhedral analysis and a new algorithm for the length constrained K–drones rural postman problem,Computational Optimization and Applications,2022
A metaheuristic for the min max windy rural postman problem with K vehicles,,2010
An ILS based metaheuristic for the stacker crane problem,,2012
Darboux Sums and the Sum of the Alternating Harmonic Series,Mathematics Magazine,2018
A branch and cut algorithm for the profitable windy rural postman problem,European Journal of Operational Research,2016
A branch and cut algorithm for the maximum benefit Chinese postman problem,,2013
A matheuristic for the Distance Constrained Close Enough Arc Routing Problem,Top,2019
Aesthetic considerations for the min max K Windy Rural Postman Problem,Wiley Liss Inc.,2017
The general routing problem polyhedron: Facets from the RPP and GTSP polyhedra,European Journal of Operational Research,1998
Upgrading edges in the Graphical TSP,Computers & Operations Research,2023
A heuristic algorithm based on monte carlo methods for the rural postman problem,Computers & Operations Research,1998
