"Objeto","Cluster"
"AlegreGC",1
"ArnauNAR",1
"ArroyoJM",1
"ArroyoJP",1
"BiviaC",1
"BonetSJ",2
"CalabuigRJM",2
"CobolloGC",1
"ConejeroJA",2
"FelipeRMJ",1
"FernandezCCPJ",2
"FerrerSA",2
"GarciaRLM",2
"GuijarroMF",2
"GuiraoSAJ",1
"HoyasCS",3
"IsidroSJJM",2
"JordaME",4
"JornetCD",4
"LazaroNM",1
"LopezMA",1
"LopezPM",2
"MartinezJF",1
"MartinezPA",1
"MartinezUMJ",1
"MilianEC",5
"MonserratDFJ",1
"MontesinosSV",1
"MorillasGS",2
"OrtizSVM",1
"PedrazaAMC",1
"PerisMA",2
"PesetMF",2
"PetrosyanL",1
"QuilisSA",1
"RodenasEF",1
"RodriguezLJ",4
"RomeroGV",2
"SanchezPEA",2
"SanchisLJM",1
"SevillaPP",4
"TiradoPP",1
