"Investigador","Cluster"
"AlegreGC",1
"ArnauNAR",1
"ArroyoJM",1
"ArroyoJP",1
"BiviaC",0
"BonetSJ",0
"CalabuigRJM",0
"CobolloGC",1
"ConejeroJA",0
"FelipeRMJ",0
"FernandezCCPJ",0
"FerrerSA",0
"GarciaRLM",0
"GuijarroMF",0
"GuiraoSAJ",0
"HoyasCS",0
"IsidroSJJM",0
"JordaME",0
"JornetCD",0
"LazaroNM",0
"LopezMA",1
"LopezPM",0
"MartinezJF",1
"MartinezPA",0
"MartinezUMJ",0
"MilianEC",0
"MonserratDFJ",0
"MontesinosSV",1
"MorillasGS",0
"OrtizSVM",0
"PedrazaAMC",0
"PerisMA",0
"PesetMF",0
"PetrosyanL",1
"QuilisSA",1
"RodenasEF",0
"RodriguezLJ",0
"RomeroGV",0
"SanchezPEA",0
"SanchisLJM",0
"SevillaPP",0
"TiradoPP",0
