"Objeto","Cluster"
"AlegreGC",1
"ArnauNAR",2
"ArroyoJM",3
"ArroyoJP",3
"BiviaC",2
"BonetSJ",1
"CalabuigRJM",1
"CobolloGC",2
"ConejeroJA",1
"FelipeRMJ",1
"FernandezCCPJ",1
"FerrerSA",1
"GarciaRLM",1
"GuijarroMF",1
"GuiraoSAJ",1
"HoyasCS",1
"IsidroSJJM",1
"JordaME",1
"JornetCD",1
"LazaroNM",1
"LopezMA",1
"LopezPM",1
"MartinezJF",1
"MartinezPA",1
"MartinezUMJ",1
"MilianEC",1
"MonserratDFJ",4
"MontesinosSV",4
"MorillasGS",1
"OrtizSVM",1
"PedrazaAMC",1
"PerisMA",1
"PesetMF",1
"PetrosyanL",1
"QuilisSA",1
"RodenasEF",1
"RodriguezLJ",1
"RomeroGV",1
"SanchezPEA",1
"SanchisLJM",1
"SevillaPP",1
"TiradoPP",1
