"Objeto","Cluster"
"AlegreGC",1
"ArnauNAR",1
"ArroyoJM",1
"ArroyoJP",1
"BiviaC",1
"BonetSJ",2
"CalabuigRJM",2
"CobolloGC",1
"ConejeroJA",3
"FelipeRMJ",1
"FernandezCCPJ",3
"FerrerSA",4
"GarciaRLM",3
"GuijarroMF",2
"GuiraoSAJ",1
"HoyasCS",1
"IsidroSJJM",2
"JordaME",1
"JornetCD",1
"LazaroNM",1
"LopezMA",1
"LopezPM",2
"MartinezJF",1
"MartinezPA",1
"MartinezUMJ",1
"MilianEC",1
"MonserratDFJ",1
"MontesinosSV",1
"MorillasGS",2
"OrtizSVM",1
"PedrazaAMC",1
"PerisMA",2
"PesetMF",4
"PetrosyanL",1
"QuilisSA",1
"RodenasEF",1
"RodriguezLJ",1
"RomeroGV",5
"SanchezPEA",3
"SanchisLJM",1
"SevillaPP",1
"TiradoPP",1
