"Objeto","Cluster"
"AlegreGC",1
"ArnauNAR",2
"ArroyoJM",1
"ArroyoJP",1
"BiviaC",2
"BonetSJ",2
"CalabuigRJM",2
"CobolloGC",2
"ConejeroJA",3
"FelipeRMJ",1
"FernandezCCPJ",3
"FerrerSA",4
"GarciaRLM",3
"GuijarroMF",4
"GuiraoSAJ",2
"HoyasCS",2
"IsidroSJJM",2
"JordaME",2
"JornetCD",2
"LazaroNM",5
"LopezMA",2
"LopezPM",2
"MartinezJF",1
"MartinezPA",1
"MartinezUMJ",2
"MilianEC",5
"MonserratDFJ",2
"MontesinosSV",1
"MorillasGS",3
"OrtizSVM",2
"PedrazaAMC",1
"PerisMA",2
"PesetMF",4
"PetrosyanL",1
"QuilisSA",1
"RodenasEF",1
"RodriguezLJ",2
"RomeroGV",5
"SanchezPEA",3
"SanchisLJM",1
"SevillaPP",2
"TiradoPP",1
