"Objeto","Cluster"
"AlegreGC",1
"ArnauNAR",1
"ArroyoJM",1
"ArroyoJP",1
"BiviaC",1
"BonetSJ",2
"CalabuigRJM",3
"CobolloGC",1
"ConejeroJA",4
"FelipeRMJ",1
"FernandezCCPJ",4
"FerrerSA",3
"GarciaRLM",4
"GuijarroMF",3
"GuiraoSAJ",1
"HoyasCS",4
"IsidroSJJM",2
"JordaME",1
"JornetCD",1
"LazaroNM",5
"LopezMA",1
"LopezPM",2
"MartinezJF",1
"MartinezPA",1
"MartinezUMJ",5
"MilianEC",6
"MonserratDFJ",1
"MontesinosSV",1
"MorillasGS",4
"OrtizSVM",1
"PedrazaAMC",1
"PerisMA",2
"PesetMF",3
"PetrosyanL",1
"QuilisSA",1
"RodenasEF",1
"RodriguezLJ",1
"RomeroGV",4
"SanchezPEA",3
"SanchisLJM",1
"SevillaPP",1
"TiradoPP",1
