"Investigador","Cluster","UMAP1","UMAP2","Silhouette"
"ArnauNAR",1,-2.37475610411849,-6.38279792324749,0.638387919146804
"SanchisLJM",1,-2.3308134832198,-6.89787720268828,0.607031977522876
"MontesinosSV",1,-1.94491938330174,-6.744387519159,0.597656476978112
"MilianEC",1,-2.55727848829288,-6.0828085460859,0.595541170714285
"QuilisSA",1,-3.07889568657868,-6.2737654322992,0.563162859331782
"AlegreGC",1,-1.69974076657705,-6.5374234826513,0.55430649205069
"PetrosyanL",1,-3.41661350256823,-6.07891839154554,0.469618176153659
"CobolloGC",1,-1.96082228038953,-5.84760056934491,0.433795325595746
"ArroyoJP",1,-2.97783014394649,-5.68088866844339,0.426422916802562
"RodenasEF",1,-1.65667155884672,-5.99017848024359,0.417397056494887
"LopezMA",1,-1.29827226975892,-6.2459117298127,0.380209715832303
"ArroyoJM",1,-2.80724725730866,-5.33428174457853,0.203656680612286
"JordaME",2,-0.923399113297662,-2.54435834047323,0.72711257424806
"RodriguezLJ",2,-0.670008186365997,-2.50577952373354,0.693824629818045
"SevillaPP",2,-0.833012029590955,-2.24771639690616,0.685563687765117
"JornetCD",2,-1.07288223558374,-3.07158498209882,0.61348039461561
"BiviaC",2,-1.41632639383935,-2.96923539284417,0.590468916019384
"GuiraoSAJ",2,-1.78955954498841,-3.38965141024333,0.11135441675709
"ConejeroJA",3,3.5259477502341,9.62544509190962,0.934992254109753
"SanchezPEA",3,3.85991784648628,9.21728238836208,0.930147213134604
"FernandezCCPJ",3,3.30028727970471,9.91527009301475,0.929230440472255
"PerisMA",3,4.15224826242913,10.1611730490948,0.92860160426763
"BonetSJ",3,4.3648509096244,9.97613991283256,0.927084065768651
"CalabuigRJM",3,4.31153828223078,9.33508195945823,0.927021197856267
"IsidroSJJM",3,3.77986317652403,10.352016275084,0.925626296571077
"GarciaRLM",3,3.32367213655522,10.34010841986,0.919840126599481
"LopezPM",3,4.66090773012847,9.7288197632091,0.916234523629395
"FerrerSA",3,4.2456817794029,8.90441204087373,0.912397228009534
"PesetMF",3,3.5789465176383,8.76791781410269,0.903109562066941
"RomeroGV",3,2.78503182289058,10.2371961942571,0.899876116128972
"MorillasGS",3,2.66764016063183,9.81039108480601,0.896720797306941
"GuijarroMF",3,4.46704763452444,8.63263264978689,0.889188675591493
"MartinezUMJ",4,-2.01944956459169,-4.37920084390123,0.542177144649817
"TiradoPP",4,-2.71735391497734,-4.16570882465201,0.448342982479928
"OrtizSVM",4,-1.45990991110397,-4.23685995101089,0.39332957170892
"MartinezPA",4,-2.37290281985578,-3.89980138546766,0.375236157248494
"HoyasCS",4,-0.992591124707436,-4.8685154643714,0.37375043657454
"FelipeRMJ",4,-2.75158202242701,-4.49910480759267,0.343229562156388
"PedrazaAMC",4,-1.9947402155829,-3.83941072569408,0.281794927302862
"MartinezJF",4,-1.72055135030586,-5.06175133720888,0.265589406486756
"LazaroNM",4,-1.32318903972319,-5.40239746583317,0.0327970822033197
"MonserratDFJ",4,-0.862262897156698,-3.82597019452049,-0.173134330440612
