"Revista","Identificador","Editorial"
"","1","None"
"Conferencia","2","None"
"No indexada","3","None"
"AIP Advances","4","AIP Publishing"
"AIMS Mathematics","5","American Institute of Mathematical Sciences"
"APL Materials","6","American Institute of Physics"
"ASME International Mechanical Engineering Congress and Exposition","7","American Society of Mechanical Engineers"
"ATOMKI Annual Report","8","Instituto de Investigacion Nuclear de la Academia Hungara de Ciencias"
"Abstract and Applied Analysis","9","Hindawi Publishing Corporation"
"Acoustic Metamaterials: Absorption Cloaking Imaging Time Modulated Media","10","Springer"
"Acoustic waves in periodic structures metamaterials and porous media: from","11","Springer"
"Acoustics","12","MDPI"
"Acta Acustica united with Acustica","13","S. Hirzel Verlag"
"Acta Applicandae Mathematicae","14","Springer"
"Acta Astronautica","15","Elsevier"
"Acta Mathematica Hungarica","16","Springer"
"Acta Mathematica Sinica English Series","17","Springer"
"Acta Sci. Math.(Szeged)","18","Bolyai Institute University of Szeged"
"Advanced Concepts for Intelligent Vision Systems:","19","Springer"
"Advanced Materials Technologies","20","Wiley"
"Advanced Optical Materials","21","Wiley"
"Advanced Photonics Research","22","Wiley"
"Advances in Algebra","23","Hindawi Publishing Corporation"
"Advances in Differential Equations and Applications","24","Springer"
"Advances in Mathematics","25","Elsevier"
"Advances in Microlocal and Time-Frequency Analysis","26","Birkhauser"
"Advances in Operator Theory","27","Birkhauser"
"Advances in applied Clifford algebras","28","Birkhauser"
"Advances in the Theory of Frechet Spaces","29","Kluwer Academic Publishers"
"Aequationes mathematicae","30","Springer"
"Aerospace Science and Technology","31","Elsevier"
"Algal Research","32","Elsevier"
"Algebra Colloquium","33","World Scientific"
"Algebra and Discrete Mathematics","34","Institute of Applied Mathematics and Mechanics National Academy of Sciences of Ukraine"
"Algorithms","35","MDPI"
"American Institute of Mathematical Sciences","36","American Institute of Mathematical Sciences"
"American Institute of Physics","37","American Institute of Physics"
"American Mathematical Society","38","American Mathematical Society"
"American Nuclear Society","39","American Nuclear Society (ANS)"
"American Physical Society","40","American Physical Society"
"Anales de ASEPUMA","41","Asociacion Espanola de Profesores Universitarios de Matematicas para la Economia y la Empresa"
"Anales de Documentacion","42","Servicio de Publicaciones de la Universidad de Murcia"
"Anales de Fisica","43","Real Sociedad Espanola de Fisica"
"Anales de Pediatria","44","Elsevier"
"Anals de la Real Academia de Cultura Valenciana","45","Real Academia de Cultura Valenciana"
"Analysis & PDE","46","Mathematical Sciences Publishers"
"Analysis and Applications","47","World Scientific"
"Analysis and Mathematical Physics","48","Springer"
"Annales Fennici Mathematici","49","Finnish Mathematical Society"
"Annales de l Institut Fourier","50","Association des Annales de l'Institut Fourier"
"Annali di Matematica Pura ed Applicata","51","Springer Science+Business Media"
"Annals of Emergency Medicine","52","Elsevier"
"Annals of Operations Research","53","Springer Science+Business Media"
"Anuario ThinkEPI","54","Asociacion Espanola de Documentacion e Informacion"
"Applicable Algebra in Engineering Communication and Computing","55","Springer Science+Business Media"
"Applications of Fuzzy Sets Theory:","56","Springer"
"Applied Acoustics","57","Elsevier"
"Applied General Topology","58","Universidad Politecnica de Valencia"
"Applied Mathematical Modelling","59","Elsevier"
"Applied Mathematics & Information Sciences","60","Natural Sciences Publishing"
"Applied Mathematics Letters","61","Elsevier"
"Applied Mathematics and Computation","62","Elsevier"
"Applied Mathematics and Nonlinear Sciences","63","Walter de Gruyter"
"Applied Physics Letters","64","American Institute of Physics"
"Applied Sciences","65","MDPI"
"Applied and Computational Harmonic Analysis","66","Elsevier"
"Applied mathematical sciences","67","Springer"
"Applied physics express","68","Japan Society of Applied Physics"
"Aquilafuente","69","Universidad de Salamanca"
"Arbeitspapiere der FOM","70","FOM Hochschule fur Oekonomie & Management"
"Arbor","71","Consejo Superior de Investigaciones Cientificas (CSIC)"
"Archiv der Mathematik","72","Springer Science+Business Media"
"Archives of Acoustics","73","Polish Academy of Sciences"
"Archives of budo","74","Archives of Budo"
"Artificial Intelligence in Medicine","75","Springer"
"Arxiv preprint arXiv:","76","Cornell University Library"
"Asian Journal of Mathematics","77","International Press of Boston"
"Association for Computing Machinery","78","ACM"
"Astronomy & Astrophysics","79","EDP Sciences"
"Available at SSRN","80","Social Science Research Network"
"Axioms","81","MDPI"
"BMC systems biology","82","BioMed Central"
"BP International","83","BP International"
"Banach Journal Of Mathematical Analysis","84","Springer Science+Business Media"
"Bid Textos Universitaris de Biblioteconomia I Documentacio","85","Universitat de Barcelona"
"Biotechnology journal","86","Wiley-VCH"
"Bolema: Boletim de Educacao Matematica","87","Universidade Estadual Paulista"
"Boletin de la ANABAD","88","Asociacion Espanola de Archiveros Bibliotecarios Museologos y Documentalistas"
"Boletin de la Asociacion Andaluza de Bibliotecarios","89","Asociacion Andaluza de Bibliotecarios"
"Boletin de la Sociedad Cubana de Matematica y Computacion","90","Sociedad Cubana de Matematica y Computacion"
"Boletin de la Sociedad Matematica Mexicana: Tercera Serie","91","Sociedad Matematica Mexicana"
"Boletin de la Sociedad Mexicana de Fisica","92","Sociedad Mexicana de Fisica"
"Bollettino dell Unione Matematica Italiana","93","Springer Science+Business Media"
"Buildings","94","MDPI"
