title,journal,year
New progress on factorized groups and subgroup permutability,Cambridge University Press,2015
Fitting classes and lattice formations I,Journal of the Australian Mathematical Society,2004
Fitting classes and lattice formations II,Journal of the Australian Mathematical Society,2004
On conditional permutability and saturated formations,,2011
Carter and Gaschutz theories beyond soluble groups,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2022
On the lattice of F Dnormal subgroups in finite soluble groups,,2001
On conditional permutability and factorized groups,Annali di Matematica Pura ed Applicata,2014
On finite products of groups and supersolubility,,2010
Injectors in I  Separable Groups,,2022
Conditional permutability of subgroups and certain classes of groups,,2017
