title,journal,year
A Bishop Phelps Bollobas type theorem for uniform algebras,Advances in Mathematics,2013.0
Uniformly convex functions on Banach spaces,American Mathematical Society,2009.0
Open problems in the geometry and analysis of Banach spaces,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
On the preserved extremal structure of Lipschitz-free spaces,Arxiv preprint arXiv:,2017.0
On preserved and unpreserved extreme points,Descriptive Topology and Functional Analysis,2014.0
Renormings in Banach Spaces,Monografie Matematyczne,2022.0
The Bishop-Phelps-Bollobas property for numerical radius in l (1)(C),Studia Math,2013.0
On the moduli of convexity,American Mathematical Society,2007.0
Iflatness and Bishop Phelps Bollobas type theorems for operators,Journal of Functional Analysis,2018.0
On the Bishop Phelps Bollobas property for numerical radius in C (K) spaces,Journal of Mathematical Analysis and Applications,2014.0
A note on extreme points of C∞-smooth balls in polyhedral spaces,Proceedings of the AMS,2014.0
A note in approximative compactness and continuity of metric projections in Banach spaces,,2011.0
Completeness in the Mackey topology,Functional Analysis,2015.0
Remarks on the set of norm-attaining functionals and differentiability,Studia Math,2018.0
A note on Mackey topologies on Banach spaces,Journal of Mathematical Analysis and Applications,2017.0
Ranges of operators and derivatives,Journal of Mathematical Analysis and Applications,2010.0
Schauder bases under uniform renormings,Positivity,2007.0
Some remarks on the ball-covering property,Journal of Mathematical Analysis and Applications,2019.0
Weakly compactly generated Banach lattices,Arxiv preprint arXiv:,2015.0
Completeness in the Mackey topology by norming subspaces,Journal of Mathematical Analysis and Applications,2019.0
On a classical renorming construction of V. Klee,Journal of Mathematical Analysis and Applications,2012.0
On moduli of smoothness and squareness,Journal of Convex Analysis,2010.0
On the local moduli of squareness,Studia Math,2008.0
Topological clasification of Banach spaces,Universidad de Murcia,2005.0
Some remarks on Phelps property U of a Banach space into C(K) spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2024.0
A remark on totally smooth renormings,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2020.0
A note on lower semicontinuous smooth norms,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2019.0
The numerical index of 2-dimensional Lipschitz-free spaces,Journal of Mathematical Analysis and Applications,2024.0
On projectional skeletons and the Plichko property in Lipschitz-free Banach spaces,Mediterranean Journal of Mathematics,2023.0
Phelps Property U and  spaces,Arxiv preprint arXiv:,2022.0
Norms with the Mazur intersection Property,,2022.0
Nonlinear transfer techniques,,2022.0
Higher-order smoothness,,2022.0
James boundaries,,2022.0
Further miscellaneous applications,,2022.0
Smooth functions on c 0 (),,2022.0
Polyhedral spaces,,2022.0
Summary on renorming for uniforml rotund in every direction strictly convex and weakly uniformly rotund spaces,,2022.0
The Banach Saks property,,2022.0
Weakly compactly generated spaces and their relatives III,,2022.0
Transitive norms,,2022.0
Weak Hadamard differentiability,,2022.0
A concise list of coordinates for some Relationships,,2022.0
Three-space properties,,2022.0
Strongly subdifferentiable norms,,2022.0
Nicely smooth Banach spaces,,2022.0
Spaces isomorphic to Hilbert spaces,,2022.0
Lipschitz functions II,,2022.0
Checking renormability in some classical Spaces,,2022.0
Kottman-type results on separated sets,,2022.0
Valdivia compacta,,2022.0
Superreflexive spaces,,2022.0
The Kingdom of Tsirelsonas space,,2022.0
Examples on Rotundity,,2022.0
Polynomials on Banach spaces,,2022.0
Open questions spread along the book and some additional ones,,2022.0
The spaces,,2022.0
Symmetric norms,,2022.0
Examples on C1-smoothness,,2022.0
The Radon Nikodym property,,2022.0
Miscellaneous topics,,2022.0
Strictly convex renorming,,2022.0
Lipschitz-free spaces,,2022.0
Lipschitz Asplund spaces,,2022.0
Szlenk derivation and applications,,2022.0
Basic differentiability in Banach spaces,,2022.0
Miscellaneous applications,,2022.0
Norms normed spaces Banach spaces,,2022.0
Projectional resolutions of the identity III,,2022.0
Norm-attaining operators variational principles and Asplund spaces,,2022.0
Some structural properties of Banach Spaces,,2022.0
Smooth partitions of unity in nonseparable spaces,,2022.0
Smooth norms in dense subspaces,,2022.0
Smooth approximation of norms by norms,,2022.0
Bumps depending locally on finitely many Coordinates,,2022.0
Some basic definitions and tools,,2022.0
The use of Smulyanas tests,,2022.0
Asplund averaging I,,2022.0
Basic rotundity,,2022.0
Equivalent norms,,2022.0
Tools for renorming,,2022.0
Locally uniformly convex renorming of nonseparable spaces,,2022.0
12. Three-space problem for strictly convex renormings,Conferencia,2020.0
Differentiability and Norming Subspaces: In Honour of Manuel Lopez-Pellicer,Conferencia,2018.0
Basic Linear Structure,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
Differentiability and Structure Renormings,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
Nonlinear Geometry,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
Biorthogonal Systems,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
Basic Linear Geometry,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
Some More Nonseparable Problems,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
Some Applications,Open Problems in the Geometry and Analysis of Banach Spaces,2016.0
A note on the Mackey-star topology on a dual Banach space,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2015.0
Preserved and unpreserved extreme points in Banach spaces,,2014.0
Renormamiento en espacios de Banach,Universidad de Murcia,2008.0
Having unique Hahn Banach extensions inside C(K),,
Preserved and unpreserved extreme points in Banach spaces.,,
