title,journal,year
Dynamics of the solutions of the water hammer equations,Topology and its Applications,2016
Nonlinear diffusion negentropy and restoration of mammographie images,,2005
Non commutative geometry and covariance: From the quantum plane to quantum tensors,,1994
Twisted h spacetimes and invariant equations,Zeitschrift fur Physik C Particles and Fields,1997
Dose reduction using non lineal diffusion and smoothing filters in computed radiography,,2014
Evaluation of the index quality image analysing microcalcifications in digitized mammographic images,,2003
On the physical contents of q deformed Minkowski spaces,,1995
h deformed Lorentz relativistic invariant equations,,1998
Estimated radiation dose reduction using non linear diffusion method in computed radiography,,2012
A comparative study of computer assisted assessment of image quality index for mammographic phantom images,,2005
Parallel CT image reconstruction based on GPUs,,2014
Chaos on fuzzy dynamical systems,Mathematics Journal,2021
The Specification Property for C  Semigroups,,2019
Comparing methods to denoise mammographic images,,2004
Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform,Mathematics Journal,2024
CT image reconstruction based on GPUs,Procedia Computer Science,2013
Iterative reconstruction of CT images on GPUs,,2013
Digital image quality indexes for CIRS SP01 and CDMAM 3.4 mammographic phantoms,Conferencia,2009
Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation,Nonlinear Dynamics,2016
Fast parallel algorithm for CT image reconstruction,,2012
Chaotic behaviour of the solutions of the Moore Gibson Thompson equation,,2015
Chaos for the Hyperbolic Bioheat equation,No indexada,2015
Quality assurance applied to digital radiographic equipment by developed software for phantom images,American Nuclear Society,2011
Reflection equations and q Minkowski space algebras,,1994
Quality assurance applied to mammographic equipments using phantoms and software for its evaluation,Nuclear Instruments and Methods in Physics Research Section A: Accelerators,2010
Automatic evaluation of the image quality of a mammographic phantom,Computer methods and programs in biomedicine,2004
Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems,Axioms,2022
Medical image restoration with different types of noise,,2012
Slow growth for universal harmonic functions,,2010
Deformed Minkowski spaces: Classification and properties,,1996
Iterative reconstruction of CT images with PETSc,,2011
Image quality assessment of digital dental radiography systems with specifically developed phantom and software,American Nuclear Society,2009
Sets of periods for chaotic linear operators,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2021
Phantom development for constancy and acceptance test for digital radiographic equipment,American Nuclear Society,2009
Oscillator realization of the q deformed anti de Sitter algebra,,1992
Set Valued Chaos in Linear Dynamics,Integral Equations and Operator Theory,2017
Analysis of digital image quality indexes for CIRS SP01 and CDMAM 3.4 mammographic phantoms,IEEE Computer Society,2008
Diffusion equations with negentropy applied to denoise mammographic images,,2006
Analysis of digital radiographic equipments with development of specific phantoms and software,,2008
Iterative reconstruction of CT images with PETSc,,2011
Analysis of image quality parameter of conventional and dental radiographic digital images,,2010
Study of digital mammographic equipments by phantom image quality,,2006
Quantum groups and deformed special relativity,Wiley VCH Verlag,1996
