"Cluster","keyword","frecuencia"
1,"research",12
1,"education",11
1,"science",11
1,"academic",10
1,"analysis",10
1,"applied",10
1,"mathematics",10
1,"algebra",9
1,"geometry",9
1,"theory",9
1,"applications",8
1,"journal",8
1,"engineering",7
1,"physics",7
1,"technology",7
2,"academic",6
2,"algebra",6
2,"analysis",6
2,"applications",6
2,"applied",6
2,"community",6
2,"computing",6
2,"differential",6
2,"education",6
2,"equations",6
2,"functional",6
2,"geometry",6
2,"journal",6
2,"journals",6
2,"mathematics",6
3,"academic",14
3,"analysis",14
3,"computing",14
3,"education",14
3,"engineering",14
3,"journal",14
3,"openaccess",14
3,"research",14
3,"science",14
3,"systems",14
3,"technology",14
3,"theory",14
3,"university",14
3,"applications",13
3,"applied",13
4,"analysis",10
4,"applied",10
4,"mathematics",10
4,"research",10
4,"theory",10
4,"academic",9
4,"applications",9
4,"education",9
4,"physics",9
4,"science",9
4,"algebra",8
4,"community",8
4,"geometry",8
4,"number",8
4,"publications",8
