title,journal,year
Chaos for linear fractional transformations of shifts,Topology and its Applications,2016
The specification property for backward shifts,,2012
Distributional chaos for backward shifts,,2009
Chaotic differential operators,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2011
Li Yorke and distributionally chaotic operators,,2011
Product recurrence for weighted backward shifts,,2015
Universal and chaotic multipliers on spaces of operators,,2004
Linear chaos on Frechet spaces,World Scientific Publishing Co. Pte Ltd,2003
Chaos on fuzzy dynamical systems,Mathematics Journal,2021
The Specification Property for C  Semigroups,,2019
Distributional chaos for operators with full scrambled sets,,2013
Vector measure range duality and factorizations of (D p) summing operators from Banach function spaces,,2004
Rate of growth of distributionally chaotic functions, , 
Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform,Mathematics Journal,2024
Cantor sets bernoulli shifts and linear dynamics,Descriptive Topology and Functional Analysis,2014
Erratum to Uniform convergence and chaotic behavior [Nonlinear Anal. TMA 65 (4) (2006) 933 937] (DOI:10.1016/j.na.2005.04.056),,2008
Inverse gas chromatography study on the effect of humidity on the mass transport of alcohols in an ethylene vinyl alcohol copolymer near the glass transition temperature,,2007
Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation,Nonlinear Dynamics,2016
Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems,Axioms,2022
Slow growth for universal harmonic functions,,2010
Universality and chaos for tensor products of operators,,2003
Sets of periods for chaotic linear operators,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2021
Comparison of different wavelet families for broken bar detection in induction motors,,2015
Application and optimization of the discrete wavelet transform for the detection of broken rotor bars in induction machines,,2006
A Banach space which admits no chaotic operator,No indexada,2001
Existence of hypercyclic polynomials on complex Frechet spaces,,2009
Chaos for power series of backward shift operators,,2007
Operators with the specification property,,2016
Chaos for backward shift operators,World Scientific Publishing Co. Pte Ltd,2002
Chaotic polynomials on sequence and function spaces,World Scientific Publishing Co. Pte Ltd,2010
